|glyph|phon|meaning|note|
|-----|----|-------|----|
𓁷 𓂋 𓇯||upper part, top|oberair oberer upper 
𓉆|| (Wenet) 'Hare' Khemenu (Hermopolis Magna) El Ashmounein HASmunein Beni Hassan : Bunny Hassan  |Ashmounein ⇔ Menes ~ Minia EasterBunny
𓉐||this, the|DER ⇔ door DE / outhe / o / ^^^^^^^^^^^^ makes parsing Even harder
𓉐 𓂋 𓇋 𓇋 𓏏 𓉐 𓏥||(collective n.) houses|Häuther GERMAN declination 
𓉐 𓂋 𓏏 𓏒||(ritual) procession|PortEssen / Brotessen / procession  ENDE ? /  /  /  / Egyptian Name Location / Nhrn Nahrin = Mitanni ⇔ Nysa = Ḥatti ⇔ / I҆ns Inesa (Unknown, possibly Neša in central Anatolia) / I҆rwnt (sic--) Arawanna (In Anatolia) / Pds Pitassa (central Anatolia) / Drdny Dardania (allies of the Trojans, northwest Anatolia) Dardanellen Hellespont ⇔ Danubae / Ms Masa (Mysia, northwest Anatolia)  ⇔ Mystic fields of Mars? / Krkš Karkisa (Anatolia) / Krkmš Carchemish, in Syria / Qd A poorly defined area in northern Syria ⇔ Ḥt, Qdš Kadesh, Qḍwdn  / Qdš Kadesh (in Syria) / Kškš Kaška (northern Anatolia) ¬PIE? / Lk Lukka lands (Lycia and Caria, southwest Anatolia) / Neša = Hittite vs Hatti ⇔ MYTHologic sacred mountains of Nysa Neša Aniša Kaneš *Karneš (Kültepe Turkish: "Ash Hill") ~ / Month 5 = Sf-bdt / Month 6 = Rekh wer / Month 7 = Rekh neds / Month 8 = Renwet
𓉔 𓂧 𓀁||bregma (front of the head)|HEAD
𓉔 𓂧 𓂝||attack|houdzoum الهجوم / AR%
𓉔 𓃀 𓂻 𓈖||send to (someone)|houbtnea الخطوة / AR%
𓉔 𓄿 𓃀 𓍁 𓏥||travel (to)|houarib ضراوع لا AR% / houarib ال عوارض / QED
𓉔 𓈖 𓏌 𓏲 𓀀 𓁐 𓏥||associates, family, relatives|honorus ⇔ conexos ES  ← / honnuren ⇔ Kinnerl : KIN,HOME - / honouren ⇔ honour: meriten
𓉔𓊪𓅱    早   明日  明||manHãN ↔ hou'n Hahnen-hourn journ 早 zǎo Morgen: 明日 míngrì 明 míng hell|^^ MinHora / UnHora / MeanHora / NewHora / NoonHora /  / ←
𓉻 𓂝 𓄿 𓄿||Asiatic|Achaeans , Achaear 
𓊃  𓄿 𓅱||guard, ward off, restrain, heed ]|spähern QED 
𓊃 𓂝 𓃀 𓏛 𓌂||be equipped (with)|supplies 
𓊃 𓂝 𓎛 𓃶 𓀽||noble, dignitary|Zoer ⇔ sir / Zooherr ⇔  / Sultan ... 
𓊃 𓂝 𓎛 𓋩 𓏛||be noble|snoher ⇔ snob / Sarmkh ➙ Sankhter -> Sankt  / ZooHerr / Soer ⇔ Sir / Syrer? / Synoher ~ Senior / ⇔ Zwerg?
𓊃 𓂧||trembling  G|σείσ : seismik GR / vs τρόμ tromble traumas stumbl stutter
𓊃 𓂧 𓎛 𓂢 𓅪||© bring low (the arm of the evil-doer)   -vål|sderte : stürzen  DE / Platttütsch / ⇔ Störtebecker
𓊃 𓂸 𓏏 𓂸 𓏏 𓄔||eavesdrop|Spitz-Ohr / *2 DE / spy
𓊃 𓄡 𓅓 𓀜||be hasty, impetuous|zucken   DE / ⇔ soccer
𓊃 𓄿 𓍿||make libation, pour out (water)|~schank DE / serve  EN
𓊃 𓅓 𓏏 𓈉||desert, necropolis|sand  / spirit
𓊃 𓆑 𓂉 𓀁||be mild, merciful|soußin ⇔ soucitný CES again  ⇔ sensible / ~ Tefnut? sennecy? / ⇔ amnesti ⇔ sin.mercy ➙ the mercy - / ⇔ clemency  HOW? -- / nezi ~ Nase zu / in ? ~~~ forget ? ← / gnase ⇔ Gnade  lol ?
𓊃 𓆑 𓄿 𓅪||hatred ?   -vål|zsna ⇔ shana : hate 
𓊃 𓇋 𓏤||man, someone, anyone, (no)-one, man of rank|Sir / zione / sam'one = someone 
𓊃 𓈖 𓉔 𓋴 𓍟 𓁺||© awaken|nahasza : rise @AR  / snore  hinaus  rise / snore'srai (Schnarch-Schrei) / sun hoch rise
𓊃 𓈖 𓌰 𓅓 𓅠 𓏳 𓈓||food - supply|synmess fooda 
𓊃 𓈙||disk (of metal)|δsh dish disk  EN / ßsh Schüssel  DE slake ok / ssl Schüssel slate too specific? / ⇔desk, tisch
𓊃 𓈙 𓈙 𓅹||nest|cynesšos ~ kük-nester 
𓊃 𓈙 𓉿||open|δesch: deschis ROM  / ←ƒ> תם shâtham shaw-tham'® to unveil (figuratively): - be open.
𓊃 𓈙 𓋴 𓐟 𓄿 𓄃||make wise   }|inspire / schalter ⇔ ⇔ Seth ?
𓊃 𓈙 𓏮 𓅹||nest|zhnízdo @ CES  ⇔ gyneshto ⇔ poly.nestian eilands do=two  / gnijezdo @ HRV QED (Hrvatski=Kroatisch / Serbo-Kroatisch  Slobodna) / Гнездо @ BULg. / Гняздо @ RUS / ⇔ קן qên קנן qânan , naissance / ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ / آکيرو Eieru / آلنہ Eilan ⇔ Eiland ➙ Land?
𓊃 𓉔 𓂋 𓅱 𓏛 𓏏||(v. infinitive) make content, make peace|sorry.do 
𓊃 𓊃 𓆑 𓂉||© soothe|soothen 
𓊃 𓊃 𓈖 𓈀||© cause to pass|ziehen ⇔ / zieh, ziah ⇔ / sair : run, walk, process /  observation Aze seyr, Hin sair, Per seyr, Taj sayr, Tur seyir / jaula : a tour, a walk jolla / nmesziah ⇔ marschier ƒhier ? / masha : go, walk, marsch / mashi : walking /  guideline Per mashi / nazuha : go for a walk   / nuzha : a walk / tanazzaha : go for a walk ⇔ traverse ƒ
𓊃 𓊪 𓊃||be tousled|säusel / 
𓊃 𓊪 𓊗||remain over, be left out, excluded, abandoned|spare  / zerfall --
𓊃 𓊪 𓊗||occasion, chance, venture, success, condition|___  
𓊃 𓎔 𓎛 𓏮 𓊛||© sink (ship)|sNH sink  (ziNorH)
𓊃 𓎡 𓂋 𓏮 𓅆||(divinity) Sokar (god)|Zeukar Zucker  ~ Zeus / ⇔ / Zuhara : Venus Aze Zohre, Hin Zohra, Ind Zuhara, Per Zohre, Tur Zuhre, Uzb Zuhra / Zuhhal : Saturn Ful Juhal, Ind Zuhal, Per Zohhal, Tur Zuhal
𓊃 𓎡 𓋴 𓎝 𓏥||destroy|squash/scorch  / zer-kuish... / zacks-weg /
𓊃 𓏏 𓈉||desert, necropolis|δath ⇔ DEATHOrt / dash-red = desert ←  III ⇔ Seth~Death OK / sand / 'zert' / >>
𓊃 𓐍 𓂋 𓀒 𓂝||© overthrow, throw down, force into place (bone)|zcro: throw  EN GR / zerk  / throw  / throw / se'kuro / zucker / sickern / zer-kyr-fall-o ------
𓊃 𓐍 𓂋 𓌕 𓀜||sweep|throw thorrow thorough ??? / zu kehren / k'arrow  /
𓊃 𓐍 𓂬||hit, smite, beat|sack (city)  EN / zack  ENDE / zerk... / zuck
𓊃 𓐍 𓈖 𓂘||embrace, seek out, meet, occupy (a place)|seeken vs δecken ^^ 
𓊃 𓐍 𓈖 𓂻||embrace, seek out, meet, occupy (a place)|seeken / ⇔ syn-come hamsaman ?
𓊃 𓐍 𓈖 𓐎||swelling ?, gathering ?|zicken ~ 'problems'  DE / skin pain
𓊃 𓐍 𓊃 𓂻||run, hurry, flee|zackes ⇔ zackig socken  DE / ⇔sachsen? vs iren, gehrmanen / ⇔ zecken,chase, / zerkzer / xerxer
𓊃 𓐍 𓌪||chop off (limbs)|zuck : chuck  / skut / skop: chop / zkep ⇔ scalp (bi)ceps chop ...
𓊃𓃹𓈖𓏏𓌕||sHamser sahm @AR SEMite/Persian sahm = arrow qed samn shot:chets@HEB|chets khayts shot : cut.os™  ⇔ cend Ta-Shot/Chat/Seth Tasche' ? δkr / sent ➙
𓊃𓈙𓈖  𓊃||XFeno|fashion session / a-ra-ka-te-ja / αιαθάηεηαη / alakateiai / μαλλίno : wool / mwoolino woollinen  EN
𓊃𓎡𓂋||*Zakhur : Saturn |Zakhur  Zakhara  ← Sahara? / Zurvãn = Saturn: Venus as a boy VAN:1th/5th planet (Zoroastrians) Janus deep / Zoroastrians of ancient Persia knew Saturn as the heaven-sustaining Zurvãn, "the King and Lord of the Long Dominion." / Kronos is presented as the father and Zeus as his son who dethrones him. / ⇔ Sabbath ⇔ Seth? / Saturni dies, "Saturn's day." The same day passed into the Anglo-Saxon calendar as the "day of Seater /  distinguished it from our Sun by calling it best sun, the primeval sun, the central sun. / chamis : fifth / ⇔ Sams-tag : Satur-dayƒ / chamis : Thursday / So=1,Mo=2,Di=3,Mi=4,Don=5,Fr=6,SABTur=7 VS / Di=1,Mi=2,Do=3,Fr=4,SAM=5,So=6,Mo=0/7 / Mo'day ~ Mi'day / Di ~ Do / Don ~ Sam
𓊄||go, travel, attain, watch over, send, conduct (to), spend, pass (time), attain (good repute), approach|zieher ziehen   / zieh, ziah ⇔ / sair : run, walk, process /  observation Aze seyr, Hin sair, Per seyr, Taj sayr, Tur seyir / jaula : a tour, a walk jolla / ziara : visit /  pilgrimage Aze ziyaret, Hau ziyara, Hin ziyarat, Ind ziarah, Kyr zyiarat, Per ziyarat, Swa ziara, Tur ziyaret @SEM / @AR / nmesziah ⇔ marschier ƒhier ? / masha : go, walk, marsch / mashi : walking /  guideline Per mashi ال مشي / nazuha : go for a walk   / nuzha : a walk / tanazzaha : go for a walk ⇔ traverse ƒ
𓊄||(dependent prn.) she, her, it|zie: sie  
𓊊||kipper keep-out  ENDE|⇔
𓊏 𓊪 𓏏 𓉐||chapel, summer - house, bedroom|chapetor ⇔ chapter (Domkapitel)  EN / ⇔
𓊔 𓊖||(locality) Nekhen (Hieraconpolis)|carNeKur 
𓊔 𓊖||(locality) Nekhen (Hieraconpolis)|carNeKur  / NeKury / KarNauKur
𓊘 𓏏 𓉐||granary|~guard ~ court  / ⇔ 𐂜 Quart / House of Life (Temple Scriptorium, School) / funerary workshop / Temple
𓊡 𓅱||wind, air, breath|wn:wind  / vneu : pneu πνοή @ greece νοή ⇔ vənt  / shift in reading of double syllables artefact of LETTERS? / νοή: ν=vn ή=ny/yn : / 1) vent / 2) noy / vs ال ريح al ryha ... just not a Semitic language
𓊢 𓂝 𓏏 𓉐||tomb|Stätte / ⇔ sterben
𓊤 𓅱 𓏝 𓋴||so say they|wahr DE / ""
𓊪||dhauq taste AR  as O QED1|bud
𓊪||Lad Lade laden load ENDE|
𓊪 𓂋 𓇋 𓆴 𓂡||battlefield|phyrijär  ← / Feuer...Gärten? / purgetory
𓊪 𓂋 𓈙 𓈒 𓏥||minium (red oxide of lead)|purpur  phoir-stein persian?
𓊪 𓂝 𓅱 𓊮 𓏪||flames ?|Phoiren  / Feuer
𓊪 𓂝 𓈖 𓈖 𓏏 𓆙||slug|vermin  / ⇔würm
𓊪 𓂝 𓏏 𓆇 𓀀 𓁐 𓏥||patricians, mankind|Parther / Parteier / Parthians  ~ Persians / Phoat'ei : Patrik~patricians / Verser ⇔ Ferse / Parse = Hoof ↭ Buren / ⇔
𓊪 𓂝 𓏏 𓏒||a cake or loaf|pat / brt : brot
𓊪 𓄡 𓂋 𓏏 𓄲 𓏛 𓏥||prescription, remedy|'poscritturn  PRESS #pXr ➙ / prescription original 
𓊪 𓅮 𓄿|| 'past tense' marker|whoair ➙ WERE EN / poδeer paster passée  FR/EN/2 ?? ← / qua?
𓊪 𓅮 𓄿 𓏏 𓏮 𓏗||primaeval god, man of ancient family|~voatu / pater  / Vater 
𓊪 𓅮 𓏏 𓏗||cake, loaf (used in offerings)|OƃLATE? ←   / quat ➙ cake ? / photey ⇔ paté ?
𓊪 𓆓 𓂻||stretch out (man on ground)|push / fuß... ?
𓊪 𓈖 𓂝 𓇋 𓇋 𓏏 𓈘||cataract|phonaryt vs / khataryt = cataract /  / ⇔ naut
𓊪 𓈖 𓈎||bail out (a boat)|banque / bank  / ufern ~ abspringen
𓊪 𓊃 𓈙 𓏏 𓏴 𓎅||carpet, matting (of reeds)|pozsch-tent / paschen⇔midnight / ⇔ Pfostenƒ / 
𓊪 𓊃 𓈙 𓏏 𓏴 𓏛 𓏥||sharing out, share, portion|Posten ~ portion   EN/DE
𓊪 𓊃 𓈙 𓏴||divide, share (with)|pass  ⇔ to post, paste, piece, portion, path, … / 
𓊪 𓊃 𓈙 𓏴 𓅓 𓊤 𓅱 𓀀||break silence|^^^ cruüer ~ cry  / puschen : post push ... ?
𓊪 𓊃 𓈙 𓏴 𓏛 𓏥 𓈖 𓎼 𓂋 𓎛 𓇰||midnight|paschen nigher  ← / paschen angerer / past nine = night / fasching / fasten
𓊪 𓊌||base (for statue)|pos' ~ base 
𓊪 𓋴 𓈙||divide|pass  ⇔ p-s-s pasaq … @ sem  ⇔ path part separate break … / poss ~ pussy/votze 
𓊪 𓋴 𓎼 𓂐||spit on, spit at|psig ~ spuck / spit 
𓊪 𓎛 𓂋 𓂋 𓂻||run|pocher ~ pacer  / piatto ⇔ flott /
𓊪 𓎛 𓆓 𓏴||cut up, cut open, sever|force open / pathah = open @ sem 
𓊪 𓎛 𓆓 𓏴||burst open (of cist)|force open / pochst ~ burst ⇔ pathah = open @ sem 
𓊪 𓎼 𓂘 𓈅||mouth (of valley)|~pthach / opG ~ open 
𓊪 𓎼 𓄿 𓂘 𓂡||open, reveal, be open (of wounds)|pochern @ door, wound ⇔ packen QED  DE
𓊪 𓎼 𓄿 𓂘 𓏛 𓁷 𓏤||honest|pochern ob ... ⇔ packen QED  / pochen auf DE  ← / ⇔open
𓊪 𓎼 𓄿 𓎸||bowl|ƃogher / Becher  DE
𓊪 𓎼 𓇷 𓂡||open|pochen^-1 = open  I GET IT MUST BE A~PUN  proof for sennet?
𓊪 𓎼 𓏸 𓈄 𓏤||battlefield|bojiště CES / pogo  / guerre?
𓊪 𓏏 𓐍||cast (to the ground)|push / putch / auch elsewhere ohne t as s
𓊪 𓏤 𓅱 𓊖||(pl.) gods of Pe|^^^ ??? ←  / vs pantheon?
𓊪 𓏤 𓅱 𓊖||(pl.) gods of Pe|^^^ ??? ← 
𓊪 𓐍 𓂧 𓀡||be turned upside down|pho.khr.t = verkehrt ? DE ? ? / ~fetch ⇔ falsch-rum _?? / Parkett Pacat=Paukett=Paw-cat 
𓊪 𓐍 𓆼 𓄿 𓍸 𓏛||purge, reveal (a secret)|okulair.ma? fast: / apokalypht ⇔ up.kluft / ab.lüften / auf.klären DE
𓊪 𓐍 𓏛||purge, reveal (a secret)|purge  / (a)pokter ABBREV:
𓊮||warm, warmth, temperature, inflammation, fever, mood|phyur~phyvr  / fever / R Temple Furniture and Emblems
𓊮||warm, warmth, temperature, inflammation, fever, mood|phyur~phyvr  / fever
𓊶 𓊪||cover, spread (with wings)|cover  EN
𓊶 𓊪 𓊋 𓀀||cover, roof over, hide oneself, take cover, droop (of eyebrows)|cover  QED / chophaph khaw-fa חפף kâphâ : COVER  HEBENDE / Kaff ~ kâphâr kaw-fawr' (village ← fear:protected)
𓊸||© cense|Geweihrauch  / ¬sense cent / ⇔ weinen vine?
𓊹||Wörter ®  DE|char ⇔ chart Scharte
𓊹 𓂋 𓏏 𓈒 𓏥||natron ?|natron
𓊹 𓂧 𓍯 𓅱 𓇼||morning star|Droen-an / Drou-an / Andrew  ← / Droidan / Druiden ← / An-Droiden / AnDru-Idan / Andrew Eden / ← 
𓊿||yamiyn yaw-meen'  Eye-min? amen Amun Ammun ←|yad-manus  ← ?? / Armenians / Amunit Ammoni ⇔ Amunich ≠ Mönch?
𓋁 𓃀 𓏲 𓄛 𓏪||leopard|leopanter @ Levante
𓋆 𓏏 𓊖||(locality) Thebes (Diospolis)|
𓋉 𓊾 𓂉 𓏏 𓊌||(locality) Akhmim|Akhminos? 
𓋉 𓐍 𓅓 𓂜 𓉐||shrine|Kamin 
𓋬 𓂋||total|summar n  / MaTch
𓋬 𓂧 𓏏 𓇳||cycle (of festivals)|Monats... / manu / summit  EN
𓋬 𓂧 𓏏 𓍼 𓏤||collection (of recipes)|⇔ Sammelt 
𓋬 𓂧 𓏛||total, maturity|Mada™ ⇔ *𐎶𐎠𐎭𐎠 (ends) meet, matter, mature, maß, ... / ~maturity 
𓋬 𓄥||grand total|Summe : somma QED N
𓋬𓂧𓏛||ma.tur .. |
𓋭 𓊖||(locality) Elephantine|Fesur Pheskur Veskur Fasci-ur Face-Ur ...   / Known to the Ancient Egyptians as Abu or Yebu, Yebur? no
𓋭 𓏏 𓏤 𓄹||vertebra|vesti-bein vesti-grad vethe-bra verte-bra ? - / vestibule  der Vorhof / σπόνδυλος
𓋴||Noahth s'Not _ ←|
𓋴||nau ~ renew |genoyan ⇔ generate / erneuern← / sumoyan™ ⇔ resumo  @ LAT ← / ⇔ zusammen
𓋴 𓁷 𓂋 𓈐||© remove, exorcise (ill), drive away (foes), avert (face), deliver (from)|sober / säubern  / gober / ⇔
𓋴 𓂋 𓀔 𓀀||nobleman, magistrate|gerchard / Gerhard  
𓋴 𓂋 𓃱 𓀁||foretell, make known|gir... ⇔ shoir,share ⇔ show / gurren, girren, zarra / zair : Seher ⇔ Γroß  GR=GIR ? / zarrafa : giraffe @AR
𓋴 𓂋 𓅱 𓏏 𓏪||prophecies|giraffe<>Garantier / girentiert / Garaffe vs Karaffe ➙ Giraffe / Prophet.Zeichen
𓋴 𓂋 𓈎 𓏏||(divinity) Selket (the scorpion goddess)| srcpion  -
𓋴 𓂋 𓏏 𓇮||thorn, spine|thort ~ thorn / spitce ~spine,spike pi ⇔ lip -- / grat  ---- ^^
𓋴 𓂓 𓄿 𓍁 𓂝||cultivate, plough|sckar ⇔ scar skaer_ carve / char Scharte scharren scharf hharf:sharp ➙ Scheren ... / hharatha : plough hharasha hharth : ploughing : scratch~~scharr
𓋴 𓂧 𓃀 𓋳||fringe (of cloth), a garment|Stepp-Tuch ... / 
𓋴 𓂧 𓄑 𓏴 𓂡||rupture|STOß / QED
𓋴 𓃀 𓄿 𓇼 𓇳||star|sbar seven 7 sƭeran ➙ Stern / sphere   cabu@Akkad  ?
𓋴 𓃀 𓇋 𓅱 𓀁 𓀀||flautist ?|speien
𓋴 𓃀 𓇋 𓏏 𓎸 𓄑||laughter, mirth|Spitze Späße biza@Kurd laugh, laughter  DE/KUR / spess ⇔ Spaß 
𓋴 𓃀 𓇋 𓏏 𓎸 𓄑||laugh, laughter|spit-jars = SPAß QED 
𓋴 𓃀 𓈖 𓂻||glide away (of snakes), steer off course, diverge|spin / ⇔
𓋴 𓃀 𓈖 𓅪||alienate (relatives, property)   -vål|spin
𓋴 𓃀 𓍿 𓄑 𓀁||laughter, mirth|SPAß QED 
𓋴 𓃀 𓍿 𓄑 𓀁 𓁷 𓏤||friendly|spaß-ob / special2 / 2 puns 
𓋴 𓃀 𓏏 𓏀||libation - jar|spit-jar 
𓋴 𓃀 𓏏 𓏮 𓊅||rampart|spathe ~ space ~sparte  / ⇔ spazieren / ~spatial / spatula=Spatel,Spachtel -- / spat sg., usually in plural: spats die Gamasche meist im Pl.: Gamaschen ← / spate = flood
𓋴 𓃂 𓈗||© cleanse, purify, decorate (a building), consecrate (temple servants)|swim etc
𓋴 𓃛 𓂋||© make pregnant|schwänger  DE
𓋴 𓃛 𓅱 𓎛 𓈗||© inundate|schwämmen  DE
𓋴 𓄟 𓇓 𓅱||(adj.) elder, eldest| semestu <> maiesto  <<
𓋴 𓄡 𓎡 𓂋 𓏯 𓏛||© decorate, adorn, burnish| schönern 
𓋴 𓄡 𓎡 𓂋 𓐬||© decorate, adorn, burnish| decorate 
𓋴 𓄡 𓊪 𓀁||~~swallow| chilp gulp/schluck 
𓋴 𓄡 𓃀 𓀁||swallow|  chilb gulp/schluck 
𓋴 𓄲 𓂋 𓂻 𓏛||© cause to circulate, brandish (weapons)|stirr
𓋴 𓅓 𓂧 𓏏 𓏯 𓀀 𓏪||(collective n.) subjects, subordinates, compulsary labour|Sammt (& sonders) ⇔ summit 
𓋴 𓅓 𓃹 𓈖 𓀁||(non-enclitic part.) probably, surely|sAmmen ⇔ SEMn  / common 
𓋴 𓅓 𓅱 𓆰 𓏥||vegetables, herb, pastures, plants, herbage|Gemüse 
𓋴 𓅜||(ritual) recitations|sacra ... sprech: / *Sprachen 
𓋴 𓅱 𓅱 𓏏 𓏏 𓂻||walk about, journey, travel, go forth| go-out gans-gang schmieren : streifen --??<<
𓋴 𓅱 𓋴 𓐍 𓎸 𓏛||© make extensive (of movements)|⇔ broad shuzokhe широкий  ??
𓋴 𓅱 𓊃 𓐍 𓌤||© make extensive (of movements)|shuzokhe ®   RU/GR/EG / shurokij широкий / GREEK RUSSIAN
𓋴 𓅱 𓍑 𓄿 𓏜||© make healthy, keep safe, calm (fear)|sanzair ⇔ sane 
𓋴 𓅱 𓎛 𓏏 𓆇 𓐎||egg|shuHt ~ chert/Schutz Schale / jaune : Sonne
𓋴 𓅱 𓎛 𓏏 𓍱||shroud|Surt ⇔ shroud 
𓋴 𓆎 𓅓 𓀜||© make complete, make up to|skim  s∑am com... ?
𓋴 𓆑 𓇱||be drowsy|snore / gähnen 
𓋴 𓆑 𓈖 𓄿 𓅯 𓁹||© afflict| generate … 
𓋴 𓆑 𓇳 𓏮||yesterday|ges'n ← gestern  (korrupt or abgekürzt?) --??
𓋴 𓆑 𓏏 𓂉 𓀁||clemency|Schnute ... DE  Jargon
𓋴 𓆑 𓐍 𓅱||offerings|Schenkung  DE
𓋴 𓆑 𓏏 𓌪||knife| Schnitt…
𓋴 𓆑 𓐍 𓍼 𓂻||© offer (to god), let go (of)|schenken 
𓋴 𓆑 𓐍 𓍼 𓏥||offerings|Geschenke DE  you can't make that up / Schenke
𓋴 𓆓 𓂧 𓅱 𓀁 𓏪||tales| stories  故事 gùshì Geschichte 	 	历史 lìshǐ 
𓋴 𓆓 𓃀||restore (to life)| sleep s'live (lieb=heart) <<  gesund gesanib 
𓋴 𓆓 𓎛 𓄹||shank, shin|shank s.shn.kh QED ENDE  / Schenkel  ⇔ schien / ←cist-➙
𓋴 𓆼 𓐍 𓂻||© hasten (ƒ: stalk)|stauk ~ stork / stalk / slaikh ~ schleichen ? ← DE-1 / slich ~ auf-der-Schliche?? CLUSTER
𓋴 𓇋 𓄿 𓂋 𓂋 𓁹 𓅪||© dose ? (a patient)    -vål|chirog  DEN
𓋴 𓇋 𓄿 𓏏 𓂿||cheater|cheater 
𓋴 𓇋 𓄿 𓏏 𓋷||fringed cloth|sheat 
𓋴 𓇋 𓆛 𓈖 𓂧 𓅪||© make miserable    -vål|schinden DE 
𓋴 𓇋 𓆛 𓈖 𓂻||© wait (for)|schinden (Zeit) DE  / ⇔
𓋴 𓇋 𓆛 𓈖 𓏏 𓊛||canoe|cinaut = canoe ⇔ Sehnot :) 
𓋴 𓇥 𓂋 𓁀||spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night|snore ⇔ stauer? / churt چورت nap /  short snoret  --EN
𓋴 𓇮 𓂧 𓈋 𓅱 𓀭||Sopd (god)|SuPiter Captaîn Copth / ←>>>>>>>>>>>>
𓋴 𓈍 𓂝 𓂋 𓀁||© enrage|scorn  EN / schauer
𓋴 𓈎 𓀠||base (for shrine)|square 
𓋴 𓈎 𓂋 𓌪||wound, injury|SCAR   EN / SICKer
𓋴 𓈎 𓈖 𓂧 𓀜||© enrage|scorn 
𓋴 𓈖 𓂉 𓏛||smell (perfume), breathe (air), kiss| / sm / sense / semnose / schmusen : smooth / ⇔
𓋴 𓈖 𓂝 𓂝 𓏞 𓏛||© make smooth, polish|smoother 
𓋴 𓈖 𓂝 𓂝 𓏞 𓏛 𓄣 𓏤||© soothe, calm|smooth ➙ soothe 
𓋴 𓈖 𓆱 𓐍 𓏏 𓀜||© make strong, strengthen, enrich|s'enght ⇔ strength  ←? / ⇔ sankter   ? Genght?
𓋴 𓈖 𓉔 𓀁||register, record, muster (troops), drive (birds)|genus  LAT ← ⇔ order
𓋴 𓈖 𓉔 𓊪 𓂻||© set in motion|generate 
𓋴 𓈖 𓎛 𓍢 𓂡||© bind, entwine|snare  EN
𓋴 𓈖 𓏌 𓅱 𓅪||poverty   -vål|schnorren  DE
𓋴 𓉔 𓂋 𓏜||© make content, make peace|sorry  EN / soray.ma ⇔ Salam
𓋴 𓉔 𓄿 𓇋 𓇋 𓏏 𓂻||(v. infinitive) bring down, make to fall|shachah@HEB 
𓋴 𓊪 𓏏 𓂏||lip (of mouth, vagina, wound, jar),|shphat الشفة AR  / spot ~ spit , spitz , spitze ... / schwatzen  / cluster not dominated by AR, but full hit / ←
𓋴 𓊪 𓏝||inspect, examine, revise, entrust, allot, assign, destine (to a fate), organize (household)|(in)spect*  / (in)specter  / (in)spection 
𓋴 𓊵||© provide (for temple), make gracious (to)|share 
𓋴 𓋴 𓊮||ashes|'s.s - / ashes
𓋴 𓋴 𓎛 𓌪||shatter (heads)|chasser ⇔ shatter  / ⇔ assassin
𓋴 𓌈 𓆓 𓏏 𓆱||chest (furniture)|chest  EN / särst / ⇔ Schatz
𓋴 𓌢 𓈖 𓂉||smell (perfume), breathe (air), kiss|ssent : scent  EN / gsen : küssen  DE
𓋴 𓌬||ruler, leader|escort ⇔ / scout EN
𓋴 𓌬 𓏏 𓏛||guidance|escort 
𓋴 𓌳 𓄿 𓌪 𓅓 𓌪 𓂝||kill, destroy|smash  smack / smite / ⇔
𓋴 𓍋 𓅓 𓂋 𓀙 𓀀||friend|Comrade ⇔ Symmer ⇔ Zimmer  / stepper-ierer/arier/gerer:
𓋴 𓍋 𓍋 𓍋||friends|symers: Comrades  / gymnas
𓋴 𓍏 𓏜||© open, reveal (oneself)|sprechen 
𓋴 𓍘 𓎛 𓈖 𓋣||© make dazzling, radiant|stern ~shine chern 
𓋴 𓍯 𓄿 𓅱 𓈐 𓂻||journey|roanir ⇔ journey  ←
𓋴 𓍿 𓊪 𓏏 𓍉 𓄗 𓄯 𓏥||(collective n.) choice things (of food)|chops ⇔ choice also =CHOiS  / scpt ⇔ except
𓋴 𓍿 𓎤||odour, smell|sekret  DEeep secretion vs scent / ⇔
𓋴 𓎔 𓎛 𓈗||(enemy), sink (his ship)|sNH : sink ENDE
𓋴 𓎛 𓅓||© put a stop to|grind  / ⇔ short / shun ?
𓋴 𓎛 𓅓 𓍖||crush, pound, trituration|grind gHrmnδa  / ⇔
𓋴 𓎛 𓅱 𓂝 𓅪||© shorten   -vål|shuor'  / short / SH vs GHR -- aber shatim حطّم
𓋴 𓎛 𓍃 𓅓 𓅱 𓅯 𓅪  𓀀||destroyer    -vål|shatim حطّم AR / shattern  ⇔ / shatara : tear off / حطّم / ⇔ zahubit zpustošit zbořit zničit zpustošit zbořit
𓋴 𓎡 𓎡 𓅱 𓇰||darkness|~ σκοτία darkness ~ scοtia  GR / ~ cherchen.air ⇔ kerker / dark=tarig@P ⇔ tar night ? ⇔ dabr
𓋴 𓎼 𓂋 𓀁||(causative v. and n.) silence|sh'eiger = schweiger DE þegir@Rune  / seijl ➙ silence  - Dialektik, COMMON ANCHESTOR
𓋴 𓏇 𓇋 𓄛 𓏤||whip|smiter  EN
𓋴 𓏇 𓇋 𓏏 𓀁||charge, accusation|smite (Schlag)  EN / summit
𓋴 𓏏 𓏏||pour (water)|schütt  / shoot
𓋴 𓏠 𓈖 𓅭||goose|gamensen : gämse gänse 
𓋴 𓏠 𓈖 𓅭||goose|gamen : gämse gänse  / smen / sgam / suan / swan?
𓋴 𓏠 𓈖 𓏌 𓍖 𓏥||supports of sky|asman @ Persia / shamanurz 
𓋴 𓏮||(dependent prn.) she, her, it|she, es 
𓋴 𓏲 𓅠 𓅓 𓂝||© grind, pulverize|ŝrind <> find -
