word,transcription,definition,note
𐀨-𐀷-𐀁-𐀯-𐀍,ra-wa-e-si-jo,,
𐀨-𐀷-𐀁-𐀯-𐀍,ra-wa-e-si-jo,•meaning obscure error for ra-wa-ke-si-jo? ,
𐀨-𐀷-𐀐-𐀊,ra-wa-ke-ja,•error for ra-wa-ke-si-ja? In parallel context with qa-si-re-wi-ja. ,
𐀨-𐀷-𐀐-𐀊,ra-wa-ke-ja,•In parallel context with qa-si-re-wi-ja hence probably error for ra-wa-ke--ja the office or retinue of the ra-wa-ke-ta. ,
𐀨-𐀷-𐀐-𐀯-𐀃,ra-wa-ke-si-o,house of lawagetas,
𐀨-𐀷-𐀐-𐀲,ra-wa-ke-ta,Duhoux 2011: 'leader of the people' ⇔ non-Attic only λᾶγέτᾶς (in Pindar (518-438 BCE) Sophocles (497-406 BCE)) •'leader of the people' ⇔ λᾶγέτας ⇔ pa-qo-si-jo ⇔ ra-wa-si-jo? ra-wa-e-si-jo? •adjective 'of or belonging to the Lawagetas' ⇔ pa-qo-si-jo-jo •genitive of ra-wa-ke-si-jo Recurs with [[ru-ko-ro]] on PY Ea tablets. Appears as ra-wa-ke-si-jo  [[te-me-no]] on PY Er 312. Appears as [[ma-ra-te-we]]  ra-wa-ke-si-jo on PY Na 245. Appears as ra-wa-ke-ta  [[di-di-si|do-se]] on PY Un 718. KN E: do-ti-ja?toponym PY Er: wa-na-ka-te-ro PY Un: a-ka-wo-ne?dative anthroponym KN E PY Ea PY Er: GRA PY An: VIR PY Na: SA? PY Un: KO MA OVIS  Duhoux Yves 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II Interpreting the Linear B Records: Some Guidelines,
𐀨-𐀷-𐀐-𐀲,ra-wa-ke-ta,leader of the people millitary leader,
𐀨-𐀷-𐀛,ra-wa-ni,(as ra-(wa)-(ni)) •anthroponym ,
𐀨-𐀷-𐀨-𐀲,ra-wa-ra-ta,•toponym? anthroponym? ,
𐀨-𐀷-𐀯-𐀍,ra-wa-si-jo,,
𐀨-𐀷-𐀯-𐀍,ra-wa-si-jo,•meaning obscure anthroponym or ethnic adjective? ,
𐀨-𐀹-𐀊-𐀊,ra-wi-ja-ja,captives,
𐀨-𐀹-𐀊-𐀊,ra-wi-ja-ja,•'captives' ⇔ ληϊάδες (Iliad XX.193+) •genitive of ra-wi-ja-ja ,
𐀨-𐀹-𐀿,ra-wi-zo,•anthroponym ,
𐀨-𐀹-𐀿,ra-wi-zo,•anthroponym tu-ri-so: KN Db ,
𐀨-𐀺-𐀈-𐀒,ra-wo-do-ko,masculine anthroponym unanimously accepted as *Λᾶƒό-δοχος (Homeric Λαόδοχος ⇔ λαƒός δέχομαι) •anthroponym ⇔ Λαόδοκος * denotes a tentatively reconstructed spelling of a word not attested elsewhere in Greek I ,
𐀨-𐀺-𐀐-𐀲,ra-wo-ke-ta,•anthroponym ,
𐀨-𐀺-𐀡-𐀦,ra-wo-po-qo,•anthroponym ⇔ Λεώφορβος Λεωφορβίδης Heubeck 1969: TBD ,
𐀨-𐀺-𐀦-𐀜,ra-wo-qo-no,anthroponym unanimously supported *Λᾶƒό-χwονος 'people-slayer' •anthroponym •genitive of ra-wo-qo-no KN B: pe-qo-no KN Mc: a-pa-sa-ki-jo a-pa-u-ro da-wa-no te-ru-ro CAP: KN Mc OVIS: KN D KN Dl VIR: KN B *150: KN Mc da-wo: KN D KN Dl Aura Jorro Francisco 1999 Diccionari Micénico vol. II ,
𐀨-𐀺-𐀦-𐀲,ra-wo-qo-ta,García anthroponym 'slaying the people' ⇔ λαοφόνος λαFός (Ramón prefers the warlike definition from the Iliad but see also its use in the Odyssey) anthroponym unanimously supported *Λᾶƒο-χwόντᾶς (cf. Λεωφόντης) •anthroponym PY Jn: AES PY Jn: a-si-ja-ti-ja * denotes a tentatively reconstructed word not attested in Greek I  García Ramón J.L. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”,
𐀨-𐀺-𐀴-𐀍,ra-wo-ti-jo,•anthroponym ,
𐀨-𐁇,ra-pte,'leather stitchers' •sewing-man perhaps saddler ⇔ ῥάπτης ⇔ (*-te *-te-re) a-de-te-re a-ke-te-re a3-te-re ko-re-te-re ma-te-re pi-ri-je-te-re tu-ka-te-re Chadwick & Ventris: nominative plural of ra-pte •nominative plural feminine of adjective (reins) with stitching work e-ro2-qo is ra-pte pa-ro [[i-ma-di-jo]] in the PY Ea series. ti-ri-da-ro is ra-pte pa-ro da-mo in the PY Ea series. GRA: PY Ea VIR: PY An ka-ra-do-ro: PY An sa-ri-nu-wo-te: PY An  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀨-𐁇,ra-pte,tailors,
𐀩-𐀀,re-a,•(as ka-ka-re-(a)) '(spears) with bronze points'? ⇔ χαλκήρει δουρί (Iliad V 145+) HAS: KN R ,
𐀩-𐀀,re-a,nose,
𐀩-𐀄-𐀏-𐀲,re-u-ka-ta,•anthroponym ,
𐀩-𐀄-𐀒,re-u-ko,Wiktionary: white •1. white; adjective 2. anthroponym; nominative and dative? •white; nominative singular and plural feminine nominative plural neuter •anthroponym; genitive re-u-ko-nu-ka re-u-ko-to-ro ,
𐀩-𐀄-𐀒-𐀝-𐀏,re-u-ko-nu-ka,•with white o-nu-ka ,
𐀩-𐀄-𐀒-𐀝-𐀒,re-u-ko-nu-ko,(decorated) with white nails,
𐀩-𐀄-𐀒-𐀵-𐀫,re-u-ko-to-ro,Bennet: Mouriatada Elliniko •toponym of the Further Province ⇔ Λεῦκτρον Bennet John RE-U-KO-TO-RO ZA-WE-TE: Leuktron as a secondary capital in the Pylos kingdom? ,
𐀩-𐀏,re-ka,•anthroponym ⇔ Λέσχης re-ka is a te-o-jo do-e-ra pa-ro da-mo in the Pylos tablets. pe-mo GRA: PY Ep  Palmer 1954 TBD,
𐀩-𐀏-𐀲,re-ka-ta,•anthroponym ,
𐀩-𐀐-𐀵-𐀫-𐀳-𐀪-𐀍,re-ke-to-ro-te-ri-jo, festival name in -te-ri-jo (cf. Anthestēria1 Pluntēria2) 'the spreading of the bed' •oil adjective or festival name? 'for a spreading of couches' (Bennett) taken by some as implying a ἱερός γάμος3 but perhaps rather a divine feast 1 Ἀνθεστήρια: Feast of Flowers 3-day festival of Dionysus 2 Πλυντήρια: Athenian festival in which the clothes of Athena's statue were washed 3 holy marriage between gods  Hiller Stefan 2011 A Companion to Linear B: Mycenaen Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Religion and Cult,
𐀩-𐀐-𐀵-𐀫-𐀳-𐀪-𐀍,re-ke-to-ro-te-ri-jo,religious feast,
𐀩-𐀒-𐀜,re-ko-no,•anthroponym •genitive of re-ko-no ,
𐀩-𐀕-𐀵,re-me-to,•anthroponym *168+SE: KN Pp qa-ra: KN Pp ,
𐀩-𐀚,re-ne,•meaning obscure Appears as a-mi-ni-so ke-re-na  re-ne  [ on KN M 719. ,
𐀩-𐀟-𐀄-𐀪-𐀍,re-pe-u-ri-jo,•toponym ,
𐀩-𐀡-𐀵,re-po-to,•'fine thin' Appears as re-po-to  qe-te-o ki-to on KN L 693. ri-no: KN L AES: KN L GRA: PY Un *146: PY Un? ,
𐀩-𐀡-𐀵,re-po-to,thin,
𐀩-𐀣-𐀮-𐀺,re-qa-se-wo,•anthroponym genitive making [toponym] with wo-wo ,
𐀩-𐀦-𐀕-𐀜,re-qo-me-no,•'left behind or over' ⇔ o-pi-ro-qo [[pe-ri-ro-qo]] οί δ᾽οῖοι λείπονται ,
𐀩-𐀪-𐀍,re-ri-jo,uncertain ethnic adjective •ethnic adjective? ⇔ Λέριος?  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀩-𐀪-𐀍,re-ri-jo,uncertain ethnic adjective •ethnic adjective? ⇔ Λέριος?  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀩-𐀪-𐀍,re-ri-jo,uncertain ethnic adjective •ethnic adjective? ⇔ Λέριος?  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀩-𐀯,re-si,•meaning obscure Appears as e-pi-qe (re)-si on KN Lc ,
𐀩-𐀲-𐀗,re-ta-mo,•anthroponym ,
𐀩-𐀷-𐀍,re-wa-jo,•anthroponym dative Appears as pa-ro  re-wa-jo on KN L 871. TELA: KN L? ,
𐀩-𐀺,re-wo,lion,
𐀩-𐀺-𐀵-𐀫-ro-𐀒-𐀺,re-wo-to-ro-ro-ko-wo,bath-pourers,
𐀩-𐀺-𐀵-𐀫-𐀒,re-wo-to-ro-ko,accountable man of bath,
𐀩-𐀺-𐀵-𐀫-𐀺-𐀒,re-wo-to-ro-wo-ko,bath attendants •bath-attendants ⇔ λοετροχόος   ,
𐀪-𐀊-𐀒,ri-ja-ko,•anthroponym ,
𐀪-𐀍,ri-jo,cape,
𐀪-𐀍,ri-jo,descriptive toponym ⇔ ῥίον 'peak' •toponym ⇔ Ῥίον (Strabo VIII 360) ri-jo in PY An: a-ke-re-watoponym a-po-ne-weloc. or abl. da-mi-ni-jo? e-ke-ra2-wo-no e-wi-ri-po [[ko-ni-jo]] ma-ra-ne-nu-we me-ta-ki-ti-ta po-ku-ta po-ra-piinstr. pl. po-si-ke-te-re? po-ti-ja-ke-eloc. ro-o-watoponym te-ta-ra-ne we-da-ne-wo anthroponym [[we-re-ka-ra]] za-e-to-rotoponym ri-jo in PY Cn: a-pu2-we a-ke-re-watoponym [[e-ra-te-i]] ka-ra-do-rotoponym me-ta-patoponym pa-ki-ja-siloc. pl. pe-to-notoponym pi-*82toponym ri-jo on PY Na: e-ri-no-wotoponym po-wi-te-ja  ,
𐀪-𐀍-𐀜,ri-jo-no,•toponym  toponym with a possible place name of Ῥιωνός derived from ῥίον promontory Palaeoglot: place name •variant spelling of ri-jo-no? •variant spelling of ri-u-no if *65=ju •ethnic adjective of ri-jo-no Stella 1965: ethnic adjective of Ῥίον (see also ri-jo) •ethnic adjective of ri-jo-no ri-jo-no (ko-re-te) on KN C: o-du-ru-wi-joethnic si-ra-rotoponym wa-totoponym a-pa-ta-watoponym ku-ta-i-totoponym ri-jo-no in KN Dm: do-ti-jatoponym ku-ta-totoponym pa-i-totoponym ra-su-totoponym ru-ki-totoponym BOS: KN C DA: KN Ak ko-wa: KN Ak? ko-wo: KN Ak? KN Ap LANA: KN Dl MUL: KN Ap OVIS: KN Da KN Db KN Dd KN Df KN Dl KN Dm KN Dn KN Dv TA: KN Ak *170: KN C a-wo-i-joa2-pa-tu-wo-te: KN Dv a3-ke-wa-tahapax: KN Da a3-tohapax: KN Da da-wihapax: KN Db du-rihapax: KN Da e-u-na-wo: KN Dv [[ki-sa-nu-wo]]hapax: KN Da ku-dohapax: KN Df ma-ta-u-rohapax: KN Dd o-ne-uhapax: KN Dd qe-ro: KN Db wi-ra-ne-tose-to-i-ja: KN Dv  Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien Stella Luigia Achillea 1965 La civiltà micenea nei documenti contemporanei,
𐀪-𐀓-𐀸,ri-ku-we,•anthroponym ,
𐀪-𐀔,ri-ma,Melena 2000-2001: placement [in the parallel context of PY Qa] suggests a title of the religious sphere [...] However the 'title' (ri)-ma is a hapax which is difficult to interpret. It ought to be a nominative but a neuter formation in -ma matos on a verbal base is unlikely for a title. So we are dealing perhaps with another instance of a noun in -mar martos like du-ma or da-ma for which only δάμαρ is attested in the Greek lexicon. Therefore it cannot be excluded that it is a faulty reading of {du}-ma. •meaning obscure  ,
𐀪-𐀔-𐀿,ri-ma-zo,•anthroponym KN Da: tu-ni-ja KN Da: OVIS ,
𐀪-𐀕-𐀚,ri-me-ne,harbour,
𐀪-𐀕-𐀚,ri-me-ne,port,
𐀪-𐀙-𐀒-𐀫,ri-na-ko-ro,•occupational term? toponym? 'flax-fields'? ,
𐀪-𐀚-𐀊,ri-ne-ja,•occupational term 'flax-workers'? 'linen-weavers'? •genitive plural of ri-ne-ja ,
𐀪-𐀛-𐀍,ri-ni-jo,•meaning obscure derivative of λίνον ,
𐀪-𐀜,ri-no,linen,
𐀪-𐀜,ri-no,(on KN Np) uncertain toponym •flax linen ⇔ λίνον (Iliad IX 661+) (on KN Np)  plausible toponym  two homographs; one representing linen one representing a toponym  «388 racords de fragments dans les tablettes de Cnossos» ,
𐀪-𐀭-𐀠,ri-sa-pi,•toponym locative ⇔ Λίσσα (Crete) Λίσσαι (Thrace) ,
𐀪-𐀰-𐀷,ri-so-wa,•anthroponym ,
𐀪-𐀰-𐀸-𐀊,ri-so-we-ja,•toponym ,
𐀪-𐀱-𐀨,ri-su-ra,•anthroponym ,
𐀪-𐀲,ri-ta,•'of linen' ⇔ λῖτα ,
𐀪-𐀹-𐀍,ri-wi-jo,•anthroponym ,
𐀪-𐀹-𐀰,ri-wi-so,•anthroponym KN Da KN Dv: OVIS KN Ga: AROM KN Da KN Dv KN Ga: ku-ta-to ,
𐀪-𐀿,ri-zo,•anthroponym ,
𐀪-𐁚-𐀲-𐀃,ri-*82-ta-o,•anthroponym genitive ,
𐀫-𐀀,ro-a,•meaning obscure ,
𐀫-𐀂-𐀒,ro-i-ko,•'crooked'? 'pomegranates (as a decorative element)'  Palmer Leonard R. 1963 Interpretation of Mycenaean Greek Texts,
𐀫-𐀃-𐀷,ro-o-wa,•toponym locative possibly the port of Pylos ,
𐀫-𐀄-𐀒,ro-u-ko,•anthroponym ,
𐀫-𐀄-𐀯-𐀋-𐀹-𐀊,ro-u-si-je-wi-ja,•nominative plural feminine word describing reinds derivative of ro-u-so? ,
𐀫-𐀄-𐀰,ro-u-so,•toponym (Hither Province) ⇔ Λουσοί Arcadia •ethnic adjective of ro-u-so ,
𐀫-𐀒,ro-ko,•anthroponym dative •genitive of ro-ko ,
𐀫-𐀦-𐀲,ro-qo-ta,•anthroponym ,
𐀫-𐀫-𐀛-𐀊,ro-ro-ni-ja,•toponym? ,
𐀫-𐀬,ro-ru,•anthroponym KN Ce: a-nu-ko anthroponym OVIS: KN Ce KN Dq te-pa-ra: KN Ce (if toponym definition is correct) ti-ri-to: KN Dq u-ta-no: KN Fh? (to do: is verso related to recto?) ,
𐀫-𐀸-𐀹-𐀊,ro-we-wi-ja,,
𐀫-𐀺,ro-wo,•anthroponym ,
𐀬-𐀑-𐀵,ru-ki-to,toponym not Lyktos based on contradicting geographic evidence of place-name equation Melena 1974  toponym Λύχαστος •toponym Λύχτος (Palmer 1972 rejects this) Hart 1965: toponym Lyktos •ethnic adjective of ru-ki-to •ethnic adjective of ru-ki-to KN Db 1297 Killen & Olivier 1989: error for ru-ki-? ru-ki-to in KN Db: *56-ko-wetoponym ru-ki-to in KN Dc: *56-ko-wetoponym ru-ki-to in KN Dm: do-ti-jatoponym ku-ta-totoponym pa-i-totoponym ra-su-totoponym ri-jo-notoponym ru-ki-to in KN Dn: a-katoponym pu-(so)toponym ru-ki-to in KN V: qa-ratoponym ti-ri-totoponym ru-ki-ti-jo (KN E): pu-si-joethnic ti-ri-ti-joethnic tu-ri-si-joethnic qa-mi-joethnic qa-ra-joethnic ra-ti-joethnic u-ta-ni-joethnic ru-ki-ti-jo (KN Og): pu-si-joethnic qa-mi-joethnic qa-ra-joethnic tu-ri-si-joethnic ru-ki-ti-jo (KN Xd): ko-no-si-jo AROM: KN Ga BOS: KN C GRA: KN E M: KN Og OLE: KN Fh OVIS: KN Da KN Db KN Dc KN Dd KN De KN Df KN Dg KN Dm KN Dn KN Dv TELA+TE: KN Ln *170: KN C a-no-qo-tae-ra ti-wa-ti-ja?: KN Da a-si-wi-jo: KN Df a3-ke-wa-tora-to: KN Db da-ja-rodi-ro: KN Da ka-mo-ni-johapax: KN Da ma-ra-pi-johapax: KN Dd mi-ta-qohapax: KN Dv mo-ni-kohapax: KN Da pa-ti: KN Dd pu-da-so?hapax: KN Dc qa-sa-kohapax: KN Dd qe-da-do-ropa-na-so: KN De qi-zohapax: KN Dd sa-sa-johapax: KN Df si-ni-tohapax: KN Dg ta-de-soe-ko-so: KN Df ti-jahapax: KN Dg tu-qa-ni-ja-so: KN Db u-wa-ta: KN Dd wi-na-joe-ra ra-su-to *56-ko-we: KN Db wi-su-rohapax: KN Dd *56-ri-to: KN Db  Hart G. R. 1965 Mnemosyne 18 The Grouping of Place-Names in the Knossos Tablets Killen John T. and Jean-Pierre Olivier 1989 The Knossos Tablets 5th Ed. Place-Names in the Knossos Tablets Identification and Location Melena José L. 1974 Minos 15 Coriander on the Knossos tablets Palmer Leonard R. 1972 Kadmos 11:1 Mycenaean Inscribed Vases II. The Mainland Finds Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien kar WNXVII.97 *56-ko-we,
𐀬-𐀒-𐀺-𐀫,ru-ko-wo-ro,•anthroponym ⇔ toponym Λυκουρία •alt. spelling ,
𐀬-𐀔-𐀜,ru-ma-no,•anthroponym ,
𐀬-𐀔-𐀜,ru-ma-no,•anthroponym ,
𐀬-𐀙,ru-na,•anthroponym ,
𐀬-𐀙-𐀗,ru-na-mo,•anthroponym OVIS: KN Da e-ko-so: KN Da qa-ra: KN Da ,
𐀬-𐀙-𐀰,ru-na-so,•anthroponym ⇔ toponym Λυρνησσός ,
𐀬-𐀝,ru-nu,•anthroponym TELA: KN Ln ,
𐀬-𐀨-𐀲-𐀁,ru-ra-ta-e,lyrists,
𐀬-𐀭-𐀔,ru-sa-ma,•anthroponym TELA+TE: KN Ln ,
𐀬-𐀯,ru-si,•anthroponym ⇔ Λύσις ru-si + connective enclitic -qe ,
𐀬-𐀷-𐀛-𐀍,ru-wa-ni-jo,luwia (country),
𐀬-𐁋,ru-ta2,•anthroponym ,
𐀬-𐁋-𐀜,ru-ta2-no,•anthroponym ,
𐀬-𐁖-𐀨-𐀰,ru-*56-ra-so,•anthroponym KN Da: pa-i-to KN Da: OVIS ,
𐀬-𐁛,ru-*83,•anthroponym •genitive •dative pi-ke-re-wo and a3-ti-jo-qo on PY En 74 ,
𐀭-𐀄-𐀒,sa-u-ko,•anthroponym ,
𐀭-𐀄-𐀪-𐀍,sa-u-ri-jo,•anthroponym ⇔ Σαῦρος Σαυρίας ,
𐀭-𐀆-𐀰,sa-de-so,•anthroponym? TELA+PU: KN L *146: KN L ,
𐀭-𐀍,sa-jo,•toponym ,
𐀭-𐀎,sa-*65,•anthroponym ,
𐀭-𐀏-𐀩-𐀄,sa-ka-re-u,•anthroponym ⇔ Σαγγαρεῖς (Aeolic people) •genitive of sa-ka-re-u •dative of sa-ka-re-u ,
𐀭-𐀏-𐀪-𐀍,sa-ka-ri-jo,•anthroponym? dative? ,
𐀭-𐀐-𐀕-𐀜,sa-ke-me-no,(as (sa)-ke-(me)-no) •anthroponym ,
𐀭-𐀔-𐀅,sa-ma-da,uncertain toponym •toponym or anthroponym? CROC: KN Np  ,
𐀭-𐀔-𐀊-𐀰,sa-ma-ja-so,(as ]sa-ma-ja-(so)) •anthroponym ,
𐀭-𐀔-𐀨,sa-ma-ra,•toponym of the Further Province •anthroponym allative of sa-ma-ra sa-ma-ri-jo KN Da: da-*22-to sa-ma-ri-jo KN Da: OVIS sa-ma-ri-jo KN Np: CROC ,
𐀭-𐀔-𐀪-𐀍,sa-ma-ri-jo,•anthroponym CROC: KN Np OVIS: KN Da da-*22-to: KN Da ,
𐀭-𐀔-𐀪-𐀷,sa-ma-ri-wa,•toponym ,
𐀭-𐀔-𐀪-𐀷-𐀲,sa-ma-ri-wa-ta,•masculine anthroponym KN As: VIR KN Dv: OVIS KN Dv: ra-to ,
𐀭-𐀔-𐀬,sa-ma-ru,(as sa-ma-ru[) •anthroponym? ,
𐀭-𐀔-𐀴-𐀊,sa-ma-ti-ja,•anthroponym ,
𐀭-𐀕-𐀴-𐀍,sa-me-ti-jo,•anthroponym ,
𐀭-𐀕-𐀸,sa-me-we,,
𐀭-𐀖,sa-mi,•anthroponym ,
𐀭-𐀘-𐀲-𐀍,sa-mu-ta-jo,•anthroponym ⇔ Σαμύθα See Hart 1965 for sa-mu-ta-jo's connections with do-ti-ja and ka-ma.  Hart G.R. 1965 Mnemosyne 18 “The Grouping of Place-Names in the Knossos Tablets”,
𐀭-𐀙-𐀰,sa-na-so,(as sa-na-so[) •anthroponym? ,
𐀭-𐀙-𐀵-𐀆,sa-na-to-de,•toponym allative KN Fs: pa-de? KN Fs: FAR HORD NI OLE VIN  ,
𐀭-𐀛-𐀍,sa-ni-jo,•anthroponym ⇔ Σαωωίων ,
𐀭-𐀝-𐀸,sa-nu-we,•anthroponym dative ,
𐀭-𐀝-𐀸-𐀲,sa-nu-we-ta,•anthroponym ,
𐀭-𐀞,sa-pa, name of a (small or inexpensive) [...] textile item ⇔ σαβάνον? •name of a textile? Palaeolexicon: type of dress Appears as sa-pa  o-no on MY Oe 108. AES: KN L? LANA: MY Oe ri-no: KN L?  ,
𐀭-𐀞,sa-pa,type of dress,
𐀭-𐀞-𐀏-𐀳-𐀪-𐀊,sa-pa-ka-te-ri-ja, 'sacrificial (animals)'  toponym in -ία ⇔ Σφαχτηρία Σφαχτήρια (but as notes of the proposed etymology this is achieved by two violations of the Linear B spelling rules: the writing of initial s before p and ka-te not ke-te for -kte. also noted by Lejeune 1960 Vilborg 1960 Ruijgh 1967 Chadwick & Ventris 1973)  'victims' ⇔ σφαγιάζομαι Sittig 1956: toponym Appears as “pa-ro / a-pi-qo-ta  sa-pa-ka-te-ri-ja” on KN C 941+. OVIS: KN C Hiller Stefan 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II Religion and Cult Lejeune Michel 1960 (RPh) 34 «Essais de philologie mycénienne VI. Les dérivés en -ter-» Place-Names in the Knossos Tablets Identification and Location Palmer Leonard R. 1963 Interpretation of Mycenaean Greek Texts Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien Sittig E. 1956 Minos 4 «Zur Entzifferung der minoisch-kyprischen Tafel von Enkomi» ,
𐀭-𐀞-𐀝-𐀺-𐀕-𐀜,sa-pa-nu-wo-me-no,•meaning obscure; possibly to be divided sa-pa-nu-wo me-no. ,
𐀭-𐀟-𐀨,sa-pe-ra,•meaning obscure; apparently replaces entry giving quantity of oil. ⇔ sa-pi-da ,
𐀭-𐀠-𐀅,sa-pi-da,•meaning obscure; apparently replaces entry giving number of men. ⇔ sa-pe-ra ,
𐀭-𐀠-𐀆,sa-pi-de,boxes,
𐀭-𐀠-𐀆,sa-pi-de,•countable commodity perhaps boxes ⇔ σαρπίς σαρπός ,
𐀭-𐀠-𐀴-𐀚-𐀸-𐀍,sa-pi-ti-ne-we-jo,•possibly an adjective of sa-pi-ti-nu-wo? ,
𐀭-𐀠-𐀴-𐀝-𐀺,sa-pi-ti-nu-wo, a 'collector' [of sheep] •anthroponym KN As: VIR  ,
𐀭-𐀣-𐀩-𐀍,sa-qa-re-jo,patronymic •sheep adjective possibly derived from an anthroponym  Killen J.T. TBD,
𐀭-𐀨-𐀟-𐀅,sa-ra-pe-da, this word looks like a compound of πέδον 'ground'; it could be the name of a kind of land (?) or a [toponym] (?) •possibly a toponym •probably a variant of sa-ra-pe-da ,
𐀭-𐀪-𐀝-𐀺-𐀳,sa-ri-nu-wo-te,•toponym ⇔ Σελινοῦς •variant or error of sa-ri-nu-wo-te dative-locative -wo-te 'provided with'; 'rich in celery' a Greek derivative of a non-Greek word (σέλινον). •probably variant spelling of sa-ri-nu-wo-te  ,
𐀭-𐀪-𐀦-𐀫,sa-ri-qo-ro,•anthroponym Appears as sa-ri-qo-ro  a-we-u-pi on PY An 172. AES: PY Jn VIR: PY An ,
𐀭-𐀭-𐀍,sa-sa-jo,•anthroponym ,
𐀭-𐀭-𐀔,sa-sa-ma, sesame seeds ⇔ σήσαμον Hipponax Doric σᾶσαμον Such a phytonym is not attested in Homer who instead mentions a town or spot in Paphlagonia bearing the name Σήσαμος (Iliad 2.863). •sesame seed ⇔ Doric σάσαμον from Semitic loan-word ⇔ Akkadian šamaššammu Ugaritic ššm,
𐀭-𐀭-𐀔,sa-sa-ma,sesame,
𐀭-𐀭-𐀺,sa-sa-wo,•anthroponym ,
𐀭-𐀴-𐀥-𐀵,sa-ti-qi-to,Chadwick & Ventris 1973 (as sa-ti-[.]): anthroponym ,
𐀭-𐀼-𐀫,sa-za-ro,•anthroponym ,
𐀭-𐀽-𐀫,sa-ze-ro,•anthroponym ,
𐀭-𐀿,sa-zo,•anthroponym ,
𐀮-𐀈,se-do,•anthroponym ,
𐀮-𐀕-𐀶-𐀫,se-me-tu-ro,•anthroponym ,
𐀮-𐀜,se-no,•anthroponym ,
𐀮-𐀪-𐀜,se-ri-no,celery,
𐀮-𐀵-𐀂-𐀊,se-to-i-ja,toponym not Setaia based on contradicting geographic evidence of place-name equation •toponym Appears as se-to-i-ja su-ke-re-o on KN As 1516. Appears as se-to-i-ja  [[au-to|(au)-to]] on KN Da 1392+. Appears as se-to-i-ja 'wa' on KN Le 654. Appears as se-to-i-ja  mi-to-we-sa  a-ra-ro-mo-te-me-na on KN Sd 4407+. KN As: da-*22-totoponym (ko)-(no)-(so)toponym KN Lc: (a)-ra-ka-te-ja? (da)-wi-jaethnic e-ra-jaethnic e-me-si-jo-jogen. anthroponym e-ro-pa-ke-ja? ri-jo-ni-jaethnic CUR: KN Sd? LANA: KN Lc OVIS: KN Da KN Dc KN Do KN Dq TELA: KN Lc VIR: KN As *142: KN Mc a-pi-ra-wohapax: KN As du-ni-jo: KN As ko-te-uhapax: KN Do ku-tohapax: KN As sa-u-ri-johapax: KN As su-ke-re: KN As te-ki-ri-ne-tohapax: KN Dq wa-ru-wo-qohapax: KN As wi-ja-ma-ropa-i-to: KN As wi-ra-ne-tori-jo-no: KN As  Place-Names of the Knossos Tablets Identification and Location kar WNXIV.170 ka-to-ro,
𐀮-𐀵-𐀂-𐀊,se-to-i-ja,toponym not Setaia based on contradicting geographic evidence of place-name equation •toponym Appears as se-to-i-ja su-ke-re-o on KN As 1516. Appears as se-to-i-ja  [[au-to|(au)-to]] on KN Da 1392+. Appears as se-to-i-ja 'wa' on KN Le 654. Appears as se-to-i-ja  mi-to-we-sa  a-ra-ro-mo-te-me-na on KN Sd 4407+. KN As: da-*22-totoponym (ko)-(no)-(so)toponym KN Lc: (a)-ra-ka-te-ja? (da)-wi-jaethnic e-ra-jaethnic e-me-si-jo-jogen. anthroponym e-ro-pa-ke-ja? ri-jo-ni-jaethnic CUR: KN Sd? LANA: KN Lc OVIS: KN Da KN Dc KN Do KN Dq TELA: KN Lc VIR: KN As *142: KN Mc a-pi-ra-wohapax: KN As du-ni-jo: KN As ko-te-uhapax: KN Do ku-tohapax: KN As sa-u-ri-johapax: KN As su-ke-re: KN As te-ki-ri-ne-tohapax: KN Dq wa-ru-wo-qohapax: KN As wi-ja-ma-ropa-i-to: KN As wi-ra-ne-tori-jo-no: KN As  Place-Names of the Knossos Tablets Identification and Location kar WNXIV.170 ka-to-ro,
𐀮-𐀺-𐀵,se-wo-to,•annotation to toponym qa-ra ,
𐀯-𐀀-𐀫,si-a-ro,porks,
𐀯-𐀅-𐀍,si-da-jo,•anthroponym ⇔ toponym Σίδαι Σίδη KN Dl: ma-ri KN Dl: OVIS LANA KN Od: LANA (if reading of anthroponym ]si-da-jo is complete) ,
