Glyphs	Convention	Transcribed	Meanings	Connection	√√	Akkadian
𒋢𒁔	su-bur₂	subur	quicksand 	চোরাবালি cōrabali sorramoll 	+?	
𒋚	subur	subur	slave, servant	servant 𒊩 SAL Slavic slaves Σκλάβος Sklábos Serbs serves serfs  	++	#ardu 
𒋚;𒈛	subur;subur₂	subur	 	•säuber clean 𒈛 sukal vizier serf	•++	
𒋢𒌓	su-ud	sud	plant	seed	ok?	#hahinnu 
𒂬	sud₅	sud	to purify	शुद्ध बनाउनु śuddha banāunu очи́стить očístitʹ  ≠ sudeln	++?	#ullulu 
𒋥;𒋢𒆳𒊒	sud₂;sud₃	sud	 	?		
𒋤;𒋤𒌓	sud;su₃-ud	sud	distant; 	√Zeit? √süd? @ serpent de-sutu distant vzdáleně vzdálit busud > بعيد beʕīd ?	<<	#rêqu reach roady
𒋤;𒋤𒌓	sud;su₃-ud	sud	remote, long-lasting; 	ˢaeternus 蛇的  shéᵈᵉ 		#nesû  𐎐𐎈𐎌 nḥš nihayetinde
𒋤;𒋤𒌓	sud;su₃-ud	sud	profound	syväᵈᵉ βαθύς vathýs reverse		
𒋤𒌓𒅅	su₃-ud-ĝal₂	sudĝal	long-lasting, extended 	streck stretch spread estender	<<	
𒋤𒅅	sud-ĝal₂	sudĝal	long 	ут ˢut ˢfada ˢwide		
𒋢𒁷𒄷;𒌋𒁷𒄷;𒋢𒋼𒂗	su-din mušen;šu₄-din mušen;su-te-en	sudin	bat	𓋴 𓐟 𓄿 𓐍 𓅓 𓅱 𓏯 su… musen 𒌋𒁷𒄷 Fledermäuseⁿ		#suttinnu 
𒋥𒋥	sud₂sud₂	sudsud	to grind 	𒈥 ᵍrad grind 𒋥𒋥 		
𒆹	sug	sug	back, upperside, upper part	"𒆹 SUG 𒆹 ≈ 𓐠 ≈ 𓐟 šurūq شُرُوق zurück ""back"" ""up"""		
𒆹	sug	sug	steppe, open country	"𒆹 SUG #şēru sierra ""outback"""		#elītu;şēru 
𒋤	sug₄	sug	empty	•suck empty coeg छूछा chūchā vacío		#erû; urrû;riāqu 
𒋤	sug₄	sug	(cut) clear	•suck clear işıqlı асыҡ asıq •sagh ใส sǎi صفا safâ شَفَّاف šaffāf soilleir clear زاهر zāhir		
𒋤	sug₄	sug	strip naked	"sacar 𐍃𐌰𐌺𐌰• ئوچۇق ochuq uchi.gol < асыҡ asıq ""strip naked"" <>  შიშველი šišveli шәрә şärä 𒁍 SÍR sheer"		
𒆹	sug	sug	reed-bed, marsh	𓋴 𓐍 𓏏 𓇏 𓈅 marshland 𓋴 𓇐 𓏮 𓆰 ≈  𓇏   𓇓 𒃻 šá 𓆷 sedge сас саз ճահիճ čahič		#appāru;şuşû 
𒋢	sug₆	sug	to repay a loan; to replace	zahl?		#apālu;riābu 
𒆹	sug	sug	shrine, chapel	𓋴 𓇐 𓏮 𓆰 swamp 𓆷  	<<	#sukku <> svētnīca 
𒁻	sug₂	sug	plural stem of gubto stand	sug₂tan ≈ stand ?		#uzuzzu @ Sessel
𒆹;𒅲	sug;sug₇	sug	;  	?		
𒋢𒊌	su-ug	sug	?	?		#? 
𒆹𒅥	sug gu₇	sug gu	devastated	zugrunde		#? 
𒄑𒄑𒁁	ĝeš sugin	sugin	rot; decayed matter	…bad		#sumkīnu;nutāpu 
𒋢𒅥	su-gu₇	sugu	redness, reddening	"𒋢 KUŠ ≈ Kirsch  𒋢𒅥	suʳgu₇ *sark- سرخ sorx “red”  sarks “red, pink”"		#rišûtu 
𒋢𒅥	su-gu₇	sugu	need, shortage, famine	"seek shortage < sar sor ""red"""		#hušahhu 
𒆹𒍠	sug-zag	sugzag	(compound verb nominal element) 			
𒆹𒍠𒅥	sug-zag gu₇	sugzag gu	to destroy completely	…		#? 
𒄗	suh₃	suh	to confuse; confusion	such <> sys <>		#ešītu 
𒈹;𒄗	suh₁₀;suh	suh	crown 	ዘውድ zäwd crown сырнепря sirńepŕa သရဖူ sa.ra.hpu		
𒄗𒆟;𒈹𒆟	suh-gir₁₁;suh₁₀-gir₁₁	suhgir	diadem 	сырнепря sirńepŕa ^ <>  עֲטָרָה 'atará		
𒆪	suh₅	suh	to defecate; to have diarrhea	suh₅tu shit		#ezû;našāhu 
𒆪;𒄗	suh₅;suh	suh	to tear out; to extract; to choose	saug zieh		#nasāhu 
𒈬	suh₇	suh	interior	sisustus sisä- sisäinen 		#tāhu 
𒄗𒀀𒀭𒁉;𒄗𒀀𒀭	suh-am₃-bi;suh-am₃	suham	cry 	scream		
𒇭𒋧	suhirim	suhirim	heap of grain	𒃷 GAN2 < •grain		#tarammu terra…
𒄗𒄗𒍝	suh₃-sah₄za	suhsah za	to make noise 	ONO		
𒄑𒋗𒁲𒌍;𒄑𒋗𒁹;𒋗𒂵	ĝeš suhub₄;ĝeš suhub₃;suhub₅	suhub	door bolt, bar	Schub…		#mēdelu;napraku 
𒋢𒀯;𒄸𒄸;𒋢𒋗𒁹;𒋢𒄸	kuš suhub₂;HUB₂HUB₂;kuš suhub;su-hub₂	suhub	boots, shoes	𒋢𒄸 su-hub₂ shoe,boots #šuhuppatu  		#šuhuppatu 
𒋗𒁹	suhub	suhub	to tread	step  стъпвам stǎpvam calpestare se'pisar	<<	#kabāsu;šuhuppu 
𒋗𒁹	suhub	suhub	rim of a wheel	о́бод ˢóbod		
𒋙𒀯	suhul	suhul	 	sol ☼ sole @ shoe		
𒋦𒄩;𒄩𒋦	suhur ku₆;ku₆ suhur	suhur	carp	𒄩 KUᴿ < 𒄫 KIR Karpfen 𓆛 [[fish]] 𒄫 𒃼 𒈖 gar  		#purādu 
𒋦	suhur	suhur™	to insert 	(in)suhurt		
𒋦	suhur	suhur™	to scratch; to incise	≈ suhur™		#ekēku;naqāru 
𒋦	suhur	suhur	to trim or comb the hair	√scher		#šamāţu;qamāmu;kezēru 
𒋦	suhur	suhur	tuft, plume; crown (of a tree)	suhurᵒⁿ ≈ crown		#qimmatu 
𒋦𒇲	suhur-la₂	suhurla	hairstyle; a functionary; prostitute	√scher		#kezertu 
𒁼	suhuš	suhuš	foundation	"√sous √house 𒁼 šuršu شرش šereš š-r-š source, root
"		#išdu 
𒌉;𒉟	suhušₓ(TUR);suhuš₂	suhuš	date palm offshoot 	suhuš₂ ≈ shoots?		
𒈛	sukkal(tor)	sukkal	secretary, civil servant	secretary		#sukkallu 
𒅆	suku₅	suku	pole	𒅆 ŠI.IGI suku₅ 𒅆 ᵐᵃIGI мокъ moqxʼ  מוֹט mot mast	+?	#šukû 
𒃴	sukud	sukud	height, altitude	"ˢhoogte  ""height"" висок visokᵈᵉ •visokta высота́ vysotá височина́ "	+?	#mēlû 
𒈹	sukuš	sukuš	 	𒀭𒈹𒋝  SIG 𒈻 sed शीत śīta cold 		
𒋢𒌌	su-ul	sul	to cover	skuil skuiling 𐍃𐌷𐌿𐌻 shul in 𐌳𐌹𐍃𐌷𐌿𐌻𐌾𐌰𐌽 dishuljan  ծածկել cackel cubril <> skin suoja σκέπη sképē school? غِلَاف ḡilāf	++?	#katāmu 
𒋢𒌌𒋢𒌌	su-ul-su-ul	sul	crippled 	cripple ≈ cubril ≈ acoapir	<<!	
𒋢𒇲;𒉌	su-la₂;sul₂	sul	salted, pickled meat	"≈ 𒉌 ṣal salted 𒉌 sul₂ 𒋢𒇲 su-la₂ @ 𒂄 <> 𒉌𒂄 ṣal:ŠUL са́ла sála ""lard"" <> 𒉌 ˢoil "	+++	#muddulu 
𒉌	sul	sul	to slither 	≈		
𒉌	sul	sul	to spoil 	≈		
𒋙𒀯	sulgar	sulgar	 	?		
𒋢𒅆;𒋢𒉌𒅎	su-lim;su-li₂im	sulim	awesome radiance	𒋢𒉌𒅎 su-ni-im shinin'		#šalummatu;rašubbatu 
𒉺	sullat₂	sullat	 	? -		
𒂙	sullim	sullim	rubbish tip	≠ slime-heap		#baliltu 
𒌑𒂙𒋗𒁺𒁀𒊬	u₂ sullim-šu-gub-ba sar	sullimšuguba	spice 	šuguba-sar ≈ spice	<+	
𒋢𒈝;𒅗𒈝	su-lum;su₁₁-lum	sulum	contempt 	salam		
𒋢𒈝𒈥;𒅗𒈝𒈥;𒆠𒊕𒁺	su-lum mar;su₁₁-lum mar;sulummar	sulum mar	to slander, treat with contempt; slander	sulummar ≈ slander 		#ţupullû 
𒄑𒋢𒈝𒈥;𒄑𒅗𒈝𒈥	ĝeš su-lum-mar;ĝeš su₁₁-lum-mar	sulummar	tethering rope 	Seil…		
𒅾	sum₄	sum	beard; carved beard (for statues)	"𒅾	sum₄ ፂም ṣ́im ጢም ṭim timir < ⵜⴰⵎⴰⵔⵜ tamart > ⲙⲟⲣⲧ mort мочӏор муцӏур muc̣ur мешолга mešolga मासुरी māsurī permuted"		#ziqnu  זָקָן zakán жакӏьа žakʲʼa Ziegenbart 
𒍧	sum₅	sum	poor; pauper	poor ≈ four  #sum₅ сиромах siromah		#lapnu 
𒋧𒆠	sum-ki	sumki	wood shaving? 	树木屑 shùmùxiè		
𒋢𒈬𒊌;𒋙𒈬𒊌	su-mu-ug;su₂mu-ug	sumug	darkness; calamity, fear	•sulmug calamity KUŠ… 	<<	#idirtu 
𒄢;𒅇𒄢	sumun₂;u₃-sumun₂	sumun	wild cow	𓋴 𓏠 𓈖 𓃒 !		#rīmtu 
𒄢	sumun	sumun	old; old wood, rot, decayed matter	senior <> #sumkīnu !		#labāru;nutāpu;sumkīnu 
𒄢;𒅇𒄢	sumun₂;u₃-sun₂	sumun	soaking vessel; beer mash	<> soma ?…     浸漬容器 shinse yōki	--	#narţabu  وعاء النقع (wa'aa al-naqa')
𒇯𒇯𒊺	sumunda	sumunda	 	?		
𒌑𒇰𒊬𒊬;𒌑𒄢𒁯;𒌑𒌋𒌋𒁺	u₂ šumunda sar;u₂ sumun-dar;u₂man-du	sumundar	beetroot	x شَمَنْدَر أَحْمَر šamandar ʔaḥmar	++++	#šumuttu 
𒊨;𒅗	sumur;sumurₓ(KA)	sumur	angry, furious	"𒊨 šur2 šur₂ sauer ""angry, furious"""		#ezzu;šamru 
𒊨;𒋦;𒈰	sumur;sumur₂;sumur₃	sumur	roof	"ṣim@Tocharian Sims tim tom طام dam ""(sun)roof"" #şululu soleil [[sun]]"		#şululu 
𒁔	sun₅	ᵗsun	humble 	tsanúa צנוע 谦逊 qiānxùn  𒉆𒁔𒈾 humility	++-	
𒆗;𒁔	sun₇;sun₅	ᵗsun	haughty 	𒁔 BÚR PIE *bʰerǵʰ ᵗsun@zenith		
𒁔	sun₅	sun	(plural stem of kurto) enter 	@ center		
𒁁	gi sun(BAD)	sun	reed shoot	bud		#habasillatu 
𒊯	sur₄	sur	to cut cloth	√scher?		#nakāsu 
𒄮;𒆠𒃲;𒆠𒆕	sur₃;sur₆;sur₇	sur	canal, ditch; foundation pit of a building	"𒄮 sur₃ ⲉⲓⲟⲟⲣ ˢeioor 𒆠𒃲 sur₆ 𒆠𒆕	sur₇ #sūru 	<> source"		#berûtu;sūru 
𒋩	sur	sur	to form	"𒋩 sur σχη ussher se-former schaffer 𓆣 schaper 𒌤 #šapāku shape شَكَّلَ šakkala gestalten ""to form"" σχηματίζω schimatízo"		#bašāmu 
𒊨	sur₂	sur	furious, angry	sauer		#ezzu 
𒋩;𒄮	sur;sur₃	sur	half	semi #šinnû meso #mišlu 		#šinnû;mišlu 
𒇭	su₇	sur	abandonment; threshing floor	<>		#maškanu;nidûtu 
𒇭	su₇	sur	abandonment	"𒇭 su₇ surᵒⁿ > hurᵒⁿ in هُجْرَان hujrān هِجْرَان hijrān هَجْر hajr ""abandonment"""		
𒇭	su₇	sur	threshing floor	"𒇭 su₇ surᵒⁿ 𐎂𐎗𐎐 grn גֹּרֶן góren ጕርን gʷərn ""threshing floor"" "		
𒄑𒋪	ĝeš sur₉	sur	plectrum?; a musical instrument?	@guitar?		#zannaru 
𒇲 ;𒂟	sur₅;surₓ(ERIN₂ )	sur	to harness, tie up; to suspend, be suspended; harness team (of draft animals or workers); member of a team, team-worker	𒂡 šir₃ serra zerren 𒊬𒁳𒁍 šar… harness, tighten, bind  		#šuqallulu 
𒋩;𒇡	sur;sur₈	sur	to press, squeeze; to flash; to drip; to rain; to milk	𒂡 šir₃ | squeeze | serra		#natāku;zanānu;şahātu;şarāru 
𒋩	sur	sur	to smile 	smirk @ Sumerᵏᶥ		
𒋩	sur	sur	to spin; to twist; to slither	serpear serpentar hirsel surr sir ≈ girare ≈ dreh #ţawû torzió car kārure @ circle  hirsel  #šalālu slither schleudern <> stirr sodrás 		#ţawû;šalālu 
𒄮;𒇡	sur₃;sur₈	sur	 	?		
𒊯	sur₄	sur	?; ?	?		#malātu;šihittu 
𒊨𒆕𒄷	sur₂du₃ mušen	surdu	falcon	"𒊨 šur₂ صقر ṣaʔr < 𒊔 saĝ صَقْر ṣaqr صقر ṣagir, ṣagur > сокол sokol ""falcon"" 𓅃 𓅆 𓅇 𓅈 𓅉 𓅊 𓅋 𓅌 𓅍 𓅏 𓊿"		#surdû 
𒋢𒋛𒅅	su-si-ig	susig	animal flayer	excoriātor scorticatore sintér  šȋnter Schinder   corium (“hide, skin”)		#šusikkum 
𒉌;𒉌	suš₂;suš	suš	grease	𒂄 ŠUL sus ˢoil		#šēmu 
𒅖	sušₓ(IŠ)	suš	 	?		
𒋢𒍣	su-zi	suzi	awesome radiance	sunshine;)		#šalummatu 
𒁺	ša₄	ša	(compound verb verbal element) 			
𒀝	ša₅	ša	to snap off	ša[nap]		#haşāşu 
𒉺𒅁 ≠ 𒊸	šab	šab	hips; middle	ˢhip hips		#qablu 
𒉺𒅁 ≠ 𒊸	šab	šab	middle	qab 𓈎 𓄿 𓃀 𓄲 𓈇 𓏤 middle, interior 𓈎 𓃀 𓄷 𓏛 [[core]]ba 𓊖  𓋴 𓃀 𓇼 𓇽 𓇻 		
𒉺𒅁 ≠ 𒊸	šab	šab	clay sealing, sealed bulla	•sphere spherule ≈ 𒊹 𓊖 𓐍 𓆇  #šipassu  𓋴 𓃀 𓇼 𓇽 		#šipassu 
𒉺𒅁 ≠ 𒊸	šab	šab	to inspect exta; to incise; to draw, design; to gather together, collect, scrape up; to break off, deduct; to trim, peel off; to dig, hollow out; to have a grooved shape; to cut, fell (of trees); to become loose, fall out; to disintegrate; to disappear; to make clear	√spect		#barû ša uzu;esēpu;harāru;harāşu;harāşu; eşēru;harāşu; šarāmu;nakāsu;šahāhu 
𒊮𒁄𒁄;𒆰	šag₄-bal-bal;šabalbal	šabalbal	descendent	sub… 𒁄𒁄≈𒆰		#liblibbi 
𒉺𒀠;𒉺𒂍;𒊮𒀊𒊏	šabra;šabra₂;ša₃-ab-ra	šabra	chief administrator of a temple or other household	super #šabrû chief® superior		#šabrû 
𒉺𒀠𒂍	šabra-e₂	šabra'ek	estate administrator 	^^		
𒊭𒅗𒂵	ša-dug₄-ga	šaduga	yesterday?	…tag		#amšali 
𒊮;𒊭;𒊮𒀊	šag₄;ša;ša₃-ab	šag	inner body; heart; in, inside	core		#libbu 
𒀖·𒊮;𒀖𒊮;𒀖·𒋺	šagₓ(AB₂×ŠA₃ );šagₓ(AB₂ .ŠA₃ );šagₓ(AB₂×TAK₄ )	šag	 	?		
𒊮𒁳;𒊮𒆪	šag₄dab;šag₄dab₅	šag dab	to think, conceive an idea; to take seriously 	sage sagdipient		
𒊮𒁄	šag₄bala	šag bala	to ponder	sage faire?		#? 
𒊮𒁄	šag₄bala	šag bala	to produce offspring	";) <> 𒊮𒁄𒁄 šag₄-bal-bal > 𒆰 šabalbal sub… ""descendent"""		#? 
𒊮𒆪	šag₄dab₅	šag dab	to feel hurt, angry, worried	ˢhurtᵃ @ ˢheart сърди́т sǎrdít סר sar…  غَاضِب ḡāḍib !? โกรธ gròot kros @ coeurs  	<+!	#zenû 
𒊮𒁯	šag₄dar	šag dar	heartbroken	tear, torn		#libbu hepû Liebe kaput;)
𒊮𒁺	šag₄de₆	šag de	to decide	desag ≈ decide ;)		#? 
𒊮𒄭	šag₄dug₃	šag dug	cheerful	coer ≈ care ≈ cheerᵈᵉ !!!	++!	#? 
𒊮𒆸	šag₄gur₄	šag gur	to feel wonderful	♥ gozoso glücklich great ᵍheureux heiter @ heart ʰurramach áthasach @ šag	<<!	#? 
𒊮𒂠	šag₄huĝ	šag huĝ	to soothe	hug ;)  𒂠 še₃ šeg seize ≈ soothe 𒂠 ĝir₁₅ ≈ care		#nâhu ša libbi 
𒊮𒈹𒁲	šag₄šed₁₀	šag šed	to soothe the heart	šed ≈ soothe		#? 
𒊮𒊨𒅇	šag₄kuš₂u₃	šag kušu	to soothe	kuss cushion soothing - 		#?;malāku 
𒊮𒊨𒅇	šag₄kuš₂u₃	šag kušu	to soothe	kušu ≈ console ≈		
𒊮𒊨𒅇	šag₄kuš₂u₃	šag kušu	to take counsel with	kušu ≈ counsel		#?;malāku 
𒊮𒄾	šag₄hul₂	šag hul	happy	♥ heil ♥ full		#hadû glad
𒊮𒉺	šag₄sag₃	šag sag	afflicted	chagrine- işkence <> չարչարանք čʿarčʿarankʿ krank  smerte Schmerz	--	#şurup libbi;katāmu 
𒊮𒊷	šag₄sag₉	šag sag	to feel better	sich sentire …  சிரிக்க cirikka чувствовать себя лучше chuvstvovat' sebya luchshe		#? 
𒊮𒋧	šag₄sig₁₀	šag sig	to plot	𓊃 𓐍 𓂋 𓅱 𓏛 | plan | σχῆμα secret scheme scrit σχέδιο schédio schedule schedula σχέδη skhédē შინაარსი (šinaarsi), სიუჟეტი (siužeṭi)		#şummuru 
𒊮𒋩	šag₄sur	šag sur	to have diarrhea	?		#şanāhu;şubburu 
𒊮𒁀	šag₄-ba	šagba	pregnant 	गर्भवती garbhavatī		
𒊮𒁺𒁍𒌌	šag₄-du-bu-ul	šagdubul	part of an instrument, soundbox? 	…		
𒊮𒃲	šag₄-gal	šaggal	food, fodder	carne?  #ˢukullû !		#ukullû 
𒊮𒃶	šag₄-gan	šaggan	perfect	full-hearted?		#gitmalu 
𒊮𒄑𒁇	šag₄-ĝešnimbar	šagĝešnimbar	palmheart 	"𒁇	barᵐᵃ ≈ Palme"		
𒊮𒄬𒆷;𒊭𒄩𒇷	šag₄-hal-la;ša-ha-li	šaghala	?	?		#? 
𒊮𒊯	šag₄-peš₄	šagpeš	pregnant 	carpeš <> 𒊮𒁀 गर्भवती garbhavatī		
𒊮𒋝	šag₄-sig	šagsig	weft 	sack zeug < уто́к utók въ́тък vǎ́tǎk vetülékfonal <> Tuch		
𒊮𒋤	šag₄-sud	šagsud	back 	süd?		
𒊮𒁺;𒊮𒉐	šag₄-tum₂;šag₄-tum₃	šagtum	pasture land	𓋴 𓇐 𓏮 𓆰 საძოვარი saʒovari 𒊬 ŠAR.tum garden чарогоҳ čarogoh @ core  		#qerbetu 
𒊮𒋝𒂵	šag₄-sig-ga	šagsiga	waste land? 	𓐍 𓂋 𓀒 𓈇 𓏤  low land?		
𒊮𒃻;𒊺𒃻;𒆹;𒊮𒈥	ša₃-ĝar;še-ĝar;šaĝar;ša₃-mar	šaĝar	starvation	ˢhungar		#būru 
𒊮𒋤𒂵;𒊮𒋤;𒊮𒋝	šag₄-sug₄-ga;šag₄-sug₄;šag₄-sig	šagsuga	hunger, famine	ˢéhség  ашарлық asharlyq өлсгөлөн ölsgölön 기근 gigeum		
𒊮𒋤𒂵;𒊮𒋤;𒊮𒋝	šag₄-sug₄-ga;šag₄-sug₄;šag₄-sig	šagsuga	waste, empty (land), emptiness	^^		#mērênu;nebrītu 
𒊮𒋩	šag₄-sur	šagsur	sieve 	saighe ≈ sieve --		
𒊮𒋫𒄩𒅈	ša₃-ta-ha-ar	šagtahar	colic 	/ https://en.wiktionary.org/wiki/colic#Translations		
𒊮𒌆𒁀𒈨𒇲	šag₄-tu₉-ba₁₃-la₂	šagtubala	priest 	sacart beleg … capellà 	!	
𒊮𒉣𒇬	šag₄-tur₃	šagtur	millipede	centur 𒇬 pede		#namdalu 
𒊮𒉣𒇬;𒊮𒌉	šag₄-tur₃;šag₄-tur	šagtur	womb	𓈞 𓏏 𓄰 |  𓄡 𓏏 𓏤	<<<	#šašūru 
𒊮𒄞;𒊭𒄞	ša₃-gud;ša-gud	šagud	ox driver; plow ox	"zieh-kuh ""head-goat"" "		#kullizu 
𒊮𒍣𒂵	ša₃-zig₃-ga	šagziga	(sexual) arousal 	sexiga		
𒊮𒍪;𒊩𒊮𒍪	šag₄-zu;munus šag₄-zu	šagzu	midwife	akuŝisto	<	#šabsūtu 
𒊮𒅗𒋰	ša₃-ka-tab	šakatab	fasting 	√zug zeug		
𒊮𒇲	ša₃-la₂	šala	pity 	жаль žalʹ   жа́ласць žálascʹ  жа́лост žálost شفقة šafaʔa სიბრალული sibraluli !! szánalom ἔλεος ˢéleos	+++	
𒊮	šalambi	šalambi	broad, spacious	широк в ширину́ širok v širinú  ვრცელი vrceli 𓅱 𓋴 𓐍 𓎸 𓏛 sikro ≈ širok		#šadlu 
𒍜𒊮𒈤	uzu šag₄-mah	šagmah	large intestine	viscera maha		#šammāhu 
𒍜𒊮𒆸	uzu šag₄-niĝin	šagniĝin	intestines	viscera inner?		#erru;tiranu 
𒂄;𒋚	šah₂;šah	šah	pig	Sau sow swine		#šāhû 
𒂄	šahan₃	šahan	to heat up	sieden? 	<<	#šahānu 
𒂄;𒈲	šahan;šahan₂	šahan	 	?		
𒋡𒋗𒃮;𒋡𒋗𒃮𒀀;𒋡𒃮;𒋡𒃮𒀀	šagiaₓ(SILA₃ .ŠU.GABA);SILA₃ .ŠU.GABA.A;SILA₃ .GABA;SILA₃ .GABA.A	šagia	cup-bearer	чашечник chashechnik	<+!	#šāqû 
𒋡𒋗𒃮𒃲;𒋡𒋗𒃮	sagi-gal;sagi	šagiagal	head cup-bearer 	^		
𒋡𒋗𒃮𒈤	šagiaₓ(SILA₃ .ŠU.GABA)-mah	šagiamah	chief cup-bearer 	^		
𒆠𒇴	šakaka	šakaka	 	?		
𒆠𒇴	šakanka	šakanka	market; market-price	ሹቕ šuḳʰᵒⁿ שׁוּק shukᵒⁿ …Kauf… kauppatori ചന്ത canta ἀγορά ˢagorá 	++!	#mahīru market
𒂁𒌼;𒂁𒍀;𒂁𒊭𒅗;𒍇𒉌𒂵	dug šakir₃;dug šakir;dug ša-kir;dug šakirₓ(URU×MIN+NI+GA)	šakir	churn	schakirᵉⁿ > churn		#šakirru 
𒄊𒀴;𒀲𒀴;𒄊𒀴𒈾	šagina;šakkan₆;šagina na	šakkanak	general, governor-general	šaginaʳ 𒀲𒀴 šakkan₆ saxon shirkan [[shar]][[king]] šaginaʳ.ᵃˡ general 𒄊𒀴 GᵛÌR.NÍTA governaut governor		#šakkanakku 
𒍏𒅖𒍏	šamanur	šamanur	verdigris, patina	ярь-медя́нка ˢjarʹ-medjánka		#šuhtu 
𒑛 	šanabi	šanabi	two-thirds	≈ #šinipu  šan≈zwein @ Semit  𒑚 ⅓  𒑛  ⅔ 𒑜 ⅚  		#šinipu 
𒊮𒉈𒁺;𒊭𒉈𒁺;𒊮𒉈𒍝	ša₃-ne-ša₄;ša-ne-ša₄;	šaneša	compassion, supplication	synes… sympathy συμπάθεια sumpátheia თანაგრძნობა tanagrʒnoba شَفَقَة šafaqa  жалба žalba		#unnīnu 
𒊮𒉈𒁺;𒊭𒉈𒁺;𒊮𒉈𒍝	šag₄-ne-za	šagneza	compassion	сочувство sočuvstvo		
𒊮𒉈𒁺;𒊭𒉈𒁺;𒊮𒉈𒍝	cœr-ne-ša₄;cœr-ne-ša₄;	•cœr'neša	compassion	 करुणा karuṇāˢ		
𒃷𒁍	šanna	šanna	 	?		
𒊭𒀭𒊭𒊭	ša-an-ša-ša	šanšaša	(compound verb verbal element) 			
𒊹	šar	šar	3600 (60*60)	Schar		
𒄶	šaru	šaru	36,000 ( 3600 * 10 )	Scharen		
𒊹𒃲	šar₂gal	šargal	216000 3600*60 60³	𒊹 ŠAR₂ 3600 (60*60)		
𒊹;𒊬;𒊹𒊹	šar₂;šar;šar₂šar₂	šar	totality, world; numerous;₃₆₀₀	Schar Geor		#kiššatu;mâdu 
𒄲	šargad	šargad	world, totality	<>  Schar Geort		#kiššātu 
𒊹	šar	šar	to make splendid	süslemek szépíteni 𓋴 𓃀 𓇽 ≈ 𒊹 splendid   𓋴 𓃀 𓈎 𓂾 make splendid 𓋴 𓇋 𓈎 𓂋 𓏜 		#šarāhu 
𒊹	šar₂	šar	to mix	𒄭 խառնել xaṙnel श्रीणाति śrīṇāti stirr ma.šar mischer 𐎎𐎒𐎋 msk mesclar меша meša		#balālu 
𒊹	šar₂	šar	perfect?	super?		#gitmālu 
𒊹	šar₂	šar	to slaughter 	≈		
𒈗	šar₃	šar	cloth designation 	…		
𒇋;𒇋	šara₂;šara	šara	to slander	≈		#šâru 
𒇣	šara₃	šara	 	?		
𒌓;𒋗𒊒𒊌;𒌓𒊬	šarag;šu-ru-ug;šaragₓ(UD.SAR)	šarag	to dry out 	scorch 𓋴 𓏲 𓈙 𓂋 𓇳 @ 🌞 𒌓 सूर sū́ra સૂર્ય sū́rya 𑀲𑀽𑀭𑁆𑀬<> 𒌓 ցամաք żʰɑmɑkʰ < 𒀭𒌓 summer Šamaš  		
𒊭𒊏𒈝	ša-ra-hum	šarahum	decoration 	𓐬 𓏜 𓏥 ?		
𒁙	šaran	šaran	bottom of a pestle	survimen pohja	!	#išid bukānni 
𒆗𒂔	šarap	šarap	 	?		
𒊮𒋤;𒊮𒋛	ša₃-su₃;ša₃-si	šasi	rail (of a doorframe); cross-beam (of a chariot) 	στρωτήρ strōtḗr shtalkë spetează slá so'a Schiene		
𒊮𒋤	ŠA₃ .SUD	ŠASUD	minimum ration	sustenance?		#nebrītu 
𒌆𒊮𒋳;𒌆𒊭𒌆;𒊮𒁕𒂵	tug₂ ša₃-tuku₅;tug₂ ša-tuku₂;ša₃-da-ga	šatuku	mattress	тёшек ᵐᵃtöşek তোশক ᵐᵃtōśok …Tuch colchão		#mahşu;šê'u 
𒊷𒌉	ŠA₆ .TUR	ŠATUR	date-palm sapling 	sapling {etonio} <> 𒊷 ŠAᵖ sap sweat sirup @ 𒉪 tree 𒌁 TER		
𒌷𒊭𒌓𒊕𒁇	ša-u₁₉ (URU)-ša zabar	šauša	scraper	šauša.bar ≈ scraper		#makdadu 
𒊮𒇻𒆠𒆕	ša₃-zarah	šazarah	concern 	center.šazarah ≈≈ concern		
𒊺	še	še	barley; grain; a unit of length; a unit of area; a unit of volume; a unit of weight	grain ≈ gram ?		#uţţatu;û; uţţatu 
𒊺𒁀	še-ba	šeba	grain-ration 	Scheffel		
𒊺	še	še	hook? 	gamma ≈ gram?		
𒄷𒈿	še₂₁	še	to call by name	schrei <> heissen		#nabû 
𒄑𒊺	ĝeš še	še	(conifer) cone 	𒊺 ŠEⁿ 𒄑𒊺 cone		
𒊺	še	še	(compound verb nominal element) 			
𒅊	šeₓ(IGI@g)	še	tear 	𒅊 ugurᶥᵐᵃ lacrima cry		
𒊺	še	še	that 	će		
𒂠	še₃	še	?	?		#? 
𒊺𒁺	še ša₄	še ša	to moan	še.duⁿ stöhn		#damāmu 
𒊺𒁀	še-ba	šeba	negligent 	səhlənkar terrible		
𒊺𒁉𒁕	še-bi-da	šebida	to disdain 	s'butza בוז buz <> اِزْدِرَاء m (izdirāʔ)	<<	
𒆪	šed₆	šed	to defecate; excrement	shit		#teşû;zû 
𒄷𒈿;𒈿	še₂₁;šeₓ(NA₂ )	šed	to lie down (of animals); to rest, sleep (of animals)	@shed?		#itūlu;rabāşu 
𒊺𒁷	ŠE.DIN	ŠEDIN	bunch (of fruit)? 	seed.en plural		
𒀆	šedu₃	šedu	abundant, copious	სავსე savse <<<		#duššû 
