word,transcription,note,definition,
𐀍-𐀁-𐀐-𐀵-𐀦,jo-e-ke-to-qo,,'•meaning obscure Chadwick & Ventris 1956: prefix jo- ''thus'' + e-ke + to-qo Appears as ](qa)-ra  / jo-e-ke-to-qo  wo-na-si  (si)[ on KN Gv 863. su ARB: KN Gv *174: KN Gv  (Docs2) Chadwick John and Michael Ventris 1956 Documents in Mycenaean Greek',
𐀍-𐀥,jo-qi,,'•''which'' ⇔ ὄ τι ',
𐀍-𐀳-𐀩-𐀞-𐀵,jo-te-re-pa-to,,•obscure (i.e. not known) ,
𐀏-𐀀-𐀙,ka-a-na,,•meaning obscure ,
𐀏-𐀅-𐀖-𐀊,ka-da-mi-ja,,cardamom,
𐀏-𐀅-𐀖-𐀊,ka-da-mi-ja,,'•a spice ⇔ κάρδαμον καρδαμιίς? ''garden cress'' Lepidium sativum ',
𐀏-𐀅-𐀫,ka-da-ro,,clean clear,
𐀏-𐀊,ka-ja,,(as (ka)-ja) •meaning obscure ,
𐀏-𐀏,ka-ka,,'•(as ka-ka-re-(a)) ''(spears) with bronze points''? ⇔ χαλκήρει δουρί (Iliad V 145+) HAS: KN R ',
𐀏-𐀏-𐀩-𐀀,ka-ka-re-a,,'(as ka-ka-re-(a)) •''(spears) with bronze points''? ⇔ χάλκειος apparently a gap after ka-ka ',
𐀏-𐀐-𐀊-𐀠,ka-ke-ja-pi,,'•''of bronze'' instrumental plural •''a pair of bronze (wheels)'' ⇔ κὐκλα χάλκεα ',
𐀏-𐀐-𐀸,ka-ke-we,,coppersmiths,
𐀏-𐀒,ka-ko,,bronze •bronze ⇔ χαλκός copper  copper  (editors Yves Duhoux and Anna Morpurgo Davies)  ,
𐀏-𐀒,ka-ko,,copper,
𐀏-𐀒-𐀆-𐀲,ka-ko-de-ta,,bind with copper,
𐀏-𐀒-𐀆-𐀲,ka-ko-de-ta,,'•''bronze-bound wheels'' ⇔ χαλκόδετος ',
𐀏-𐀔,ka-ma,,field,
𐀏-𐀔-𐀁-𐀄,ka-ma-e-u,,'•''man who has a ka-ma holding'' •dative singular and nominative plural of ka-ma-e-u Appears as .1a wo-ze-qe .1b [[e-u-ru-wo-ta|e-u-ru-wo-(ta)]]  te-o-jo  do-e-ro  ka-ma-e-u[ ]to-so-de  pe-mo GRA 1[ on PY Eb 156+. Appears as ]re-u[ ](to)-po-qo  ka-ma-e-u on PY Eb 177+. Appears as ](ro2)  ka-ma-e-u  mi-ka-ta  pa-da-je-u  e-ke-qe[ PY Eb 839. Appears as sa-sa-wo  e-ke-qe  o-na-to  ka-ma-e-u on PY Eb 842. Appears as ka-ma-e-u  wo-zo  to-so-de pe-mo GRA T 3 on PY Eb 862. Appears as ka-ma-e-we  o-na-ta  e-ko-te  ke-ke-me-na-o  ko-to-na-o  wo-zo-te  to-so  pe-mo GRA 30 T 2 V 3 on PY Ed 236. Appears as me-re-u  i-je-re-ja  do-e-ro  o-na-to  e-ke  pa-ro  [ ](re)-ma-ta  ka-ma-e-(we)[][[o-u-qe|o-u-qe]]  wo-ze  to-so pe-mo GRA[ ] V 2 on PY Ep 539. Appears as ]me-na  ko-to-na  ka-ma-e-u  wo-ze-qe  to-so pe-mo[ on PY Ep 613+. Appears as ]ke-re-u  i-je-ro-wo-ko  ka-ma-e-u  o-na-to e-ke  wo-ze-qe to-so pe-mo GRA 1 on PY Ep 613+. Appears as ]o-na-to  e-ke  ka-ma-e-u  e-pi-qe  [[to-e|to-me]]  [[te-ra-pi-ke|te-ra-(pi)[]] ]to-so  pe-mo GRA 1 T 5 on PY Ep 613+. Appears as (ko)[ ]ka-ta  [[pa-de-we-u]]  ka-ma-e-u  e-ke-qe  wo-ze-qe  to-so  pe-mo GRA T 5 on PY Ep 613+. GRA: PY Eb PY Ed PY Ep VIR: PY An ',
𐀏-𐀔-𐀍,ka-ma-jo,,ethnic adjective presupposing an unattested place name of ka-ma •description of men? nominative plural VIR: KN Am  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀏-𐀙-𐀒,ka-na-ko,,a type of plant,
𐀏-𐀙-𐀒,ka-na-ko,, safflower (Carthamus tinctorius) ⇔ Hippocrates χνῆχος (2 types: red safflower (ka-na-ko e-ru-ta-ra) of the red florets and white safflower (ka-na-ko re-u-ka) of the seed,
𐀏-𐀙-𐀟-𐀄,ka-na-pe-u,,fuller •fuller cloth-dresser ⇔ κναφεύς from the 6th century BCE •dative singular of ka-na-pe-u •genitive singular of ka-na-pe-u •dative plural of ka-na-pe-u [[te-re-do]] is ka-na-pe-u in the PY Cn series. pe-ki-ta is ka-na-pe-u wa-na-ka-te-ro in the PY En series closely co-located to ru-*83-o. pe-ki-ta is ka-na-pe-u wa-na-ka-te-ro pa-ro pi-ke-re-we in the PY Eo series. (pe)-(ki)-ta is ka-na-pe-u wa-na-ka-te-ro pa-ro ru-*83-e in the PY Eo series. CAP: PY Cn GRA: PY Eo *190: MY Oi   ,
𐀏-𐀙-𐀟-𐀄,ka-na-pe-u,,the man who card the wool,
𐀏-𐀙-𐀵,ka-na-to,,' kanasthoi vessels ⇔ κάνασθον name of a terracotta vase in a VIth BC inscription •name of a vessel or implement perhaps ''clamps'' ⇔ γνάθος  ',
𐀏-𐀚-𐀊,ka-ne-ja,,'•''made of basketry'' ⇔ κάνεον κάνειον ''basket'' ',
𐀏-𐀞-𐀍,ka-pa-jo,,ethnic adjective of a place-name ka-pa perhaps attested in E(1). •Description of three men perhaps ethnic of ka-pa.  McArthur Jennifer 1993 Suplementos a MINOS núm. 9 Place-Names in the Knossos Tablets Identification and Location,
𐀏-𐀞-𐀨,ka-pa-ra,,•introduces wine entry after to-sa ,
𐀏-𐀞-𐀰,ka-pa-so,,•Obscure. (i.e. not understood) ,
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,,'•''of the chimney'' ⇔ καπνία ',
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,,chimney,
𐀏-𐀠-𐀛-𐀊,ka-pi-ni-ja,,chimney smoked,
𐀏-𐀡,ka-po,,'•''fruits of the olive'' The ligature KA+PO may stand for the same word. ',
𐀏-𐀡,ka-po,,fruit yield,
𐀏-𐀨-𐀀-𐀠,ka-ra-a-pi,,'Ruijgh 2011: ''head'' ⇔ κάρη κάρᾶ •''with (lions'') heads'' ⇔ καρήατος κράατος  Ruijgh C.J. 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean and Homeric Language',
𐀏-𐀨-𐀁-𐀪-𐀍,ka-ra-e-ri-jo,,•month name •variant spelling of ka-ra-e-ri-jo •genitive of ka-ra-e-ri-jo KN Fp: de-u-ki-jo-jo di-wi-jo-jo ra-pa-to wo-de-wi-jo *146: KN M? ,
𐀏-𐀨-𐀁-𐀪-𐀍-𐀍,ka-ra-e-ri-jo-jo,,month name,
𐀏-𐀨-𐀈-𐀫,ka-ra-do-ro,,personal name or place name gorge,
𐀏-𐀨-𐀒,ka-ra-ko,,'(as ka-ra-(ko)) •''pennyroyal'' ⇔ Boeotian γλάχων Ionic γλήχων Attic βλήχων Reading very uncertain in line 6A ',
𐀏-𐀨-𐀔-𐀵,ka-ra-ma-to,,'Furumark: ''fragments (of ivory)'' Furumark TBD',
𐀏-𐀨-𐀛-𐀍,ka-ra-ni-jo,,•meaning obscure ,
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we,,amphora type,
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we,,' Mycenaean ''stirrup-jar'' with a capacity of ~13.7 liters •probably ''stirrup-jar'' ⇔ χλαρόν ἐλαιηρός χώθω',
𐀏-𐀨-𐀩-𐀸,ka-ra-re-we,,' Mycenaean ''stirrup-jar'' with a capacity of ~13.7 liters •probably ''stirrup-jar'' ⇔ χλαρόν ἐλαιηρός χώθω',
𐀏-𐀨-𐀮-𐀴-𐀪-𐀍,ka-ra-se-ti-ri-jo,,•variant of ka-ra-ti-ri-jo? ,
𐀏-𐀨-𐀳-𐀨,ka-ra-te-ra,,'•''mixing bowl'' ⇔ κρητήρ ',
𐀏-𐀨-𐀴-𐀪-𐀍,ka-ra-ti-ri-jo,,•type of vessel ,
𐀏-𐀨-𐀵,ka-ra-to,,'•''basket''? ',
𐀏-𐀨-𐀸,ka-ra-we,,'•''old women'' ⇔ γρηυς ',
𐀏-𐀨-𐀹-𐀡-𐀫,ka-ra-wi-po-ro,,'•''key-bearer'' title of a religious office ⇔ Doric κλακοφόρος Attic κλειδουχος ''priestess'' •genitive singular of ka-ra-wi-po-ro ka-ra-wi-po-ro + connective enclitic -qe Appears as ka-pa-ti-ja  ka-ra-wi-po-ro at PY Eb 338 and PY Ep 704. PY Ed: we-te-re-u e-qe-ta in a -qe list. PY Jn: du-ma-te po-ro-ko-re-te o-pi-su-ko o-pi-ka-pe-e-we in a -qe list. ',
𐀏-𐀨-𐀹-𐀡-𐀫,ka-ra-wi-po-ro,,switchman,
𐀏-𐀫,ka-ro,,pork,
𐀏-𐀬-𐀐,ka-ru-ke,,'heralds •''herald'' dative singular ⇔ κῆρυξ (Iliad II.50+)  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”',
𐀏-𐀬-𐀴-𐀋-𐀊-𐀃-𐀤,ka-ru-ti-je-ja-o-qe,,[occupational] + connective enclitic -qe ,
𐀏-𐀬-𐀸,ka-ru-we,,'•''nut boss''? ⇔ κάρυον •instrumental plural of ka-ru-we ',
𐀏-𐀯-𐀒-𐀜,ka-si-ko-no,,sword-makers [occupational]? PUG: KN Ra  Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”,
𐀏-𐀲-𐀖-𐀍,ka-ta-mi-jo,,'•''(the slave) of ka-ta-mo''? ',
𐀏-𐀲-𐀫,ka-ta-ro,,pure clean,
𐀏-𐀴,ka-ti,,'•''name of jug or hydria'' ⇔ κηθίς ''vessel for shaking dice'' ',
𐀏-𐀵-𐀫,ka-to-ro,,•genitive? of ka-to Chadwick John and Michael Ventris 1973 Documents in Myceanean Greek kar WNXIV.170 se-to-i-ja,
𐀏-𐀶-𐀩-𐀹-𐀊-𐀂,ka-tu-re-wi-ja-i,,'•saddle-bags? ⇔ ka-tu-ro2 dative plural Ruijgh 1966: ''saddle-bags'' Melena 2000-2001: leathern saddle-bags   Ruijgh C.J. 1966 Lingua 16 Observations sur la tablette Ub 1318 de pylos',
𐀏-𐀶-𐀫,ka-tu-ro,,cargo,
𐀏-𐀶-𐁊,ka-tu-ro2,,,
𐀏-𐀶-𐁊,ka-tu-ro2,,,
𐀏-𐀹-𐀍,ka-wi-jo,,•description of man or ethnic? ,
𐀏-𐀺,ka-wo,,(as (ka)-wo) •context obscure ⇔ καλός? ,
𐀏-𐀼,ka-za,,'•''of bronze''? ',
𐀏-𐀿-𐀁,ka-zo-e,,•description of axones ,
𐀏-𐁖-𐀰-𐀲,ka-*56-so-ta,,,
𐀐-𐀄-𐀡-𐀅,ke-u-po-da,,'•probably a title Palmer TBD: ''libation-pourer''? •alt. spelling of ke-u-po-da? •genitive of ke-u-po-da  Palmer Robert TBD',
𐀐-𐀈-𐀯-𐀊,ke-do-si-ja,,•Heading to lists of men ,
𐀐-𐀏-𐀄-𐀕-𐀜,ke-ka-u-me-no,,burnt,
𐀐-𐀐-𐀕-𐀙,ke-ke-me-na,,Heubeck 1967: divided •belonging to the da-mo communal •accusative dual feminine •genitive singular masculine or neuter  Heubeck Alfred 1967 Aus der Welt der frühgriechischen Lineartafeln,
𐀐-𐀐-𐀕-𐀙,ke-ke-me-na,,lease field,
𐀐-𐀛-𐀤-𐀳-𐀸,ke-ni-qe-te-we,,hand washing basins,
𐀐-𐀨,ke-ra,,'•1. (KN Ra) ''horn''? ⇔ κέρας 2. (PY Eb PY Ep) ''gift of honour''? ⇔ γέρασ ὄ τι δῆμος ἔδωκεν •nominative plural of ke-ra1? Appears as ke-ra-a  *227VAS on KN K 872. Appears as ]zo-wa  [[e-pi-zo-ta]]  ke-ra  [[de-de-me-na]] on KN Ra 984. GRA: PY Eb? PY Ep? GUP: KN Ra ',
𐀐-𐀨,ke-ra,,gift of honour,
𐀐-𐀨-𐀁-𐀸,ke-ra-e-we,,'Melena 2000-2001: Mycenean name of the items recorded in the Qa class by means of the logogram *189 (which has as endogram the acrophonic KE). [...] probably a plural nominative we are dealing with a noun in -eus built on a neuter in -as and the choice is between /keras/ or /geras/ both attested at Pylos. Qa religious associations would point to /geras/ as the best candidate and its presence among leathern artifacts is perfectly at home since word-formation would prompt the interpretation of these Mycenaean /gerahēwes/ as ''honouring'' implements of some form. ⇔ ke-ra Killen 2000-2001: may perhaps be merit in Melena''s (rejected) alternative explanation of [ke-ra-e-we] as a derivative in -εύς not of γέρας ''portion of honour'' but of κέρας ''horn''. perhaps an agent noun (cf. ka-ke-u ke-ra-me-u etc.): ''worker in horn (and ivory?)'' *189: PY Un Killen John T. 2000-2001 Kadmos 35-36 A Note on Pylos Tablet Un 1482 ',
𐀐-𐀨-𐀊-𐀠,ke-ra-ja-pi,,'•''made of horn'' ⇔ κεραός ''horned'' See o-po-qo. [[CAPS]]: KN Sf? CUR: KN Sd ',
𐀐-𐀨-𐀕-𐀸,ke-ra-me-we,,workers of ceramics ceramic artisans,
𐀐-𐀨-𐀜,ke-ra-no,,•Name of one of a yoke of oxen + connective enclitic qe ,
𐀐-𐀩-𐀙,ke-re-na,,•meaning obscure Appears as a-mi-ni-so ke-re-na  re-ne  [ on KN M 719. ,
𐀐-𐀩-𐀯-𐀍,ke-re-si-jo,,cretan,
𐀐-𐀩-𐀼,ke-re-za,,•name of place or area at Pylos ,
𐀐-𐀩-𐁀,ke-re-a2,,limbs legs,
𐀐-𐀪-𐀖-𐀊,ke-ri-mi-ja,,•perhaps an adjective describing women Appears as ke-ri-mi-ja tu-na-no on KN Lc 535+. Appears as me-ta-pa  ke-ri-mi-ja  do-qe-ja  ki-ri-te-wi-ja on PY An 607. ,
𐀐-𐀫-𐀯-𐀊,ke-ro-si-ja,,council of the elders,
𐀐-𐀫-𐀯-𐀊,ke-ro-si-ja,,' Elders ''council of Elders'' ''council of elders'' •a group of men under a qa-si-re-u probably ''council of elders'' ⇔ γερουσία  Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) Mycenaean Anthology Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I ',
𐀐-𐀫-𐀲,ke-ro-ta,,'•adjective describing cloth ''old''? ⇔ γέρον σάκος (Odyssey XXII 184) *161: KN Ld ',
𐀐-𐀮-𐀛-𐀹-𐀍,ke-se-ni-wi-jo,,'•''for guests'' ⇔ ξείνια •neuter plural of ke-se-ni-wi-jo •alt. spelling of ke-se-nu-wi-ja Appears as ke-se-nu-wi-ja  re-u-ko-nu-ka on KN Ld 573. OLE: PY Fr TELA: KN Ld *158: KN Ld ',
𐀐-𐀮-𐀝-𐀹-𐀊,ke-se-nu-wi-ja,,foreign,
𐀐-𐀮-𐀝-𐀺,ke-se-nu-wo,,foreigner guest,
𐀑-𐀄-𐀫-𐀂,ki-u-ro-i,,'•probably some part of or equipment for a chariot ⇔ κίουρος ''baskets'' dative plural ',
𐀑-𐀉-𐀫,ki-du-ro,,,
𐀑-𐀛-𐀇-𐀊,ki-ni-di-ja,,women from knidos,
𐀑-𐀪-𐀍-𐀳,ki-ri-jo-te,,•sheep adjective ,
𐀑-𐀪-𐀲,ki-ri-ta,,'Duhoux 2011: 1. substantive ''barley'' ⇔ κριθή 2. adjective textile qualifier ''anointed'' ⇔ χριστός •1. (KN G) ''barley'' ⇔ κριθή 2. (KN Ld) ''anointed painted (with red spots?)'' ⇔ χριστός KN G: LUNA KN Ld: TELA  ',
𐀑-𐀪-𐀳-𐀹-𐀊,ki-ri-te-wi-ja,,•a class of women possibly with a religious function ⇔ da-*83-ja-i e-to-wo-ko-i ku-wa-no-wo-ko-i •dative plural of ki-ri-te-wi-ja ⇔ a-ni-ja-pi e-re-pa-te-jo-pi e-ru-ta-ra-pi ki-to-pi •instrumental plural of ki-ri-te-wi-ja KN E: LUNA GRA KN Fp: OLE PY An: MUL PY Eb PY Ep: GRA PY Un: NI? KN Fp: da-*83-ja? PY An: me-ta-pa ,
𐀑-𐀪-𐀴-𐀍-𐀍,ki-ri-ti-jo-jo,,•month name? genitive singular ,
𐀑-𐀲-𐀜,ki-ta-no,, probably a member of the Pistacia fami,
𐀑-𐀲-𐀜,ki-ta-no,,plant (pistacia terebintus),
𐀑-𐀴-𐀕-𐀙,ki-ti-me-na,,'•land not distributed by the damos (da-mo) field  field ἐυκτίμενος well-tilled A.T. Murray''s translation of the Iliad by Homer translated this as well-built in the context of πτολίεθρον ''citadel''.  kar WNXIV.164 participle candidates',
𐀑-𐀴-𐀕-𐀙,ki-ti-me-na,,field,
𐀑-𐀵,ki-to,,'tunic •''tunic'' ⇔ χιτών or ''fine linen'' ⇔ (-*o -*o-ne) a-ka-wo a-re-ku-tu-ru-wo a-ri-ja-wo a-ri-wo [[e-ka-ra2-wo]] po-se-da-o [[te-ra-wo]] •nominative plural? of ki-to •accusative singular or plural of ki-to? (cf. instrumental plural -pi) a-ni-ja-pi e-re-pa-te-jo-pi e-ru-ta-ra-pi ki-ri-te-wi-ja-pi ne-qa-sa-pi •instrumental plural of ki-to Appears as re-po-to  qe-te-jo ki-to on KN L 693. Appears as a-ro-zo ''ki-to'' on KN Lc 536+. AES: KN L TELA: KN Lc KN Ld *161: KN Ld ',
𐀑-𐀵,ki-to,,tunic,
𐀑-𐀺,ki-wo,,column,
𐀒-𐀄-𐀨,ko-u-ra,,'•textile description no satisfactory explanation; nominative plural neuter? •nom. pl. fem. or neut. description of textiles or more likely their makers: ''for ko-u-ra''  kar WNXIV.155 ko adjunct to TELA',
𐀒-𐀑-𐀆-𐀍,ko-ki-de-jo,,,
𐀒-𐀑-𐀩-𐀊,ko-ki-re-ja,,decorative object / snail,
𐀒-𐀜,ko-no,,kind bush,
𐀒-𐀜-𐀛-𐀠,ko-no-ni-pi,,'•part of the decoration of a jug and a chair ''cross-bars rods''? ⇔ κανονίς ko- for κα is suspect *217VAS: KN K ',
𐀒-𐀜-𐀯-𐀍,ko-no-si-jo,,knossian (ethnonym),
𐀒-𐀜-𐀰,ko-no-so,,knossos,
𐀒-𐀠-𐀙,ko-pi-na,,type of basket,
𐀒-𐀩-𐀳,ko-re-te,,•title mayor? •nominative plural dative singular of ko-re-te •dative singular of ko-re-te •adjective describing land belonging to a ko-re-te ,
𐀒-𐀩-𐀳,ko-re-te,,governor,
𐀒-𐀪-𐀊-𐀅-𐀙,ko-ri-ja-da-na,,•coriander (seed) ⇔ κορίαννα coriander ,
𐀒-𐀪-𐀊-𐀅-𐀙,ko-ri-ja-da-na,,coriander,
𐀒-𐀪-𐀯-𐀊,ko-ri-si-ja,,corinthian woman,
𐀒-𐀪-𐁀-𐀅-𐀙,ko-ri-a2-da-na,,'•''coriander (seed)'' ⇔ κορίανδρον κορίαννα κολίανδρον nominative plural neuter sometimes abbreviated to just KO •variant spelling •variant spelling? •nominative singular of ko-ri-a2-da-na ',
𐀒-𐀫-𐀊-𐀚,ko-ro-ja-ne,,,
𐀒-𐀫-𐀑-𐀊,ko-ro-ki-ja,,•feminine ethnic adjective •genitive plural of ko-ro-ki-ja ,
𐀒-𐀫-𐀓-𐀨-𐀂-𐀍,ko-ro-ku-ra-i-jo,, personnel holding land at ka-ra-do-ro •masculine ethnic adjective Attempts to relate this to Κόρκυρα=Κέρκυρα or Κροκύλεια are probably vain. Appears as a-ke-re-wa  ko-ro-ku-ra-i-jo VIR (8)0 on PY An 656. Appears as ka-ra-do-ro  ko-ro-ku-ra-i-jo VIR (10) on PY An 661. Appears as za-e-to-ro  ko-ro-ku-ra-i-jo VIR 20 on PY An 661. Appears as [[wo-no-qe-wa]]  ko-ro-ku-ra-i-jo SA 30 on PY Na 396 with (e)-ko-si on line .a above ko-ro-ku-ra-i-jo. Appears as to-ro-wa-so  ko-ro-ku-ra-i[ ] SA 10 on PY Na 405 with e-ko-si on line .a above ko-ro-ku-ra-i[. SA: PY Na VIR: PY An a-ke-re-wa: PY An ka-ra-do-ro: PY An to-ro-wa-so: PY Na [[wo-no-qe-wa]]: PY Na za-e-to-ro: PY An  ,
𐀒-𐀫-𐀓-𐀨-𐀂-𐀍,ko-ro-ku-ra-i-jo,,man from corfu (kerkyra),
𐀒-𐀫-𐀜-𐀸-𐀭,ko-ro-no-we-sa,,•describing a ewer perhaps with a curved handle ⇔ κορώνη Palmer TBD: decorated with a throng of warriors  Palmer TBD (see p. 498 in Docs),
𐀒-𐀫-𐀵,ko-ro-to,,'•applied to wool ''dyed''? ⇔ χρώζω ',
𐀒-𐀫-𐀸-𐀊,ko-ro-we-ja,,•meaning obscure ⇔ ko-ru-we-ja? ,
𐀒-𐀫-𐁋,ko-ro-ta2,,'•neuter plural of ko-ro-to or perhaps ''tassels fringe'' ⇔ κροσσοί TELA2: KN Ld ',
𐀒-𐀬,ko-ru,,helmet,
𐀒-𐀬-𐀸-𐀊,ko-ru-we-ja,,•feminine plural adjective describing textile-workers ⇔ [[ko-we-ja]]; ⇔ ko-ro-we-ja? ,
𐀒-𐀰-𐀄-𐀵,ko-so-u-to,,blonde,
𐀒-𐀰-𐀛-𐀊,ko-so-ni-ja,,'(as ]ko-so-ni-ja) •''small shafts''? ⇔ ἀξόνιον ⇔ a-ko-so-ne ',
𐀒-𐀳-𐀪-𐀊,ko-te-ri-ja,,•hearth utensil ,
𐀒-𐀳-𐀫,ko-te-ro,,•erased meaning obscure ,
𐀒-𐀵-𐀙,ko-to-na,,' land parcel subdivided district ⇔ Rhodian κτοίνα ''a territorial unit'' •''estate plot of land'' estate  estate •genitive plural of ko-to-na •accusative dual of ko-to-na κτοίνα local division township ',
𐀒-𐀵-𐀙,ko-to-na,,estate,
𐀒-𐀵-𐀚-𐀲,ko-to-ne-ta,,'•''men of the ko-to-na'' meaning uncertain ',
𐀒-𐀵-𐀜-𐀃-𐀒,ko-to-no-o-ko,,owner of a type of land,
𐀒-𐀷,ko-wa,,girls,
𐀒-𐀹-𐀫-𐀺-𐀒,ko-wi-ro-wo-ko,,'•occupation ''make of hollow-ware''? Exact sense of κοῖλος here cannot be determined. ',
𐀒-𐀺,ko-wo,,boys,
𐀒-𐀺,ko-wo,,boys  youth boy Chadwick & Ventris 1959: boy Classical Greek κόρος boy lad Chadwick John and Michael Ventris 1959. Documents in Mycenaean Greek p. 557,
𐀓-𐀈-𐀛-𐀊,ku-do-ni-ja,,the ancient name of the city of chania in crete,
𐀓-𐀒-𐀹-𐀨,ku-ko-wi-ra,,(as ku-(ko)-wi-(ra)) •meaning obscure ,
𐀓-𐀖-𐀜,ku-mi-no,,'•''cumin'' ⇔ κύμινον; also abbreviated as ideogram KU in the MY Ge series •nominative plural of ku-mi-no ',
𐀓-𐀖-𐀜,ku-mi-no,,cumin,
𐀓-𐀙-𐀊,ku-na-ja,,'•''of a woman'' or ''decorated with a figure of a woman'' ⇔ γύναια δῶρα ',
𐀓-𐀙-𐀊,ku-na-ja,,woman,
𐀓-𐀙-𐀐-𐀲-𐀂,ku-na-ke-ta-i,,'•''for the huntsmen'' ⇔ κυνηγέτης Doric κυναγέτας ',
𐀓-𐀙-𐀐-𐀲-𐀂,ku-na-ke-ta-i,,'Duhoux 2011: dative plural ''for the hunters'' ⇔ κυνᾶγέτᾶς κυνηγέτης ''hunters'' •''for the huntsmen'' ⇔ κυνηγέτης (Odyssey IX.120+) Doric κυναγέτας SA: PY Na  “” Shelmerdine Cynthia W. 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Society”',
𐀓-𐀙-𐀐-𐀲-𐀂,ku-na-ke-ta-i,,hunter,
𐀓-𐀙-𐀑-𐀯,ku-na-ki-si,,for women,
𐀓-𐀙-𐀑-𐀯,ku-na-ki-si,,' lay recipients ''to the women'' (cf. ku-na-ja) or ''to the huntresses'' (cf. ku-na-ke-ta-i) Appears as ] po-te-we  si-to  ku-na-ki-si on TH Av 100. GRA: TH Av ',
𐀓-𐀞-𐀪-𐀮-𐀊,ku-pa-ri-se-ja,,'•''(wheels) of cypress-wood'' ⇔ κυπαρίσσινος (Odyssey XVII.340+) ',
𐀓-𐀞-𐀪-𐀮-𐀊,ku-pa-ri-se-ja,,made of cypress,
𐀓-𐀞-𐀫,ku-pa-ro,,•condiment Cyperus rotundus ⇔ κύπειρον •variant spelling of ku-pa-ro?  Cyperus-scented and/or -softened •adjective describing oil scented with cyperu,
𐀓-𐀞-𐀫,ku-pa-ro,,plant cyperus rotundus,
𐀓-𐀟-𐀳-𐀍,ku-pe-te-jo,,•meaning obscure ,
𐀓-𐀠-𐀪-𐀊,ku-pi-ri-ja,,from cyprus,
𐀓-𐀩-𐀸,ku-re-we,,•class of men probably ethnic ,
𐀓-𐀪-𐀙-𐀽-𐀊,ku-ri-na-ze-ja,,(as (ku)-(ri)-na-ze-ja) •personal name or title dative? ,
𐀓-𐀬-𐀕-𐀛-𐀍,ku-ru-me-ni-jo,,patronym,
𐀓-𐀬-𐀰,ku-ru-so,,gold,
𐀓-𐀬-𐀰,ku-ru-so,,gold  gold ⇔ χρυσός •instrumental singular with gold ⇔ i-je-ro-jo golden de materia de oro •genitive singular of the gold •instrumental plural feminine adjective golden ⇔ (-wo-ko) a-pu-ko-wo-ko de-ku-tu-wo-ko [[e-ko-so-wo-ko]] e-to-wo-ko i-je-ro-wo-ko ko-wi-ro-wo-ko ku-wa-no-wo-ko no-ri-wo-ko re-wo-to-ro-wo-ko to-ko-so-wo-ko to-ro-no-wo-ko goldsmith •goldsmiths ⇔ χρυσοχόος (Odyssey III 425+)    ,
𐀓-𐀬-𐀰-𐀍,ku-ru-so-jo,,golden,
𐀓-𐀬-𐀱-𐁖,ku-ru-su-*56,,'•description of a three-legged vessel possibly a compound of ''gold'' ',
𐀓-𐀭-𐀕-𐀛-𐀍,ku-sa-me-ni-jo,,•patronymic adjective ,
𐀓-𐀱,ku-su,,'•''with'' ⇔ ξύν ',
𐀓-𐀱-𐀞,ku-su-pa,,•so much (olive oil) altogether ⇔ to-so-ku-su-pa ξύμπας (Odyssey VII 214+) •nominative plural neuter of ku-su-pa  To Do: confirm definition of ξύμπας,
𐀓-𐀱-𐀣,ku-su-qa,,•probably variant for ku-su-to-ro-qa. ,
𐀓-𐀱-𐀵-𐀫-𐀣,ku-su-to-ro-qa,,aggregate,
𐀓-𐀱-𐀵-𐀫-𐀣,ku-su-to-ro-qa,,•aggregate total ⇔ συστροφή ,
𐀓-𐀳-𐀰,ku-te-so,,'ebony ⇔ κύτισος adjective from ku-te-so •''made of ebony'' nominative singular and instrumental plural •variant for ku-te-se-jo  “” ',
𐀓-𐀷-𐀛-𐀍-𐀤,ku-wa-ni-jo-qe,,'•''with (palm-trees) of lapis-coloured glass''? instrumental plural ⇔ κυάνεος (Iliad XI.26+) ',
