Gothic				
𐌰𐌲𐌻𐌾𐌰𐌽 	 aglɕen	agle 	ache	 hurt,damage
𐍃𐍄𐍉𐌻𐍃 	 stuls	stōls 	Stuhl	 chair,throne
𐍃𐍄𐍉𐌼𐌰 	 stuma	stōma 	√stand	substantial grounds, just cause
𐍃𐍅𐌰𐌹𐌷𐍂𐌰 	 sweιḫra	svaιḫra 	Schwieger…	 father-in-law
𐍃𐍅𐌰𐌹𐌷𐍂𐍉 	 sweιḫru	svaιḫrō 	Schwieger…	 mother-in-law
𐍃𐍅𐌰𐌼𐌼𐍃 	 swemms	svamms 	Schwamm	 sponge
𐍃𐍅𐌰𐍂𐍄𐌹𐌶𐌻 	 swertιzl	svartιshl 	Schwärzerl	 ink
𐍃𐍅𐌴𐌲𐌽𐌹𐌸𐌰 	 swegnιƌa	svegnιƒa 	'Schwung' swing;)	 jubilance,exultation,joy
𐍃𐍅𐌴𐌹𐌽 	 sweιn	sveιn 	Schwein swine	 pig
𐍃𐍅𐌴𐍂𐌹𐌸𐌰 	 swerιƌa	sverιƒa 	Schwur? Schwere? veritas? answer:sword	 honour
𐍃𐍅𐌴𐍃 	 swes	sves 	<> Seins?	 ownings,property
𐍃𐍅𐌹𐌱𐌻𐍃 	 swebls	svιbls 	Schwefel	 sulfur,brimstone
𐍃𐍅𐌹𐌲𐌻𐌾𐌰 	 sweglɕa	svιglɕa 	Schwelger 🤍	 flautist
𐍃𐍅𐌹𐌲𐌽𐌹𐌸𐌰 	 swegnιƌa	svιgnιƒa 	 	 
𐍃𐍅𐌹𐌺𐌽𐌴𐌹 	 swekneι	svιkneι 	~~~schicken? zwick zwack? sykn@Norse	 purity,innocence
𐍃𐍅𐌹𐌺𐌽𐌴𐌹𐌽𐍃 	 swekneιns	svιkneιns 	~~innocence <> zweck??	 purification
𐍃𐍅𐌹𐌺𐌽𐌹𐌸𐌰 	 sweknιƌa	svιknιƒa 	®®®	 purity,chastity
𐍃𐍅𐌹𐍃𐍄𐌰𐍂 	 swestar	svιstar 	Schwester	 sister
𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌰𐍆𐌰𐌸𐍃 	 swnagugafaƌs	svnagōgafaƒs 	synagogue	 leader,synagogue
𐍃𐍅𐌽𐌰𐌲𐍉𐌲𐌴 	 swnaguge	svnagōge 	synagogue	 synagogue
𐍃𐍅𐌿𐌻𐍄𐌰𐍅𐌰𐌹𐍂𐌸𐌾𐌰 	 swultaweιrƌɕa	svultavaιrƒɕa 	sulter sylt.werden <> Schwelle Sultan Salz?	 fey,death
𐍃𐍅𐌿𐌼𐍃𐌻 	 swumsl	svumsl 	Schwimmen!	 pool,swimming
𐍃𐍅𐌿𐌼𐍆𐍃𐌻 	 swumfsl	svumfsl 	swampsal : swim!!	 pool,swimming
𐍃𐍉𐌸 	 suƌ	 suƌ	satt, sated	 satisfaction,satiation
𐍃𐍉𐌺𐌰𐍂𐌴𐌹𐍃 	 sukareιs	sōkareιs 	Sucher seeker	 investigator,seeker
𐍃𐍉𐌺𐌴𐌹𐌽𐍃 	 sukeιns	sōkeιns 	Suchen seeking	 search,investigation
𐍄𐌰𐌲𐌻 	 tagl	tagl 	tail!	 hair
𐍄𐌰𐌲𐍂 	 tagr	tagr 	tear(drop)	 teardrop
𐍄𐌰𐌹𐌷𐍃𐍅𐌰 	 taιḫswe	taιḫsva 	derechia <> direction < die Rechte Zeichen:	 right,hand <<<<
𐍄𐌰𐌹𐌺𐌽𐍃 	 taιkns	taιkns 	Zeugnis!!	 sign,miracle
𐍄𐌰𐌹𐌽𐌾𐍉 	 taιnigu	taιnɕō 	Tank! တောင်း taung Zwinger? 	 basket <> δάρπη θῖβις thîbis टोकरी ṭokrī
𐍄𐌰𐌹𐌽𐍃 	 taιns	taιns 	twaing Zweig twig	 branch,twig
𐍄𐌰𐌹𐍄𐍂𐌰𐍂𐌺𐌴𐍃 	 taιtrarkes	taιtrarkes 	 tetrarch	 tetrarch
𐍄𐌰𐌻𐌶𐌴𐌹𐌽𐍃 	 talzeιns	talsheιns 	teaching < talk ++	 instruction
𐍄𐌰𐌻𐌶𐌾𐌰𐌽𐌳𐍃 	 talzɕands	talshɕands 	teachant < talk ++	 teacher
𐍄𐌰𐌿𐌹 	 tøι	tauι 	Tu𐌿 < Tat	 deed,accomplishment,task
𐍄𐌴𐍅𐌰 	 tewe	teva 	Old High German: zāwa < Decken?	 order,array
𐍄𐌹𐌲𐌿𐍃 	 tιgus	tιgus 	Zehns! ORTHO	 ten,decade
𐍄𐌹𐌻 	 tιl	tιl 	toll 🤍 <>ziel…suitable?	 fitting,suitable
𐍄𐌹𐌼𐍂𐌴𐌹𐌽𐍃 	 tιmreιns	tιmreιns 		 edification
𐍄𐌹𐌼𐍂𐌾𐌰 	 tιmrɕa	tιmrɕa 	Timbera Zimmerer	 carpenter
𐍄𐌿𐌲𐌲𐌻 	 tungl	tuggl 	Twinkel! Züngel? < Zunder,inCite,Ignite	 firmament,constellation,star,luminary
𐍄𐌿𐌲𐌲𐍉 	 tungu	tungō 	Zunge,  tongue	 tongue
𐍄𐌿𐌻𐌲𐌹𐌸𐌰 	 tulgιƌa	tulgιƒa 	TELL Saxon: tulgo; tylg, tylgest Deich! 𓏏	 bulwark,stronghold,foundation, safety,security
𐍄𐌿𐌽𐌸𐌿𐍃 	 tunƌus	tunƒus 	dental ZahnTooth…	 tooth
𐍄𐍂𐌰𐌿𐌰𐌹𐌽𐍃 	 trøaιns	trauaιns 	Trauens	 trust,confidence
𐍄𐍂𐌰𐌿𐍃𐍄𐌹 	 trøstι	traustι 	trust	 covenant,pact
𐍄𐍂𐌹𐌲𐌲𐍅𐌰 	 trιngwe	trιngva 	TreueTrunk!?	 pledge,covenant,testament
𐍄𐍂𐌹𐌲𐍉 	 trιgu	trιgō 	<> traurig ORTHO? 	 sadness
𐍄𐍂𐌹𐌿 	 trιu	trιu 	 tree	 tree,wood,stick
𐍄𐍅𐌴𐌹𐍆𐌻 	 tweιfl	tveιfl 	Zweifel	 doubt
𐍄𐍅𐌴𐌹𐍆𐌻𐌴𐌹𐌽𐍃 	 tweιfleιns	tveιfleιns 	Zweifel	 disputation,doubting,hesitation
𐍄𐍅𐌹𐍃𐍃𐍄𐌰𐍃𐍃 	 twesstass	tvιsstass 	Zwie… Zwist!	 discord
𐍅𐌰𐌲𐌲𐌰𐍂𐌴𐌹𐍃 	 wengareιs	vangareιs 	Wanger™ 🤍 	 pillow
𐍅𐌰𐌲𐌲𐍃 	 wengs	vangs 	Vangelis Weg™ ;)	 paradise
𐍅𐌰𐌳𐌳𐌾𐌿𐍃 	 weddɕus	vaddɕus 	Wedel > Wall < Wedel >  va.Dell 𓏏 !!	 wall  <> 𐍄𐌿𐌻𐌲𐌹𐌸𐌰 𓏏 
𐍅𐌰𐌳𐌹 	 wedι	vadι 	~Wette <> wage 	 deposit,security,earnest
𐍅𐌰𐌳𐌾𐌰𐌱𐍉𐌺𐍉𐍃 	 wedɕabukus	vadɕabōkōs 	Wettbuchung! Wett.Abakus !! <<<<	 written,pledge,debenture,bond
𐍅𐌰𐌷𐍃𐍄𐌿𐍃 	 weḫstus	vaḫstus 	Wachstum	 size,stature,increase,growth
𐍅𐌰𐌷𐍄𐍅𐍉𐌼 	 weḫtwum	vaḫtvōm 	Wachtum ?	 watch,vigil
𐍅𐌰𐌹𐌳𐌴𐌳𐌾𐌰 	 weιdedɕa	vaιdedɕa 	woe.deed.zer < bandit!	 evildoer,criminal,bandit
𐍅𐌰𐌹𐌷𐍃𐍄𐌰 	 weιḫsta	vaιḫsta 	> Weiche	 corner
𐍅𐌰𐌹𐌷𐍃𐍄𐌰𐍃𐍄𐌰𐌹𐌽𐍃 	 weιḫstastaιns	vaιḫstastaιns 	Weichens…stein Wegesstein	 cornerstone,quoin
𐍅𐌰𐌹𐌷𐍄 	 weιḫt	vaιḫt 	Fach… <<	 thing
𐍅𐌰𐌹𐌷𐍄𐍃 	 weιḫts	vaιḫts 	Fach… <<	 thing,object
𐍅𐌰𐌹𐌻𐌰𐌳𐌴𐌸𐍃 	 weιladeƌs	vaιladeƒs 	WohlTäter	 good,deed
𐍅𐌰𐌹𐌻𐌰𐌵𐌹𐍃𐍃 	 weιlakrιss	vaιlacιss 	WohlSegnung velsignelse benedizione   blagoslov	 blessing
𐍅𐌰𐌹𐌻𐌰𐌼𐌴𐍂𐌴𐌹 	 weιlamereι	vaιlamereι 	Wohl.Amore well.merits	 good reputation
𐍅𐌰𐌹𐌻𐌰𐌼𐌴𐍂𐌴𐌹𐌽𐍃 	 weιlamereιns	vaιlamereιns 	 	 evangelization,preaching,tidings
𐍅𐌰𐌹𐍀𐍃 	 weιps	vaιps 	 	 crown,laurel,wreath
𐍅𐌰𐌹𐍂 	 weιr	vaιr 	WIR™ were-wolf vital force	 man
𐍅𐌰𐌹𐍂𐌳𐌿𐍃 	 weιrdus	vaιrdus 	Wirt	 host
𐍅𐌰𐌹𐍂𐌸 	 weιrƌ	vaιrƒ 	Wert  worth > value	 worth,value
𐍅𐌰𐌹𐍂𐌸𐌹𐌳𐌰 	 weιrƌιda	vaιrƒιda 	Wertity, worthiness	 worthiness,fittingness,sufficiency
𐍅𐌰𐌹𐍂𐌹𐌻𐍉 	 weιrιlu	vaιrιlō 	 	 lip
𐍅𐌰𐌻𐌳𐌰𐌽𐌳𐍃 	 weldands	valdands 	(Gerd) Walter	•“ruling, ruler” @ 𐌲𐌰𐍂𐌳𐌰𐍅𐌰𐌻𐌳𐌰𐌽𐌳𐍃
𐍅𐌰𐌻𐌳𐌿𐍆𐌽𐌹 	 weldufnι	valdufnι 	Welt-Waltniƒ	 authority,power
𐍅𐌰𐌻𐌿𐍃 	 welus	valus 	wale, weal < Wedel?	 staff,stick
𐍅𐌰𐌼𐌱𐌰 	 wemba	vamba 	Wampe womb	 womb,paunch,belly
𐍅𐌰𐌼𐌼 	 wemm	vamm 	<> balspheme ?	 stain,spot,blemish,flaw
𐍅𐌰𐌽 	 wen	ve 	Fehlen! <> vain vanish	 deficiency,lack
𐍅𐌰𐌽𐌳𐌿𐍃 	 wendus	vandus 	wand	 rod
𐍅𐌰𐌽𐌹𐌽𐌰𐍃𐍃𐌿𐍃 	 wenιnassus	vanιnassus 	Wenig…  Fehlen! <> vain vanish	 lack,shortage
𐍅𐌰𐌾𐌰𐌼𐌴𐍂𐌴𐌹𐌽𐍃 	 weɕamereιns	vaɕamereιns 	fuckamerits;)	 blasphemy,slander,sacrilegious,evil
𐍅𐌰𐌿𐍂𐌳 	 weurd	vaurd 	Wort word 	 word
𐍅𐌰𐌿𐍂𐌳𐌰𐌾𐌹𐌿𐌺𐌰 	 weurdaɕιuka	vaurdaɕιuka 	WortZank wordjunction	 word,fight,logomachy,debate
𐍅𐌰𐌿𐍂𐌼𐍃 	 weurms	vaurms 	Wurm…	 snake,serpent
𐍅𐌰𐌿𐍂𐍃𐍄𐍅 	 weurstw	vaurstv 	Werk… workst	 work,deed,accomplishment
𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌰 	 weurstwe	vaurstva 	Werkstuer	 worker
𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌴𐌹 	 weurstweι	vaurstveι 	Werkstu?	 act,deed
𐍅𐌰𐌿𐍂𐍃𐍄𐍅𐌾𐌰 	 weurstwɕa	vaurstvɕa 	Werkstuer	 worker,farmer
𐍅𐌰𐌿𐍂𐍄𐍃 	 weurts	vaurts 	Wurz / Wurtzel	 root
𐍅𐌰𐍂𐌲𐌹𐌸𐌰 	 wergιƌa	vargιƒa 	 	 condemnation,judgment,damnation
𐍅𐌰𐍂𐌳𐌾𐌰 	 werdɕa	vardɕa 	Wärter warden	 guard
𐍅𐌰𐍃𐍄𐌹 	 westι	vastι 	Weste	 garment
𐍅𐌰𐍄𐍉 	 wetu	vatō 	Wasser Water	 water
𐍅𐌴𐌲𐍃 	 wegs	vegs 	Wogens! waves / wash	 storm,tempest,wave
𐍅𐌴𐌹𐌷𐌰 	 weιḫa	veιḫa 	Weihe(priester)	 priest
𐍅𐌴𐌹𐌷𐌹𐌸𐌰 	 weιḫιƌa	veιḫιƒa 	Weihe(tum)	 sanctity,holiness
𐍅𐌴𐌹𐌷𐍃 	 weιḫs	veιḫs 	Weiher ~  village	 village,countryside
𐍅𐌴𐌹𐌽 	 weιn	veιn 	Wein vine	 wine,vine
𐍅𐌴𐌹𐌽𐌰𐌱𐌰𐍃𐌹 	 weιnabasι	veιnabarsι 	vine/berry	 grape
𐍅𐌴𐌹𐌽𐌰𐌲𐌰𐍂𐌳𐍃 	 weιnagards	veιnagards 	Weingarten	 vineyard
𐍅𐌴𐌹𐌽𐌰𐍄𐌰𐌹𐌽𐍃 	 weιnataιns	veιnataιns 	~~vinetwigs	 vine,branch
𐍅𐌴𐌹𐌽𐌰𐍄𐍂𐌹𐌿 	 weιnatrιu	veιnatrιu 	Weintrau[be]	 grapevine
𐍅𐌴𐌹𐌽𐌳𐍂𐌿𐌲𐌺𐌾𐌰 	 weιndrunkɕa	veιndrunkɕa 	Wein-drunkard	 drunkard,winebibber
𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌴𐌹 	 weιtwudeι	veιtvōdeι 	witness ~WettWette	 testimony
𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌴𐌹𐌽𐍃 	 weιtwudeιns	veιtvōdeιns 	 	 bearing witness,testifying
𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌹 	 weιtwudι	veιtvōdι 	 	 testimony
𐍅𐌴𐌹𐍄𐍅𐍉𐌳𐌹𐌸𐌰 	 weιtwudιƌa	veιtvōdιƒa 	 	 testimony
𐍅𐌴𐌹𐍄𐍅𐍉𐌸𐍃 	 weιtwuƌs	veιtvōƒs 	 	 witness
𐍅𐌴𐌽𐍃 	 wens	vens 	Wähnen? Hoffens Hoffnung <> Venung	 hope,expectation
𐍅𐌴𐍀𐌽 	 wepn	vepn 	 weapon!	 weapon
𐍅𐌹𐌲𐌰𐌳𐌴𐌹𐌽𐍉𐌼 	 wegadeιnum	vιgadeιnōm 	 	 thistle
𐍅𐌹𐌲𐌰𐌽 	 wegen	vιge 	wage:ware  guergon! wegaron>war	 war
𐍅𐌹𐌲𐍃 	 wegs	vιgs 	Weges ways	 road,path
𐍅𐌹𐌳𐌿𐍅𐌰𐌹𐍂𐌽𐌰 	 weduweιrna	vιduvaιrna 	Waisenborn?	 orphan
𐍅𐌹𐌳𐌿𐍅𐍉 	 weduwu	vιduvō 	Widwe	 widow
𐍅𐌹𐌳𐍉𐍅𐍉 	 weduwu	vιdōvō 	Widwe	 widow
𐍅𐌹𐌸𐍂𐌿𐍃 	 weƌrus	vιƒrus 	Widder(ssic)	 lamb
𐍅𐌹𐌺𐍉 	 weku	vιkō 	Folge,week,Woche	 sequence,routine,week
𐍅𐌹𐌻𐌾𐌰 	 welɕa	vιlɕa 	Wille	 will,desire
𐍅𐌹𐌻𐌾𐌰𐌷𐌰𐌻𐌸𐌴𐌹 	 welɕaḫalƌeι	vιlɕaḫalƒeι 	WilleHalten <> WillKür	 bias,partisanship,partiality
𐍅𐌹𐌻𐍅𐌰 	 welwe	vιlva 	Welfe 'Wolf' ƒieƒ	 robber,bandit
𐍅𐌹𐌽𐌳𐍃 	 wends	vιnds 	 wind	 wind
𐍅𐌹𐌽𐌸𐌹𐍃𐌺𐌰𐌿𐍂𐍉 	 wenƌιschøru	vιnƒιshaurō 	WindSchaufler?	 winnow,shovel,fork,fan
𐍅𐌹𐌽𐌽𐌰 	 wenna	vιnna 	Weinen, Wehen, wähnen	 suffering,passion,yearning
𐍅𐌹𐌽𐌽𐍉 	 wennu	vιnnō 	Weinen, Wehen, wähnen	 suffering,passion,yearning
𐍅𐌹𐌽𐌾𐌰 	 weniga	vιnɕa 	Old High German winne : fin=land 	 pasture
𐍅𐌹𐌽𐍄𐍂𐌿𐍃 	 wentrus	vιntrus 	 winter	 winter
𐍅𐌹𐍀𐌾𐌰 	 wepɕa	vιpɕa 	Wipfel!	 crown
𐍅𐌹𐍃 	 wes	vιs 	weich? weather	 stillness of sea/weather
𐍅𐌹𐍃𐍄𐍃 	 wests	vιsts 	Wesen	 nature,essence,being
𐍅𐌹𐍄𐌿𐌱𐌽𐌹 	 wetubnι	vιtubnι 	Wissen, wit…	 knowledge
𐍅𐌹𐍄𐍉𐌳𐌰𐌻𐌰𐌹𐍃𐌰𐍂𐌴𐌹𐍃 	 wetudalaιsareιs	vιtōdalaιsareιs 	wit…	 law,teacher
𐍅𐌹𐍄𐍉𐌳𐌰𐍆𐌰𐍃𐍄𐌴𐌹𐍃 	 wetudafasteιs	vιtōdafasteιs 	 	 lawyer,law,scholar,legist
𐍅𐌹𐍄𐍉𐌸 	 wetuƌ	vιtōƒ 	Weisung	 law
𐍅𐌻𐌹𐍄𐍃 	 wlιts	vlιts 	Flach <> face ;)	 face,countenance,appearance
𐍅𐌿𐌻𐌸𐌿𐍃 	 wulƌus	vulƒus 	 	 glory
𐍅𐌿𐌻𐌻𐌰 	 wulla	vulla 	Wolle	 wool
𐍅𐌿𐌻𐌻𐌰𐍂𐌴𐌹𐍃 	 wullareιs	vullareιs 	 fuller,full	 fuller,full,cloth
𐍅𐌿𐌻𐍅𐌰 	 wulwe	vulva 	√Wolf <> Welfen  Ruava < robber	 robbery
𐍅𐌿𐌻𐍆𐍃 	 wulfs	vulfs 	Wolf	 wolf
𐍅𐌿𐌽𐌳𐌿𐍆𐌽𐌹 	 wundufnι	vundufnι 	Wund <> Wendung?	 disease,plague
𐍅𐌿𐌽𐌽𐍃 	 wunns	vunns 	Weinen Wunde Flennen	 suffering,agony
𐍅𐍂𐌰𐌺𐌰 	 wraka	vraka 	Frage!	 persecution
𐍅𐍂𐌰𐌺𐌾𐌰 	 wrakɕa	vrakɕa 	Frage!	 persecution
𐍅𐍂𐌰𐍄𐍉𐌳𐌿𐍃 	 wratudus	vratōdus 	γrat : Wanderung (gress!)	 journey
𐍅𐍂𐌹𐌸𐌿𐍃 	 wrιƌus	vrιƒus 	vri𐌸 > flock ? (𐌸~Q)	 herd,flock
𐍅𐍂𐌹𐍄𐍃 	 wrιts	vrιts 	Ritzen <> writing	 tittle,stroke
𐍅𐍂𐌿𐌲𐌲𐍉 	 wrungu	vrungō 	Vring > ring, fang! <> Falle	 snare
𐍅𐍂𐍉𐌷𐍃 	 wruḫs	vrōḫs 	Frage!	 accusation
𐍅𐍉𐌺𐍂𐍃 	 wukrs	vōkrs 	Wucherei!	 usury
𐍆𐌰 	 fa	fa 	 	 
𐍆𐌰𐌳𐌰𐍂 	 fadar	fadar 	Vater •Pfađter	 father
𐍆𐌰𐌳𐍂𐌴𐌹𐌽 	 fadreιn	fadreιn 	patrein > patron parents	 parents,forefather, patri-
𐍆𐌰𐌳𐍂𐌴𐌹𐌽𐍃 	 fadreιns	fadreιns 	patreins > patrons parents	 parents,forefather, patri-
𐍆𐌰𐌷𐌴𐌳𐍃 	 faḫeds	faḫeds 	Freude	 joy
𐍆𐌰𐌷𐌴𐌸𐍃 	 faḫeƌs	faḫeƒs 	Freude	 joy
𐍆𐌰𐌸𐌰 	 faƌa	faƒa 	Pforte ≠  fence	 fence,hedge
𐍆𐌰𐌸𐍃 	 faƌs	faƒs 	Pforte ≠  fence	 fence,hedge
𐍆𐌰𐌹𐌷𐌿 	 faιḫu	faιḫu 	Vieh < Fiecher	 cattle,wealth,property
𐍆𐌰𐌹𐌷𐌿𐌲𐌰𐌹𐍂𐌽𐌴𐌹 	 faιḫugaιrneι	faιḫugaιrneι 	Vieh.gerne ;)	 covetousness,greed
𐍆𐌰𐌹𐌷𐌿𐌲𐌰𐍅𐌰𐌿𐍂𐌺𐌹 	 faιḫugaweurkι	faιḫugavaurkι 	Fiechergewerk?	 pecuniary,gain,profit
𐍆𐌰𐌹𐌷𐌿𐌲𐌴𐌹𐍂𐍉 	 faιḫugeιru	faιḫugeιrō 	Vieh(l)gree[d]	 covetousness,greed
𐍆𐌰𐌹𐌷𐌿𐌸𐍂𐌰𐌹𐌷𐌽𐌰 	 faιḫuƌraιḫna	faιḫuƒraιḫna 	 	 Mammon
𐍆𐌰𐌹𐌷𐌿𐍃𐌺𐌿𐌻𐌰 	 faιḫuschula	faιḫushula 	 	 debtor
𐍆𐌰𐌹𐌷𐌿𐍆𐍂𐌹𐌺𐌴𐌹 	 faιḫufrιkeι	faιḫufrιkeι 	 	 covetousness,greed
𐍆𐌰𐌹𐌷𐍉 	 faιḫu	faιḫō 	 	 
𐍆𐌰𐌹𐍂𐌲𐌿𐌽𐌹 	 vergunι	faιrgunι 	Berg!	 mountain
𐍆𐌰𐌹𐍂𐌶𐌽𐌰 	 verzna	faιrshna 	Verse	 heel
𐍆𐌰𐌹𐍂𐌹𐌽𐌰 	 verιna	faιrιna 	 	 guilt,accusation,reproach
𐍆𐌰𐌹𐍂𐌽𐌹𐌸𐌰 	 vernιƌa	faιrnιƒa 	 	 antiquity,oldness
𐍆𐌰𐌹𐍂𐍅𐌴𐌹𐍄𐌻 	 verweιtl	faιrveιtl 	 	 spectacle
𐍆𐌰𐌹𐍂𐍈𐌿𐍃 	 verwus	faιrwhus 	uni.verse! werwl > world?  	 world,universe
𐍆𐌰𐌽𐌰 	 fana	fana 	 	 piece,cloth
𐍆𐌰𐌽𐌹 	 fanι	fanι 	 	 clay,mire
𐍆𐌰𐌿𐌷𐍉 	 føḫu	fauḫō 	Fuchs	 fox
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌰 	 vorganga	fore-ganga 	~Vorgänger (ƒƒ)	 steward,manager
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌹 	 vorgangι	fore-gangι 	 	 stewardship,administration
𐍆𐌰𐌿𐍂𐌰𐌲𐌰𐌲𐌲𐌾𐌰 	 vorgangɕa	fore-gangɕa 	 	 steward,manager
𐍆𐌰𐌿𐍂𐌰𐌳𐌰𐌿𐍂𐌹 	 vordørι	fore-daurι 	Vorder (Fahrtrack) (sic!)	 street
𐍆𐌰𐌿𐍂𐌰𐌷𐌰𐌷 	 vorḫaḫ	fore-ḫaḫ 	Vorhang!	 curtain,veil
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌴𐌹𐍃 	 vormaƌleιs	fore-maƒleιs 	VorMädel;)	 leader,chief
𐍆𐌰𐌿𐍂𐌰𐌼𐌰𐌸𐌻𐌹 	 vormaƌlι	fore-maƒlι 	VorMädel;)	 leadership,rulership
𐍆𐌰𐌿𐍂𐌰𐍄𐌰𐌽𐌹 	 vortanι	fore-tanι 	Fortune << germanic? 	 miracle,wonder,marvel
𐍆𐌰𐌿𐍂𐌰𐍆𐌹𐌻𐌻𐌹 	 vorfιllι	fore-fιllι 	?? 	 uncircumcision
𐍆𐌰𐌿𐍂𐌱𐌰𐌿𐌷𐍄𐍃 	 vorbøḫts	fore-bauḫts 	verbuchen? ;)	 redemption,ransom
𐍆𐌰𐌿𐍂𐌳𐍉𐌼𐌴𐌹𐌽𐍃 	 verdumeιns	fore-dōmeιns 	verdummian fore-deeming +++	 prejudice
𐍆𐌰𐌿𐍂𐌷𐌰𐌷 	 verḫaḫ	fore-ḫaḫ 	Verhang ~ Vorhang!	 curtain,veil
𐍆𐌰𐌿𐍂𐌷𐍄𐌴𐌹 	Furchtei	fore-ḫteι 	Furcht	 fright,fear
𐍆𐌰𐌿𐍂𐌻𐌰𐌲𐌴𐌹𐌽𐍃 	 verlageιns	fore-lageιns 	Vorlegen	 laying,before,presentation
𐍆𐌰𐌿𐍂𐍃𐍄𐌰𐍃𐍃𐌴𐌹𐍃 	 verstasseιs	fore-stasseιs 	VorStands	 authority,superior
𐍆𐌰𐍂𐌴𐌹𐍃𐌰𐌹𐌿𐍃 	 fareιsaιus	fareιsaιus 	 	 Pharisee
𐍆𐌰𐍂𐍅𐌰 	 farwe	farva 	Form (𐌰:um~ein!)	 form
𐍆𐌰𐍃𐌺𐌾𐌰 	 faschɕa	fashɕa 	Fascie!	 bandage,strip,linen,graveclothes
𐍆𐌰𐍃𐍄𐌿𐌱𐌽𐌹 	 fastubnι	fastubnι 	fasting	 keeping,observance,fasting,will-worship,self-imposed,piety
𐍆𐌴𐍂𐌰 	 fera	fera 	 	 side,flank,part,region,part
𐍆𐌴𐍂𐌾𐌰 	 ferɕa	ferɕa 	 	 informer,spy
𐍆𐌹𐌰𐌽𐌳𐍃 	 fιands	fιands 	fiends	fiends, enemies
𐍆𐌹𐌲𐌲𐍂𐌰𐌲𐌿𐌻𐌸 	 fιngragulƌ	fιngragulƒ 	Finger Gold	 finger ring
𐍆𐌹𐌲𐌲𐍂𐍃 	 fιngrs	fιggrs 	Finger	 finger
𐍆𐌹𐌳𐌿𐍂𐍂𐌰𐌲𐌹𐌽𐌾𐌰 	 fιdurragιniga	fιdurragιnɕa 	 	 tetrarch,tetrarchate
𐍆𐌹𐌻𐌴𐌲𐍂𐌹 	 fιlegrι	fιlegrι 	 	 
𐍆𐌹𐌻𐌹𐌲𐍂𐌹 	 fιlιgrι	fιlιgrι 	 	 den
𐍆𐌹𐌻𐌿𐌳𐌴𐌹𐍃𐌴𐌹 	 fιludeιseι	fιludeιseι 	 	 craftiness,wiliness
𐍆𐌹𐌻𐌿𐍃𐌽𐌰 	 fιlusna	fιlusna 	vieles…	 multitude,amount,excess
𐍆𐌹𐌻𐌿𐍅𐌰𐌿𐍂𐌳𐌴𐌹 	 fιluweurdeι	fιluvaurdeι 	Vielwortei / Vielworterei	 wordiness
𐍆𐌹𐌾𐌰𐌸𐍅𐌰 	 fιɕaƌwe	fιɕaƒva 	verhatew verhasst	 hate,enmity
𐍆𐌹𐌾𐌰𐌽𐌳𐍃 	 fιɕands	fιɕands 	fiends! fightans?	 enemy,foe
𐍆𐌹𐍃𐌺𐌾𐌰 	 fιschɕa	fιshɕa 	Fischer	 fisherman
𐍆𐌹𐍃𐌺𐍃 	 fιschs	fιshs 	Fisch	 fish
𐍆𐌻𐌰𐌷𐍄𐌰 	 flaḫta	flaḫta 	Flechte plait Falte	 braid,plait
𐍆𐌻𐍉𐌳𐌿𐍃 	 fludus	flōdus 	floatus floodus ;)	 river
𐍆𐌿𐌲𐌻𐍃 	 fugls	fugls 	Vogel	 bird
𐍆𐌿𐌻𐌰 	 fula	fula 	Fohlen foal	 foal,colt
𐍆𐌿𐌻𐌷𐍃𐌽𐌹 	 fulḫsnι	fulḫsnι 	falsch.ness ? flach? foolness?  fooling?	 secrecy,concealment
𐍆𐌿𐌻𐌻𐌹𐌸𐍃 	 fullιƌs	fullιƒs 	full…ity?	 fullness,new moon,festival
𐍆𐍂𐌰𐌱𐌰𐌿𐌷𐍄𐌰𐌱𐍉𐌺𐌰 	 verbøḫtabuka	forbauḫtabōka 	verbuchte Buchung?	 deed of sale
𐍆𐍂𐌰𐌲𐌹𐍆𐍄𐍃 	 vergιfts	forgιfts 	Fürgabet vergeben: for.gift	 gift,grant,betrothal,engagement
𐍆𐍂𐌰𐌸𐌹 	 verƌι	forƒι 	virtue? :	 reason,mind,intellect
𐍆𐍂𐌰𐌸𐌾𐌰𐌼𐌰𐍂𐌶𐌴𐌹𐌽𐍃 	 verƌɕamarzeιns	forƒɕamarsheιns 	^^	 deception,mind
𐍆𐍂𐌰𐌹𐍃𐍄𐌿𐌱𐌽𐌹 	 verιstubnι	forιstubnι 	 	 temptation
𐍆𐍂𐌰𐌹𐍅 	 verιw	forιv 	<> forage?	 semen,seed,offspring
𐍆𐍂𐌰𐌻𐌴𐍄 	 verlasth	forlet 	Erlass ~ Ablass <> Entlastung	 forgiveness,remission
