143	to float 			తేలు (tēlu) 	<	மித (mitha) 	പൊങ്ങ് (/poŋŋɨ̆/), പൊന്ത് (/pon̪t̪ɨ̆/) 	ತೇಲು (tēlu)								-		-			 	 	 
144	to flow 	పారు (pāru)	Flow < para:around ?	పారు (pāru) 	<~	ஒழுகு (ozhugu) 	ഒഴുക് (/oɻukɨ̆/), ഒലിക്ക് (/olikkɨ̆/) 	ಹರಿ (hari)	𓋴 𓍬 𓍿 𓄿 𓂻, 2. 𓃀 𓋴 𓂻, 𓄿 𓊃 𓍬 𓂻, 𓄿 𓋴 𓍬 𓂻 3. 𓎡 𓆑 𓆑 𓂐 4. 𓐍 𓂧 𓊛							ārszi		ārsi(ya)-	ocean?		 	 	 
145	to freeze 			గడ్డకట్టు (gaḍḍakaṭṭu) 		உறை (uRai) 	ഉറയ്ക്ക് (/urajkkɨ̆/), കട്ടയാക് (/kaʈʈajaːkɨ̆/) 	ಹೆಪ್ಪುಗಟ್ಟು (heppugaṭṭu)								ekāizzi		-			 	 	 
146	to swell 			వాచు (vācu) 		வீங்கு (veengu) 	വീർക്ക് (/ʋiːɾkkɨ̆/) 	ಊದು (ūdu)	𓈙 𓆑 𓐎 							suwattari	~swellt	-			 	 	 
147	sun 	sūryu ñāyi’ṟu	Sarah	సూర్యుడు (sūryuḍu), పొద్దు (poddu) 	++ ..?	ஞாயிறு (ñāyiṟu) 	ഞായർ (/ɲaːjaɾ/) 	ಸೂರ್ಯ (sūrya), ಹೊತ್ತು (hottu)	𓊃 𓅱 𓇳, 𓆄 𓅱 𓇳, 𓂋 𓂝 𓇳 𓏤, 𓂋 𓂝 𓏏 𓇳 𓁐, 2. 𓇋 𓏏 𓈖 𓇳		na-hu-te; na-ˢh-hu-un-te; na-hi-ti	nabu.te! ஞாயிறு (ñāyiṟu) 	deː 	day :  Polysemy: 'sun / day / time'. UTU		istanus 𒀭	eastern 𒀭 !?	𒋾𒉿𒊍 (tiwaz) !!	days GOD!		 	 	 
148	moon 		camdra (Hindi)	చంద్రుడు (caMdruḍu), చందమామ (caMdamāma), నెలవేల్పు (nelavēlpu) 	++ 	நிலா (nilā), (thingal) 	തിങ്കൾ (/t̪iŋkaɭ/), നിലാവ് (/n̪ilaːʋɨ̆/) 	ಚಂದ್ರ (candra), ತಿಂಗಳು (tiṅgaḷu)	𓇋 𓂝 𓎛, 𓇋 𓎛 𓅆, 𓀭		itud?; na-ap-ir; na-pir;	> •nāvila நிலா nilā				armas	??? <<>>	*armas	≠mardi		 	 	 
149	star 		akstra@nakht!!	నక్షత్రం (nakṣatraM), తార (tāra), చుక్క (cukka) 	+ >>	விண்மீன் (viṇmīṉ), (natchatram) 	താരം (/t̪aːɾam/) 	ನಕ್ಷತ್ರ (nakṣatra), ಅರಿಲು (arilu), ಚುಕ್ಕೆ (cukke)	𓇼 𓏤, 𓋴 𓃀 𓄿 𓇼 𓇳, 2. 𓎼 𓈖 𓄡 𓏏 𓇼		MUL.lg	™	istaːr	@Persian		hastērz	hastars! 	-	𒀭		 	 	 
150	water 		νερό,neró,naur, nil!!	నీరు (nīru) 	+++!	நீர் (nīr) 	വെള്ളം (/ʋeɭɭam/), നീർ (/n̪iːɾ/) 	ನೀರು (nīru)	𓈗, 𓎛 𓃀 𓃀 𓈅 𓈗, 𓎛 𓃀 𓃀 𓏏 𓈗  2. 𓍇 𓏌 𓇋 𓇋 𓈘,  𓈖 𓏏 𓏯 𓈗  3. 𓈗, 𓈗 𓇋 𓇋 𓈗		A.MEŠ, zul	✓? wa.zul <<>>	dîr	wa.dîr !!		𒉿𒀀𒋻 (wa-a-tar)	Water 	𒉿𒀀𒅈𒊭 (wārsa)	Warsser !		 	 	 
151	to rain 	பொழி (pozhi)	kurain.yu 雨 +  weather<water	కురియు (kuriyu), వర్షించు (varṣiMcu) 	~+!	பொழி (pozhi), (mazhai) 	പെയ്യുക (/pejjuka/), പൊഴി (/poɻi/) 	ಮಳೆಸುರಿ (maḷesuri)	𓇋 𓄿 𓂧 𓏏 𓏯 𓇲, 𓇋 𓂧 𓏏 𓇲, 𓇶, 𓈗, 𓎛 𓀜 𓏷 𓀜 𓈗, 𓎛 𓀝 𓇋 𓇋 𓏏 𓈗, 		te-ip		pir	pour		hēus	Guss	-			 	 	 
152	river 	പുഴ (/puɻa/), ആറ് (/aːrɨ̆/)	nauturu, aria, pour, ariva, rod	నది (nadi) 	~+!	ஆறு (āṟu) 	പുഴ (/puɻa/), ആറ് (/aːrɨ̆/) 	ನದಿ (nadi), ಹೊಳೆ (hoḷe)	𓇋 𓏏 𓂋 𓅱 𓈙 𓏥, 𓇋 𓏏 𓂋 𓃭 𓈘 𓈅 𓏤, 𓇋 𓏏 𓂋 𓈘 𓈗 …		da, A.MEŠ	నది (nadi) ?				hapas		𒄩𒀀𒁉𒅖 (hāpis)	the.rapis !!!	𓎛 𓂋 𓊪 𓈙 𓀭	 	 	 
153	lake 		Sea / thalassea	సరస్సు (sarassu) 	++ <	எரி (eri) 	കായൽ (/kaːjal/) 	ಕೆರೆ (kere)	𓈙 𓈇 𓏤, 𓈘 𓈅 𓏤, 𓄞 𓂧 𓈘 𓈅 𓏤, 𓎛 𓆰 𓈖 𓏏 𓏯 𓈘 𓈇				d.and			lulis (?)		-			 	 	 
154	sea (as in ocean) 	సముద్రం samudraM	Sea.Ma’ra	సముద్రం (samudraM) కడలి (kaḍali) 	+>>	கடல் (kadal) 	കടൽ (/kaʈal/) 	ಸಮುದ್ರ (samudra), ಕಡಲು (kaḍalu)	𓈙, 𓈙 𓈇 𓏤  2. 𓇅 𓆓 𓅨 𓈗 𓈘, 𓇆 𓅨 𓂋 𓇋𓈗 𓈘 𓈅 𓏤, 𓇋𓇋𓏲 𓅓 𓂝 𓈗 𓈘 𓈇		KAM.MESH					arunas	<<>>	𒀀𒆷𒀸𒊭𒄠𒈪𒅖 (alasammis)			 	 	 
155	salt 		[s]up’pur	ఉప్పు (uppu) 	! 	உப்பு (uppu) 	ഉപ്പ് (/uppɨ̆/) 	ಉಪ್ಪು (uppu)	𓎛 𓌳 𓄿 𓏏𓍖 𓈒 𓏥,  𓎛 𓌴 𓏏𓈒 𓏥				be, nimik	ಉಪ್ಪು uppu <> petro?  nimik@Persian		-		-			 	 	 
156	stone 	రాయి (rāyi) கல் (kal)	rock! ġebla  kar,kő...@Uralic	రాయి (rāyi) 	++ <>	கல் (kal) 	കല്ല് (/kallɨ̆/), കൽ (/kal/) 	ಕಲ್ಲು (kallu)	𓊌  2. 𓇋 𓈖 𓂋 𓊌 3. 𓃀 𓇋 𓏏 𓊌 		h.har.lg, HAR.MEŠ	✓ ḫar~xal	xal	<> salt? <<<		𒉺𒀸𒅆𒆷𒀸 (passilas)	psteyenas Stein 	-		𒆷 na!	 	 	 
157	sand 			ఇసుక (isuka) 	~?	மணல் (manal) 	മണൽ (/maɳal/), പൂഴി (/puːɻi/) 	ಮರಳು (maraḷu), ಉಸುಕು (usuku)	𓈙 𓂝 𓏮 𓈒 𓏥, 𓈙 𓂝 𓈒 𓏥				reːk	rock@Persian		-		-			 	 	 
158	dust 	புழுதி (puzhudhi)	Pust! dumnst@Turk! 	దుమ్ము (dummu) 	++!	புழுதி (puzhudhi), தூசி (thoosi) 	പൊടി (/poʈi/), കാരം (/kaːɾam/) 	ದುಂಬು (dumbu)	𓐍 𓅓 𓅱 𓊡 𓏪							-		pasūriyas (?)			 	 	 
159	earth (as in soil) 	మట్టి (maṭṭi) мода earth!	Mud <> Mutter Nature	మన్ను (mannu), మట్టి (maṭṭi), నేల (nēla) 	+++!	மண் (maṇ=sand) 	മണ്ണ് (/maɳɳɨ̆/), മണ്‍ (/maɳ/) നിലം (/n̪ilam/) 	ನೆಲ (nela), ಭೂಮಿ (bhūmi)	𓎛 𓄿 𓏏 𓈅 𓏥, 𓄿 𓎛 𓏏 𓈇, 𓄿 𓎡 𓂋 𓀭 𓏪, 𓄿 𓎡 𓂋 𓆙, 𓅱𓂝 𓎛  2. 𓇾 𓈇 𓏤  3. 𓅭𓏏𓅱𓈅 𓏥 , 𓅭𓏏𓏮𓊌 𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥  4. 𓎤 𓃀 𓃀 𓈅 𓏥		mu-ru-un	✓ >  മണ്‍ /maɳ/	ɖaɣaːr	dash (stone) Geor		tēkan	terrain!! (sic)	𒋾𒄿𒀀𒄠𒈪𒅖 (tiyammis)	Tiamat!! –		 	 	 
160	cloud 		<> abbu=water	మబ్బు (mabbu) 	+?	மேகம் (mēgam) 	മേഘം (megham) 	ಮೋಡ (mōḍa)	𓈎 𓂋 𓇋 𓇲, 𓈎 𓂋 𓇋 𓃫 𓀜, 𓈎 𓂋 𓂋 𓊡, 𓈎 𓂋 𓊡   2. 𓍲 𓈖 𓂝 𓍁  ϭⲏⲡⲉ ?				koːkur, ʓammar	𓈎 𓂋 𓂋 𓊡, ʓambare  from Baluchi 		alpās		-			 	 	 
161	fog 	పొగమంచు (poga)	phoga	పొగమంచు (pogamancu) 	+++	பனி (pani) 	മഞ്ഞ്‌ (/maɲɲɨ̆/) പനി- (/pani-/) 	ಮಂಜು (mañju)								kammaras		-			 	 	 
162	SKY		Nir.vanam!!! Nin.Gün svnne	నింగి (ningi), ఆకాశం(ākāśaM] 	+?	வானம் (vaanam) 	വാനം (/ʋaːnam/), മാനം (/maːnam/), വിണ്ണ് (/ʋiɳɳɨ̆/) 	ಆಕಾಶ (ākāśa), ಮುಗಿಲು (mugilu)	𓇯, 𓊪 𓏏 𓇯, 𓁷 𓏏 𓇯, 𓄿 𓂋 𓏏 𓇯, 𓄿 𓊃 𓂋 𓏏 𓇯  2. 𓈎 𓃀 𓎛 𓅂 , 𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉 3. 𓏌 𓏌 𓏏 𓏌 𓇯 𓁐 		ki-ik	•ngig నింగి ningi				𒉈𒂊𒁉𒅖 (nēpis)	ne.phoith  𓎟 𓏏 𓉗 𓏏 𓉐 𓅆	𒋫𒀊𒉺𒀸𒊭 (tappassa)	ta.phota!	𓏌𓏌𓏏𓏌𓇯𓁐	 	 	 
163	wind (as in breeze) 	గాలి (gāli) காற்று (kāṟṟu) 	gale++ quru@lat 𓈎𓂋𓂋𓊡	గాలి (gāli) 	+++ <<!	காற்று (kāṟṟu) 	കാറ്റ് (/kaːrrɨ̆/) 	ಗಾಳಿ (gāḷi)	𓊡, 𓅱 𓏏 𓊡, 𓊡 𓅱   2.  𓋴 𓅱 𓎛 𓊡, 𓆓 𓂝 𓊡  𓋴 𓏲 𓎘 𓃀 𓄲 𓏛  3.  𓈖 𓆑 𓏏 𓊡 𓏲		IM.lg	✓ 𒅎 TU !!	ta'oo tahoː	𓊡𓏲 #ṯꜣw <> 𓅱 𓏏 𓊡, 𓊡 𓅱		huwanz	Shuwind δ!	-			 	 	 
164	snow 		@manchu	మంచు (mancu) 	+?	பனி (pani) 	മഞ്ഞ്‌ (/maɲɲɨ̆/) (from mist/fog) പനി- (/pani-/) 	ಹಿಮ (hima)								-		-			 	 	 
165	ice 			గడ్డమంచు (gaḍḍamancu) 		பனிக்கட்டி (panikkatti) 	മഞ്ഞുകട്ട (/maɲɲukaʈʈa/) (from mist+solid) 	ಮಂಜುಗಡ್ಡೆ (mañjugaḍḍe)								ekan	Eican !! k<>c	-			 	 	 
166	smoke 	పొగ (poga)	పొగ (poga) fog vs smog rauch 	పొగ (poga) 	++^	புகை (pugai) 	പുക (/puka/) 	ಹೊಗೆ (hoge)	𓎛 𓏏 𓏮 𓊮				moːɬ	duhõː@Baluchi		tuhhuwais		-			 	 	 
167	fire 	തീ (/t̪iː/)	Thyssen @Turk/Hun	మంట (maNța), నిప్పు (nippu)  ---	OK	தீ (thee) 	തീ (/t̪iː/) 	ಬೆಂಕಿ (beṅki)	𓊮, 𓐍 𓏏 𓊮, 𓏴 𓏏 𓊮, 𓈎 𓂋 𓂋 𓊮, 𓋴𓆓 𓏏𓊮		li-im, li-mi-in		xaːxar	𓈎 𓂋 𓂋 𓊮 char²		𒉺𒀪𒄯 (paḫḫur)	Phaihur +++ πi!	𒉺𒀀𒄷𒌋𒌨 (pāhūr)	phyoro		 	 	 
168	ash 			బూడిద (būḍida) 		சாம்பல் (saambal) 	ചാമ്പൽ (/t͡ʃaːmpal/), ചാരം (/t͡ʃaːɾam/), കാരം (/kaːɾam/), കരി (/kaɾi/) 	ಬೂದಿ (būdi)	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 				kaluːɽ	coal => kala:black 		hās, hāss-	hash!	-			 	 	 
169	to burn (intransitive) 		char, chot, [b]eri	కాలు (kālu), మండు (maNḍu) 	+~	எரி (eri) 	എരിയ് (/eɾijɨ̆/), കത്ത് (/kat̪t̪ɨ̆/) (also ignite), കരിയ് (/kaɾijɨ̆/), കാളുക (/kaːɭuka/) 	ಸುಡು (suḍu)	𓊮, 𓌳 𓄿 𓐍 𓊮,  𓌳 𓄿 𓄡 𓊮, 𓍑 𓄿 𓆑 𓊮 , 𓎡 𓊪 𓊶, 𓋴 𓌳 𓄿 𓅓 𓊮 		li-im-ma		huš-iŋg 	火 huǒs heiz		urāni	Buranι ++	-			 	 	 
170	road 		വഴി (/ʋaɻi/) way , pod, lu	బాట (bāṭa) 	~?	சாலை (chaalai/saalai) 	വഴി (/ʋaɻi/) 	ಹಾದಿ (hādi)	𓅓 𓂝 𓍿 𓇱, 𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻, 𓅓 𓍿 𓃒  2. 𓍯 𓄿 𓏏 𓈐 , 𓍯 𓏏 𓈐 𓈘  3. 𓂸 𓏏 𓈖 𓈐 𓈇		KASKAL.MEŠ	✓ 𒆜	kasar, dag	<> KASKAL, track		𒆜𒀸 (palsas)	Path <<	harwas 𓉕 𓈘 	road/ways		 	 	 
171	mountain 	മല (/mala/)	Himalaya!	కొండ (koNḍa) 	!?	மலை (malai) 	മല (/mala/), കൊടുമുടി (/koʈumuʈi/) (peak) 	ಪರ್ವತ (parvata)	𓈉 𓏤, 𓈋 𓏤, 𓈋 𓅱 𓊌		el-pi		maš	•mouns		-	𓈎𓄿𓇋𓇋𓈒𓏥𓊎	*ariyattis	(k)aryan!	𓈉 	 	 	 
172	red 		erra.de <> ver:wurm	ఎర్ర (erra) 		சிவப்பு (civappu) 	ചുവപ്പ് (/t͡ʃuʋappɨ̆/), ചെൻ- (/t͡ʃen-/) 	ಕೆಂಪು (kempu)	𓏏 𓄟 𓋴 𓏞 𓏜, 𓍘 𓅓 𓋴 𓏞, 𓍿 𓅓 𓋴 𓏞 𓂧 𓇋 𓏇 𓋳 <> 2. 𓂧 𓈙 𓂋 𓅟				xiisun xiːs-un	chrimson		mitas	<<	-			 	 	 
173	green 	பச்சை (pachai) <> vihreä!	Fresh, vir see Uralic	పచ్చ (pacca) 	?	பச்சை (pachai) 	പച്ച (/pat͡ʃt͡ʃa/) 	ಹಸಿರು (hasiru)	𓎡 𓄿 𓅱, 2. 𓇆 = 𓇅 𓆓 𓏛		hu-la-ap-na		xarr-un	grrün		hahlawanz		hahhaluwantis			 	 	 
174	yellow 	மஞ்சள் (manjal)	man.yellow @mango?	పసుపు (pasupu) 	-?	மஞ்சள் (manjal) 	മഞ്ഞ (/maɲɲa/) 	ಹಳದಿ (haḷadi)	𓈎 𓈖 𓇋 𓇋 𓐏, 𓈎 𓈖 𓇋 𓇋 𓏏 𓏊		hh.šá-ir-nu-ya		puːš-k-un	~ weiss(con)		hahlawanz	hyellow.onth	hahhaluwantis	hue.yellow		 	 	 
175	white 		வெள்ளை (vellai) 	తెల్ల (tella) 	~?	வெள்ளை (vellai) 	വെള്ള (/ʋeɭɭa/), വെളുപ്പ് (/ʋeɭuppɨ̆/), വെണ്‍- (/ʋeɳ-/) 	ಬಿಳಿ (biḷi)	𓌈, 𓌈 𓂂,  𓌈 𓆓 𓇳, 𓎛 𓌈 𓆓 𓇶  1. 𓃀 𓅡 𓄿 𓈎 𓆭  2. 𓊏 𓊪 𓇳, 𓊏 𓊪 𓇶 3. 𓋴 𓈙 𓊪, 𓇳 𓋴 𓈙 𓊪 𓇶				piiun  piː-un ~ piːh-un	bái 白 φαίνω phaínō		harkis	thürkis??	-			 	 	 
176	black 		nulla! కర్రి (karri) 	నల్ల (nalla), కర్రి (karri) 	++	கருப்பு (karuppu) 	കറുപ്പ്‌ (/karuppɨ̆/), കരിം- (/kaɾim-/) 	ಕರಿ (kari)	𓆎 𓅓 𓁸, 𓆎 𓏛 2. 𓐍 𓋴 𓃀 𓆓 𓂂  2b. 𓆓 𓂝 𓌠 𓃀 3. 𓐍  𓐍				ma-un maun	melan		hanzanas, dankuis	dunkel	dakkuīs, marwāy-	dark, marble		 	 	 
177	night 	రేయి (rēyi) రాత్రి (rātri)	(g)ray 𓇳 retreat	రేయి (rēyi), రాత్రి (rātri), మాపు (māpu) 	--	இரவு (iravu) 	രാവ് (/ɾaːʋɨ̆/) 	ರಾತ್ರಿ (rātri), ಇರುಳು (iruḷu)	𓉸, 𓇰, 𓎡𓎡𓇰  2.  𓆼 𓄿 𓅱 𓏮 𓇰  ,  𓐍 𓆼 𓄿 𓅱𓇰, 𓎼 𓂋 𓎛 𓇰  3.  𓅱 𓐍 𓇰  4. 𓏲 𓄿 𓆼 𓇰  5. 𓍑 𓄿 𓅱𓇰		šu-ut-me		nan	~nighn		ispanz		-			 	 	 
178	day (daytime) 	பகல் (pagal)	piel = year!	పగలు (pagalu) 	??	பகல் (pagal) 	പകൽ (/pakal/) 	ಹಗಲು (hagalu)	𓇳 𓏤, 𓋴 𓅱 𓇳 𓏥, 𓋴 𓋴 𓋴 𓅱 𓇳 𓏥, 𓉔 𓂋 𓅱 𓇳 𓏤, 𓊄 𓅱 𓇳 𓏥		na; nan; na-an-me; na-an-na					sīwaz	δaywaz	halli	Hellig ++		 	 	 
179	year 	ஆண்டு (āndu)  యేడు yēḍu ಏಡು (ēḍu) 	𒀭𒌓 anno UTU?	యేడు (yēḍu), యేడాది (yēḍādi), సంవత్సరం (saMvatsaraM) 	++<	ஆண்டு (āndu) 	കൊല്ലം (/kollam/), ആണ്ട് (/aːɳʈɨ̆/) 	ಏಡು (ēḍu)	𓆵𓆶?, 𓆳 𓏏 𓏤, 𓈖 𓂋 𓇋 𓆵 𓇳		bel	<>	saːl	sol@Persian,Luwian,Tajik сол		wīz		ussis	<<		 	 	 
180	warm (as in weather) 	ಬೆಚ್ಚ (becca)	bake besser ;) bulukan@Tungusic	వెచ్చని (veccani) 	ok??	வெதுவெதுப்பு (vedhuvedhuppu) 	ചൂട് (/t͡ʃuːʈɨ̆/) 	ಬೆಚ್ಚ (becca)	𓊮, 𓋴 𓐍 𓅓 𓅓, 𓋴 𓈙 𓅓 𓅓 𓊮, 𓋴 𓂋 𓆑 𓊮, 𓐍 𓅓 𓊮, 𓈙 𓅓 𓅓 𓊮			>	baasun baːs-un	be'sun? beiss? bheiss? ಬೆಚ್ಚ (becca) bake!		ānz		-			 	 	 
181	cold (as in weather) 	ಕುಳಿರು (kuḷir) 	cool చల్లని (callani) < Karib 𓈎 𓃀 𓏂	చల్లని (callani) 	++	குளிர்ச்சி (kuLirchi) 	തണുപ്പ്‌ (/t̪aɳuppɨ̆/), കുളിരുള്ള (/kuɭiɾuɭɭa/) 	ಕುಳಿರು (kuḷiru)	𓈎 𓃀 𓏂, 𓈎 𓃀 𓃀 𓈗, 2. 𓎛 𓋴  , 𓎛 𓎿 𓋴 𓊡				pudeen, pud-eːn	𓃀 𓏂 fridge 		ekunanz	kühl?	-			 	 	 
182	full 	ತುಂಬು (tuṃbu)	tummel	నిండు (niNḍu) 	~+	முழு 	നിറഞ്ഞ (/n̪iraɲɲa/) 	ತುಂಬು (tumbu)	𓏏 𓏏 𓏝, 𓏏 𓅱 𓏏 𓀾 𓏜, 𓎔 𓏛 𓅓		man-da-qa, pu-	✓ puˡˡ	puːra	Sindhi puːroː > phull		suus		-			 	 	 
183	new 	కొత్త (kotta)	cut kadash@SEM cute=young!	కొత్త (kotta) 	++?	புது (puthu) 	പുതിയ (/put̪ija/), പുത്തൻ (/put̪t̪an/), പുതു- (/put̪u-/) 	ಹೊಸ (hosa)	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛, 𓌳 𓄿 𓅱 𓏮 𓏛, 𓌳 𓏏 𓏛		piš	✓✓	 puːs-k-un			nēwas	new++	nāwis	new++		 	 	 
184	old 	ಹಳೆ (haḷe)	vati;) paleo alleé hOld yeary	పాత (pāta) 	ok??	பழைய (pazhaiya) 	പഴയ (/paɻaja/), പണ്ടത്തെ (/paɳʈat̪t̪e/), പഴൻ- (/paɻan-/) 	ಹಳೆ (haḷe)	𓇋𓄿, 𓇋𓄿𓅱𓏏𓀗  1. 𓎡 𓎛 𓎡 𓎛 𓀘  2. 𓇋𓇩 𓋴𓆰 𓏛  3. 𓈖𓐍 𓐍		qa-ra, ru-ru	paɻa ≈ qara gero > ಹಳೆ (haḷe) 				miyahwanz	much mi.year	-			 	 	 
185	good 		null manko	మంచి (manci) 	--	நல்ல (nalla) 	നല്ല (/n̪alla/) 	ಒಳ್ಳೆ (oḷḷe), ನಲ್ (nal)	𓄤, 𓃀 𓄤, 𓃀 𓅱 𓄤 𓆑 𓂋, 𓄤 𓆑 𓂋		ba-ha, ma-ri-ya	మంచి manci(ya)	cat.î,  ʓwaːn	goody, Baluchi ʓwaːn  šar 'good, beautiful' Schwan:weiß		āssus		wāsus	<<<		 	 	 
186	bad 	చెడ్డ (ceḍḍa)	shit;) kakta ≠ gut panne ;)	చెడ్డ (ceḍḍa) 	;)	கெட்ட (ketta) 	കേട് (/keːʈɨ̆/), പന്ന (/panna/) 	ಕೆಟ್ಟ (keṭṭa)	𓃀 𓇋 𓈖 𓅪,  𓈋 𓅪, 𓈋 𓅱 𓅪, 𓈋 𓏴 𓅪 3. 𓃛							idālus		ādduwālis	<<		 	 	 
187	rotten (as, a log) 	చెడిన (ceḍina) 	cede (went?) kuli~black?	కుళ్ళిన (kuḷḷina), చెడిన (ceḍina) 		அழுகிய (azhugiya) 	അഴുകിയ (/aɻukija/), ചീഞ്ഞ (/t͡ʃiːɲɲa/), അളിഞ്ഞ (/aɭiɲɲa/) 	ಕೊಳೆತ (koḷeta)	𓂝 𓍯 𓄿 𓐎  							harranz	Verranzt +++	-			 	 	 
188	dirty 	మురికైన (murikaina), ചീത്ത (/t͡ʃiːt̪t̪a/) , ಕೊಳಕು (koḷaku) 	murky, shitty, coaly	మురికైన (murikaina) 	+++?	அழுக்கான (azhukkāna) 	അഴുക്ക് (/aɻukkɨ̆/), ചീത്ത (/t͡ʃiːt̪t̪a/) 	ಕೊಳಕು (koḷaku)								iskunanz	<> kurz?	-			 	 	 
189	straight 	నేరు (nēru) 	near 𓈖 <> ner = strong!!	నేరు (nēru) 	~!!?	நேர் (nēr) 	നേരെ (/n̪eːɾe/), നേർ- (/n̪eːɾ-/) 	ನೇರ (nēra)	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜,   𓂸 𓏏𓌙 𓌙 𓏜		iš-tur-rák-qa	straighta!!				-		-			 	 	 
190	round 	గుండ్రని (guNḍrani) 	ground.rani	గుండ్రని (guNḍrani) 	~!	உருண்ட 	വട്ടത്തിലുള്ള (/ʋaʈʈat̪t̪iluɭɭa/), ഉരുണ്ട (/uɾuɳʈa/), വട്ടി- (/ʋaʈʈi-/) 	ಗುಂಡು (guṇḍu)	𓂧 𓃀 𓈖 𓂂 𓂻, 𓄲 𓂻, 𓄲 𓈖 𓂻, 𓄷 𓈖 𓂻, 𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤, 𓐪 𓂧 𓏌 𓂻, 𓐪 𓂧 𓏌 𓏛		ir-pi	girp?	gird	@Persian		-		-			 	 	 
191	sharp (as a knife) 			పదునైన (padunaina) 		கூர்மை (koormai)  2.  𓂧 𓐝 𓌪 𓂡	കൂർത്ത (/kuːɾt̪t̪a/)  𓆓 𓏏 𓌪	ಹರಿತ (harita)	𓂧, 𓇮 𓏜, 𓋴 𓊪 𓂧 𓇮, 𓋴 𓇮 𓂧 𓌪   2.  𓂧 𓐝 𓌪 𓂡, 𓅓 𓂠 𓂧 𓊃𓏛, 𓅓 𓂧 𓋴𓌪, 𓆓 𓏏 𓌪, 𓇮 𓏜							alpus		-			 	 	 
192	dull (as a knife) 		mnodty 𓈖𓆓 𓋴 𓅪 mud<>smooth?	మొండి (mōNḍi), మొద్దైన (moddaina)  𓈖𓆓 𓋴 𓅪		மழுங்கிய (mazhungiya)  𓈖𓆓 𓋴 𓅪	 () 	ಮೊಂಡ (moṇḍa)	𓅪, 𓈖𓆓 𓋴 𓅪							alpanz		-			 	 	 
193	smooth 	నున్నని (nunnani) 	𓈖 𓂝 𓂝 𓏞 𓏛  ONO	నున్నని (nunnani) 	OK??	வழுவழுப்பு (vazhuvazhuppu) 	മിനുസ്സമുള്ള (/minus̪s̪amuɭɭa/) 	ನುಣ್ಣಗೆ (nuṇṇage)	𓋴𓈖𓂝 𓂝 𓏞 𓏛, 𓋴𓌢 𓂝 𓂝, 𓈖 𓂝 𓂝 𓏞 𓏛, 𓇋 𓂧 𓄿, 𓏞 𓏛							mius	(s)mius !	-			 	 	 
194	wet 	ಒದ್ದೆ (odde) 	woedde wet √Water > Oder	తడి (taḍi) 	~++	ஈரமான (eeramāna) 	നനഞ്ഞ (/n̪anaɲɲa/), ഈർപ്പമുള്ള (/iːɾppamuɭɭa/), ഈറൻ (/iːran/) 	ಒದ್ದೆ (odde)	𓈖 𓊪 𓅯 𓈗				paalun			hurniyanz		-			 	 	 
195	dry (adjective) 	పొడి (poḍi)	𓃀 Water-a 𓇶 photo ;) 	పొడి (poḍi), ఎండు (ēMḍu) 		உலர்ந்த (ularntha) 	ഉണങ്ങിയ (/uɳaŋŋija/), ഉണക്ക- (/uɳakka-/) 	ಒಣ (oṇa)	𓋴 𓆄 𓅱𓇳, 𓆄 𓅱𓇳, 𓋴𓏲 𓈙 𓂋 𓇳, 𓅱𓈙 𓂋 𓇳, 𓋴𓏲 𓈙 𓂋 𓇳, 𓇶,  5. 𓐍 𓅓 𓊡		*zit, zí-ti-qa		baarun	barren		hātanz		-			 	 	 
196	right (correct) 	சரி (sari)	sa’right straight	సరైన (saraina) 	!?	சரி (sari) 	ശരി (/ɕaɾi/) 	ಸರಿ (sari)	𓆄, 𓁦, 𓆄𓆄 𓏏 𓏤, 𓌷 𓂝 𓏏𓆄 𓏛 𓏥		išturraka	> ಸರಿ sari.que			√ ˢāra sari	āra	allright	-			 	 	 
197	near 	దగ్గర (daggara) 	𓏏 𓎡 𓈖 𓂻 <> dagegen PSM 𓐍 𓂋 xuɽk 1/gɔrɔ	దగ్గర (daggara) 	++	அருகில் (Arugil), கிட்ட (kiTTa) 	അടുത്ത് (/aʈut̪t̪ɨ̆/), അരികെ (/aɾike/) 	ಹತ್ತಿರ (hattira)	1. 𓐍 𓂋  2.  𓂋 𓉔 𓅱𓏥, 𓂋 𓏤 𓂝 𓏤,  3. 𓍚 𓅱𓂻 𓆑  4. 𓏏 𓎡 𓈖𓂻		kanna	 	keeb, xuɽk!	𓐍 𓂋		manninkuwanz		-			 	 	 
