№	English					
176	black	𓆎 𓏛		black	Kamenzer	
176	black	𓆎 𓏛		black	Chemnitz	
176	black	𓆓 𓂝 𓌠 𓃀		coal - black	shieam' = khem / काला श्याम kala shieam = color khem PIE +++ / scot = dark!	
176	black	𓆓 𓂝 𓌠 𓃀		coal - black	shieamb = khem / काला श्याम kala shieam = color khem PIE +++ / scot = dark!	
176	black	𓈖𓂋𓐍𓅓		~noir:black-fear		
176	black	𓈖𓂋𓐍𓅓		nMoor~noir:black-fear vs	?? / ¬ flee: naufara ~ fe'ar / ~ village kâphâr kaw-fawr'  / ¬ Al Phebzaar الفزع ~ fe'ar ~ phοbe ~~~ / ¬ ח ה pachdâh pakh-daw' / metuo, timeo	
176	black	𓈖𓂋𓐍𓅓		~noir:black-fear		
176	black	𓌻 𓁷		black stork	Hork Hark Hawk / tar.ob 	
176	black	𓎼 𓅓 𓏏		black ibis	gmt~chem:black	
176	black	𓐍  𓐍		ballacK:block blue-black		
176	black	𓐍 𓋴𓃀 𓂧 𓈒 𓏥		blue, blue-black 		
176	black	𓐍 𓋴𓃀 𓆓 𓂂		blue, blue-black 		
177	night	𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
177	night	𓅓 𓋴𓎝 𓎡 𓏏𓏏		night-barque 		
177	night	𓅓 𓋴𓎡 𓏏𓏏𓊞		night-barque 	Fähre-sKutter	
177	night	𓅱𓐍 𓇰		night	wmnight ! ~ µnigher µnikhtair / unk.air OK^^ / ⇔ Wache ⇔ Wu... / ⇔ Ankr angr / KMER = DARK = χμηρ = χmer = Schummer Schimmer ⇔ Kummer / ←?>	
177	night	𓅱𓐍 𓇰		night	hnight ! / µKhmer!	
177	night	𓅱𓐍 𓇰		night	µnight ++ / hnacht ++ / µnkh ⇔ Mönch, moon++, menace	
177	night	𓆼 𓄿 𓅱𓏮 𓇰		night	tar* dark@Pers ! ++	
177	night	𓆼 𓄿 𓅱𓏮 𓇰		night	LAILAUN / LEYLUN ARAB!/SEMITIC lAIrLAUN !! ++--+++	
177	night	𓆼 𓄿 𓅱𓏮 𓇰		night	Grau	
177	night	𓇰		night	lairlaun ® / Mohn ⇔ ⇔ Moon / Loon / Lun	
177	night	𓈙 𓋴𓐟 𓄿 𓄃 𓏏𓇰		nightfall, night sky	schun-shät / schalter __ ←  / spyer tit / Späher ⇔ spät?	
177	night	𓈙𓅓  𒄷   𒈪    🎜		SuMa MuSa 𒄷 Musik +++ 𒈪 mūšu=night Musen = 🎜 birds	zimmern Kammer-Musik / Jammer ⇔ Jam++ / Zumdarassabum -- / ⇔ mezmur, klezmer, mesmerize ! / shmosi-zieren / smooth ⇔ schmusen / zamar+gamar:Zigeuner? --	
177	night	𓉸		night		
177	night	𓊃𓈙 𓇋𓇋𓏏𓇰 𓇳		nightfall, night sky	syn-šyt / sun-set	
177	night	𓊃𓎡 𓏏𓏏𓊛		night-barque 	escort vs / Scotty? ! ←	
177	night	𓋴𓆼 𓄿 𓇰		© spend the night	schlaf, sleep / ⇔ Schlafmohn?? xlailune !?	
177	night	𓋴𓇥 𓂋		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
177	night	𓋴𓇥 𓂋 𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	snore ⇔ stauer!? / churt چورت nap /  short snoret +++ --EN	
177	night	𓋴𓈙 𓄃 𓏏𓇼		nightfall, night sky	šet? ⇔ Seth !? / shut-star / shooting-star	
177	night	𓋴𓎝 𓎡 𓏏𓏏𓊛		night - barque 		
177	night	𓋴𓏲 𓐍 𓇰		© spend the night	sunk / s'unk ⇔ staur  /  unktaur ← / ⇔ unktauer night :	
177	night	𓍑 𓄿 𓅱𓇰		night	vs lailaun ← / serenade! serenight serenus ‎ ⇔ +++++++=	
177	night	𓍑 𓄿 𓅱𓇰		night	Zaire ← sire Zeit / fire-hour? Feierstunde? fairen / PhoiNix black night? no-photo / ZA: serenade! serenight serenus ‎ ⇔ +++++++= / _NaiD : night ⇔ nai.qt quiet +++ ⇔ nit da dark! / νύξ nύx nux noche Nacht nyx night IT vs DE/EN VS laila=night@SEM. 	
177	night	𓎼 𓂋 𓎛 𓇰		night	gray ⇔ dark khem⇔ quiet	
177	night	𓎼 𓂋 𓎛 𓇰		night	gray / ⇔ dark khim bahim ⇔ / kash⇔hush,kuscheln,kaspian:dark-blue / ←!!!!>	
177	night	𓏲 𓄿 𓆼 𓇰		night	hnaiχλ ⇔ Nyx, Nächtle / KHM KMER = DARK = χμηρ = χmer = Schummer Schimmer ⇔ Kummer	
177	night	𓐍 𓆼 𓄿 𓅱𓇰		night	kilailun χίλιοιn~Schläfe	
178	day	𓁶 𓏤 𓇳 𓎆		ten - day 'week'	Pera-ten? ← sabotaged word / Vorraten / Verraten! / 3*! / Phre➙Whore->Woche!?	
178	day	𓂝 𓂋 𓈎 𓇋𓇋𓍼 𓏤		last day of the month		
178	day	𓂝 𓂋 𓈎 𓉲 𓇳		last day of the month		
178	day	𓂝 𓍼 𓇋𓇋𓇳		last day of the month	a-Ziera / ~ Orgia	
178	day	𓄋 𓊪𓏏𓆳 𓏏𓏤		New Year's day 	Haupt-Jährt / Koppt-Jährt	
178	day	𓅓 𓂝 𓈖𓆓 𓅱𓏏𓊞		day barque 	fregatten Schüphth	
178	day	𓅓 𓎚 𓂧 𓏏		day - barque 		
178	day	𓅓 𓎚 𓏏𓊞		day - barque 	fr-edga-t fregatte ++	
178	day	𓅓 𓏏𓊞		day barque 		
178	day	𓅨 𓂋 𓈙 𓇳		spend the day, spend one's time, spend much time, wake, be awake	ver-schura / wachen	
178	day	𓇋𓇋𓇳		last day of the month	findra ⇔ fin / papyriform column	
178	day	𓇳 𓏤		day, daytime	sun / ray / day?	
178	day	𓉔 𓂋 𓅱𓇳 𓏤		day, daytime		
178	day	𓉔 𓂋 𓅱𓇳 𓏤 𓄤 𓂋 𓆑		holiday, happy day	houry.days	
178	day	𓉔 𓂋 𓅱𓇳 𓏤 𓄤 𓆑 𓂋		holiday, happy day		
178	day	𓊃𓊪𓊗		 times, twice	zoi ⇔ zwei tzoimes	
178	day	𓊄 𓅱𓇳 𓏥		day, dates 		
178	day	𓋴𓅱𓇳 𓏥		day, dates 	 shoura sura sutra zeitraum swoche swendra	
178	day	𓋴𓋴𓋴𓅱𓇳 𓏥		day, dates 	Ssstundra?	
178	day	𓋴𓌢 𓈖𓏏𓏥 𓏥 𓏐 𓏗 𓏊		festival of the 6th day of lunar month		
178	day	𓋴𓏏𓏮 𓐎 𓂋 𓏤		mid - day meal   }	stuper	
178	day	𓌢 𓈖𓏏𓏐 𓏊 𓏒 𓏥		festival of the 6th day of lunar month		
178	day	𓍼 𓇋𓇋𓇳		last day of the month	ziehi ←?	
178	day	𓍼 𓈎 𓇋𓇋𓇳		last day of the month		
178	day	𓎙 𓏏𓊞		day - barque 	fregatt	
178	day	𓏇 𓈖𓏇 𓌴 𓏏		anew this day		
178	day	𓏥 𓏥 𓈖𓏏𓎲		festival of the 6th day of lunar month		
178	day	𓏶 𓅓 𓏮 𓉔 𓂋 𓏲 𓇳 𓏤 𓆑		sentry, who is on duty for the day	im	
179	year	𓆳 𓆳 𓆑 𓇳		last year		
179	year	𓆳 𓏏𓊗		regnal year	JahrTime	
179	year	𓆳 𓏏𓏤		year		
179	year	𓈖𓂋 𓇋𓆵 𓇳		time, return of the year	neuere Jahre ++ / new year / neur itYeaRaSun  ++++++++++++++++++++++++	
179	year	𓏅 𓈖𓏏𓄡 𓍘 𓏮 𓅆		eleventh month of year		
179	year	𓐍 𓈖𓇓𓅱𓅆		Moon-god Khonsu, tenth month of the year	Consul vs Monthy	
180	warm	𓈙 𓅓 𓅓 𓊮		be warm, hot, have fever, become feverish		
180	warm	𓊮		be warm, hot, have fever, become feverish		
180	warm	𓊮		warm, warmth, temperature, inflammation, fever, mood	phyur~phyvr +++ / fever / R Temple Furniture and Emblems	
180	warm	𓊮		be warm, hot, have fever, become feverish		
180	warm	𓊮		warm, warmth, temperature, inflammation, fever, mood	phyur~phyvr +++ / fever	
180	warm	𓋴𓂋 𓆑 𓊮	charm	warm, warmth, temperature, inflammation, fever, mood	← / ?	
180	warm	𓋴𓂋 𓆑 𓊮 𓏜		warm, warmth, temperature, inflammation, fever, mood		
180	warm	𓋴𓈙 𓅓 𓅓 𓊮		© warm , heat 		
180	warm	𓋴𓐍 𓅓 𓅓		© make warm	← charm hhmm@ARAB	
180	warm	𓋴𓐍 𓅓 𓅓		© make warm		
180	warm	𓐍 𓅓 𓊮		warm	greinen	
181	cold	𓈎 𓁺		cold water	aqua ++	
181	cold	𓈎 𓃀 𓃀		 cool, cold, cooling , calm, quiet, be purified, take one's ease		
181	cold	𓈎 𓃀 𓃀 𓈗		 cool, cold		
181	cold	𓈎 𓃀 𓃀 𓏂 𓈗		 cool, cold,		
181	cold	𓈎 𓃀 𓃀 𓏂 𓏏𓈗		cold water		
181	cold	𓈎 𓃀 𓎛 𓅱𓏁 𓈗		cold water		
181	cold	𓈎 𓃀 𓎛 𓅱𓏂		cold water		
181	cold	𓈎 𓃀 𓎛 𓎯		cold water	cool / aqvaH aqua +++ / quvr ⇔ cool, kühl, Kübel  QED / Quber ⇔ Kübel ++ / coopher cool-fair? / Kuba? /	
181	cold	𓈎 𓃀 𓏂		cold	quvl +++ ENDE ⇔ kühl, Kübel / 	
181	cold	𓎛 𓋴		be cold		
181	cold	𓎛 𓋴		be cold	¬heiß : eis ← --	
181	cold	𓎛 𓎿 𓋴𓊡		be cold 	hr*s <> hoarse	
181	cold	𓏜		cool, cold 	anci~ice 	
181	cold	𓏂 𓈗		cold water	⇔ qubu ~ cool	
182	full	𓎔 𓏛 𓅓		full measure	full m. 	
182	full	𓏏𓏏𓏝		full, entire	tout / total +	
182	full	𓏏𓅱𓏏𓀾 𓏜		be pleased, assembled, united, be in accord, full, entire, complete	tout! +++ FR complet! ← +++	
182	full	𓏲 𓆼 𓄿 𓊡		full blast  ?	un_a	
183	new	𓌳 𓄿 𓅱𓏮 𓏛		 new, be renewed	nauy = new, neu	
183	new	𓈖𓌳 𓄿 𓅱𓏏𓏛		 new		
183	new	𓌳 𓏏𓏛		a new thing 	:news	
184	old	𓂜 𓇋𓇋		old negative particle	ney+ nay+ nil nulli	
184	old	𓇋𓄿		old 	vhIER / HIER ! Heros Hirten:Fährten +++ ViehHerden ++	
184	old	𓇋𓄿 𓅱𓏏𓀗		old age	hierwos yeared	
184	old	𓇋𓇩 𓋴𓆰 𓏛		old, ancient	ANCIent	
184	old	𓈖𓐍 𓐍		be old, old age	_______ / niage™ ⇔ nacht nioxe 年迈 niánmài / niggard / neighe~vielle-- / nix / n-ku-ku-qu-arier  / nan hard male ⇔ bull / ⇔	
184	old	𓌃 𓀘 𓀀		staff of old age 	ward ⇔ words EN++ / mast ⇔ mots / staff ⇔ stuff	
184	old	𓍿𓈖𓇋𓀘		old man		
184	old	𓍿𓈖𓇋𓀘		old man, elder	δyni / ⇔ cyniker, gonie	
184	old	𓎡		schinden++ OK old cup = Tasse / pun	senken / sengen / ←shanken schinken schinbein? / https://en.wiktionary.org/wiki/Appendix:English_autological_terms#Depending_on_context	
184	old	𓎡 𓎛 𓎡 𓎛 𓀘		become old	ger-ger hier-hier / cheiro=need a hand?	
184	old	𓏏𓈖𓇋𓀘		old age	senior / seni'l	
185	good	𓃀 𓄤		good	bien / bon / budha / vs bheart = bad : / blieb?	
185	good	𓃀 𓅱𓄤 𓆑 𓂋		good, goodness		
185	good	𓃀 𓇋𓈞 𓄑 𓀁		good deed 	bien deent	
185	good	𓄤		good, beautiful etc 	 ɠut / gute ➙ good / cute	
185	good	𓄤 𓂋 𓏏		good things	heart-	
185	good	𓄤 𓆑 𓂋		good		
185	good	𓊹 𓄤		the good god		
186	bad	𓂝 𓍯 𓄿 𓐎	rot	go bad, rot	'rot / orouer ⇔ erodiern?	
186	bad	𓃀 𓇋𓈖𓅪		 bad, evil   bane = ruin		
186	bad	𓃛		sic: evil vs bin=bad		
186	bad	𓈋 𓅪		 bad, evil, sad   *vål	[e]vale : valley	
186	bad	𓈋 𓅱𓅪		 bad, evil, sad   -vål		
186	bad	𓈋 𓏴 𓅪		 bad, evil, sad   -vål		
186	bad	𓈖		NO: -- beD wegen bad/bath/waTer ? --		
186	bad	𓈖𓃀 𓂧 𓅱𓁸 𓈓 𓐪 𓂧 𓂂 𓏜 𓌙 𓏥 𓀀		those of bad character	_an_ BAD posture	
186	bad	𓋴𓂝 𓍯 𓄿 𓐎		© cause to go bad	thrower? / Europa	
186	bad	𓎛 𓄿 𓂝 𓏤 𓃀 𓀜		a bad quality	hiero bad / herab- herb	
186	bad	𓏏		bad / bent / evilƒ		
187	rotten					
188	dirty					
189	straight	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜		precise, accurate, go straight forward, progress,		
189	straight	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜		stright-dealing, straight- forwardness		
189	straight	𓂝 𓈎 𓄿 𓇋𓇋𓂭 𓂭 𓏜		a straight-dealer	accurate / ←?>	
189	straight	𓂸 𓏏𓌙 𓌙 𓏜		straight, precise	straight stratum / ⇔    accurate / maqtywac meduiac מדויק +++ ⇔ מד matter! vs tyw ! / exactly ⇔ echt ⇔ recht ⇔ straight! / ←!>	
189	straight	𓂸 𓏏𓌙 𓌙 𓏜		straight, precise		
189	straight	𓅓 𓂧 𓃹 𓈖𓂻		straight on		
190	round	𓂧 𓃀 𓈖𓂂 𓂻		go round , travel round 	drobænor / δοιπορon @ GR ++ -- !! ? / trabail ⇔ travaill ++ FR / ⇔ beeilen / ⇔ ὁδεύ Oden ! / ⇔ ἐμπορεύο emporon ⇔ empire?	
190	round	𓄲 𓂻		go round , travel round 	törn	
190	round	𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤		go round about four times	turn-ir-ei-vier / Tournier-Eifer / turn-hier--vier	
190	round	𓄲 𓈖𓂻		go round , travel round , encircle 	Törn	
190	round	𓄷 𓈖𓂻		go round , travel round 		
190	round	𓐪 𓂧 𓏌𓂻		go round		
190	round	𓐪 𓂧 𓏌𓏛		go round		
191	sharp	𓅓 𓂠 𓂧 𓊃𓏛		sharp , acute , forceful 	 ^^?	
191	sharp	𓂧		be sharp, sharpen, pierce 	cheiro ➙ sharp	
191	sharp	𓂧 𓅓 𓌪		be sharp, sharpen, pierce 	de'Messer / chierper ⇔ sharp, schärfer++ sharpen	
191	sharp	𓂧 𓐝 𓌪 𓂡		be sharp	shpart : sharp / chaff+pr=sharp	
191	sharp	𓂧𓇮		shoeirpi CHEIR+Pik ➙ sharp		
191	sharp	𓅓 𓂠 𓂧 𓊃𓏛		sharp , acute , forceful 		
191	sharp	𓅓 𓂧 𓋴𓌪		sharp , acute , forceful 		
191	sharp	𓆓𓏏𓌪		shabt : sharp		
191	sharp	𓇮 𓏜		 sharp, effective, skilled	spitz ~ sharp / capt capable	
191	sharp	𓈖𓊪𓆓 𓏏𓌪		←??> sharp knife		
191	sharp	𓈖𓊪𓆓 𓏏𓌪		sharp knife	nph⇔knife	
191	sharp	𓋴𓇮 𓂧 𓌪		 sharp, effective, skilled	sharpth	
191	sharp	𓋴𓊪𓂧 𓇮		 sharp, effective, skilled		
192	dull	𓅪		dim , dull , poor  -vål	voll! / full!	
192	dull	𓈖𓆓 𓋴𓅪		little / small , dim , dull , poor ,   -vål		
193	smooth	𓇋𓂧 𓄿		smooth	feder- / adaar sounds arabic	
193	smooth	𓈖𓂝 𓂝 𓏞 𓏛		smooth, undecorated, smoothness , mix smoothly	moother ++-+	
193	smooth	𓋴𓈖𓂝 𓂝 𓏞 𓏛		© make smooth, polish	smoother +++	
193	smooth	𓋴𓌢 𓂝 𓂝		© make smooth, polish		
193	smooth	𓋴𓏏𓅱𓏏𓀾 𓏜		© resemble, smooth over, make over, praise 		
193	smooth	𓏞 𓏛		© make smooth, polish	schmirgeln! / oother	
194	wet	𓂋 𓈖𓈖𓏏		-nurse  D	rennt /	
194	wet	𓈖𓊪𓅯 𓈗		be wet	 nass <> nwather wet	
194	wet	𓈖𓊪𓅯 𓈗		be wet		
195	dry	𓅱𓈙 𓂋 𓇳		dry up, be barron, be despoiled	⇔ Mosel? F***n mösle	
195	dry	𓆄 𓅱𓇳		dry, dried		
195	dry	𓇶		dry, dried	dray	
195	dry	𓈖𓇉 𓄿 𓐎 𓈖𓇋𓂋 𓈖𓊌		dry rock ?	Nirpain-Nierenstein	
195	dry	𓋴𓆄 𓅱𓇳		© dry 	shun : sonnen	
195	dry	𓋴𓈙 𓂋 𓇳		© dry, dry up		
195	dry	𓋴𓈙 𓂋 𓇶		© dry, dry up		
195	dry	𓋴𓏲 𓈙 𓂋 𓇳		© dry	sunδry / alles sutscher ++-	
195	dry	𓎸 𓁐		 - nurse	Kinderella / Kinda-guard?	
195	dry	𓐍 𓅓 𓊡		be dry	greinen? 	
196	right	𓁦	Ma'at	right - doing, righteousness	mwahrheit maath, madar: order @P	
196	right	𓅆 𓏏𓏮		right 	West / Westen-Tasche / imnu yamina yamino right hand ⇔ West!!	
196	right	𓆄		right - doing, righteousness	Shui ⇔ Justice	
196	right	𓆄 𓏏𓏤		right - doing, righteousness	ju'ti	
196	right	𓇋𓏠 𓈖𓊿		right , right - side, the West	amena yamiyn@HEB! / ⇔Armenians Ammun Jasmin Amun ! Eye-min : moon vs sun !?!?! ←,	
196	right	𓊃𓂋 𓅱𓂧 𓌗		© make secure, provide, set right , fulfil 		
196	right	𓊿		right , right - side, the West		
196	right	𓋀 𓂢		right - hand side, right, right side of		
196	right	𓋀 𓅓 𓂢		right hand side, right, right side of		
196	right	𓋀 𓅓 𓏮 𓂢		right hand, right side of, right		
196	right	𓋀 𓏏𓏮 𓈉		right , western, the West		
196	right	𓋀 𓏤		right , right side, the west	Westen Taschen Seite	
196	right	𓋴𓂋 𓅱𓌗 𓏛		© make secure, provide, set right , fulfil 		
196	right	𓋴𓂋 𓆓 𓎗 𓌗		© make secure, provide, set right , fulfil 	s*rdsh sridj se'rightsh ←	
196	right	𓋴𓂋 𓌌 𓌗 𓏛		© make secure, provide, set right , fulfil 		
196	right	𓋴𓂋 𓌗		© make secure, provide, set right , fulfil 		
196	right	𓋴𓌗 𓂋 𓎗 𓅱𓆓 𓏛		© make secure, provide, set right , fulfil 		
196	right	𓌷 𓂝 𓏏𓆄 𓏛 𓏥		 truth, right-doing, righteousness, justice, rightness, orderly management		
196	right	𓍼𓈎𓀁		aƥoδειxις apo.deixis = a'be.zeugnis δειx=zeig=! dex=right		
197	near	𓂋 𓉔 𓅱𓏥		near	à home / ar huus	
197	near	𓂋 𓏤 𓂝 𓏤		end, limit, beside, near		
197	near	𓂋 𓏤 𓂝 𓏤		end, limit, beside, near		
197	near	𓈎 𓂋 𓇋𓂾 𓂻		draw near, attend 	creep / carry / courier	
197	near	𓈳		 Per-Bastet  Tell Bastah  Prince of the South		
197	near	𓍚 𓅱𓂻 𓆑		near him	polonir	
197	near	𓏏𓎡 𓈖𓂻		be near, approach, draw near, attack , border 	decken / attacken	
197	near	𓐍 𓂋		 with, near, under , speak , by ,	 care	
198	far	𓂋 𓏠 𓈖𓏛 𓅓		as far as	ar menter far	
198	far	𓄖 𓄖 𓄖 𓈞 𓈞 𓈞		the far north	beik-brinorth ←	
198	far	𓄖 𓅱𓅂		the far north	Hohen Angeln  / Achtern Angeln ++ / Bactria	
198	far	𓅠 𓅓 𓎛 𓁹 𓍯 𓄿 𓈐		far - sighted, perspicaceous	 	
198	far	𓆷 𓄿 𓂝 𓏛 𓅱𓏜		as far as	'spar en➙ as far as  ? !!	
198	far	𓈐		far , long ago, for a long time past, go		
198	far	𓈞 𓈞 𓈞		the far north	Urheimat? / Hamas, Homs / Hahnen-Land? / Hinten! / brüNorth? / ← ! ⇔	
198	far	𓉔 𓃀 𓍁 𓂻 𓄣 𓏤		far-ranging of desire ?		
198	far	𓊪𓆓 𓌒 𓁷 𓏤		unwrinkled, far - sighted, prescient	push up / ??	
198	far	𓍯 𓄿 𓀜		far , long ago, for a long time past, go	roa' rachowq@SEM ++ / roga ➙ go! / gero ➙ hiero	
198	far	𓍯 𓄿 𓈐		far , long ago, for a long time past, go	rachiyq / rachowq @HEB ++ 'roady' / ruku rikhqa rahuqo distance, far / reach'ing / rad ready / raqa@Assyr escape vs throw ⇔ Rache ⇔ Schreck!?	
198	far	𓍯 𓈐		far , long ago, for a long time past, go	ro-pass / hiero-pass / yearo-passed! / ⇔ / Europa!?!	
198	far	𓎛 𓁷 𓂋 𓈐		be far 		
199	right	𓁦	Ma'at	right - doing, righteousness	mwahrheit maath, madar: order @P	
199	right	𓅆 𓏏𓏮		right 	West / Westen-Tasche / imnu yamina yamino right hand ⇔ West!!	
199	right	𓆄		right - doing, righteousness	Shui ⇔ Justice	
199	right	𓆄 𓏏𓏤		right - doing, righteousness	ju'ti	
199	right	𓇋𓏠 𓈖𓊿		right , right - side, the West	amena yamiyn@HEB! / ⇔Armenians Ammun Jasmin Amun ! Eye-min : moon vs sun !?!?! ←,	
199	right	𓊃𓂋 𓅱𓂧 𓌗		© make secure, provide, set right , fulfil 		
199	right	𓊿		right , right - side, the West		
199	right	𓋀 𓂢		right - hand side, right, right side of		
199	right	𓋀 𓅓 𓂢		right hand side, right, right side of		
199	right	𓋀 𓅓 𓏮 𓂢		right hand, right side of, right		
199	right	𓋀 𓏏𓏮 𓈉		right , western, the West		
199	right	𓋀 𓏤		right , right side, the west	Westen Taschen Seite	
199	right	𓋴𓂋 𓅱𓌗 𓏛		© make secure, provide, set right , fulfil 		
199	right	𓋴𓂋 𓆓 𓎗 𓌗		© make secure, provide, set right , fulfil 	s*rdsh sridj se'rightsh ←	
199	right	𓋴𓂋 𓌌 𓌗 𓏛		© make secure, provide, set right , fulfil 		
199	right	𓋴𓂋 𓌗		© make secure, provide, set right , fulfil 		
199	right	𓋴𓌗 𓂋 𓎗 𓅱𓆓 𓏛		© make secure, provide, set right , fulfil 		
199	right	𓌷 𓂝 𓏏𓆄 𓏛 𓏥		 truth, right-doing, righteousness, justice, rightness, orderly management		
199	right	𓍼𓈎𓀁		aƥoδειxις apo.deixis = a'be.zeugnis δειx=zeig=! dex=right		
200	left	𓊃𓊪𓊗		remain over, be left out, excluded, abandoned	spare ++ / zerfall --	
200	left	𓊃𓊪𓊗		remain over, be left out, excluded, abandoned	das zuvor	
200	left	𓊃𓊪𓊗 𓏜		remain over, be left out, excluded, abandoned	zoi ⇔ sous ← / summa / zusamm / ←	
200	left	𓊖 𓏏𓏤 𓇯 𓆗		lower heaven  t Ortho ??? R➙L Right to left proof!!		
200	left	𓊡		eastair/ levant left-wind		
200	left	𓋁		left , east, eastern, the left side of	leva*	
200	left	𓋁 𓃀		left , east, eastern, the left side of	levhant @ Levante Libanon ⇔ *lebgon? / Leavtel	
200	left	𓋁 𓃀 𓏏𓏮		east, eastern, left-hand		
200	left	𓋁 𓃀 𓏏𓏮 𓈇		left - hand		
200	left	𓋁 𓃀 𓏮 𓂢		left , east, eastern, left-side of		
200	left	𓍋 𓃀 𓏮 𓂢		left , east, eastern, the left side of		
200	left	𓏏𓋁 𓏮		east, eastern, left - hand, the East	east / eastern	
201	at	𓁷 𓂋		National shrine of Upper Egypt at }		
201	at	𓁷 𓏤		 upon, in, at, from, on account of, concerning, through, and, having on it, because		
201	at	𓂋		 to, at, concerning, more than, from	ar	
201	at	𓂋 𓇋𓏏𓂋 𓆵 𓏥 𓇳 𓆑		at his  times	Ritter Jahre sin / gen	
201	at	𓂋 𓈖𓍇 𓏌𓅱𓇳		at the proper time	"rn.tz.ur*n / ""earn zu urn"" / ""Eren zu Uhren"" / urura ~ 'Uhre' ~ hour"	
201	at	𓂋 𓊃𓈐		quite, entirely, at all	res-pass / rezervas / ⇔ Reise !!? / Reisepass /	
201	at	𓂋 𓋴𓋴		quite, entirely, at all	regg / ress / arses	
201	at	𓂋 𓋴𓋴		quite, entirely, at all	rest, der Rest ++++ EN/DE	
201	at	𓂋 𓏤 𓋴𓏮 𓈐		quite, entirely, at all		
201	at	𓂧 𓎼 𓁹		look 	duqei Heb++  !! ++ II : / δeigher ~ sehen, zeigen! ++ GOTH / gaiern / gaffen / geifern	
201	at	𓂧 𓎼 𓄿 𓁺		look    }		
201	at	𓂭 𓂝 𓀁		point the finger 	point ar	
201	at	𓃀 𓇋𓄿 𓇋𓇋		wonder, marvel 	bhiery ~ bee-hiery fairy ? / biery	
201	at	𓃀 𓇋𓇋𓍄 𓏛		wonder, marvel 		
201	at	𓃀 𓇋𓇋𓏏𓍄		wonder, marvel 	byten / bütten ⇔ beten ⇔ prebytan	
201	at	𓃃 𓂻		reach, arrive at, land , tread , go to 	areave / arrive	
201	at	𓃃 𓏜		reach, arrive at, land , tread , go to 	arrive	
201	at	𓄖 𓏏𓂋		ending at	heckend ar	
201	at	𓄝 𓏏𓁹		stare, stare at	shteyarro=stare++ ⇔ stereo? stare-aux ...	
201	at	𓄝 𓏏𓁹 𓌕		stare, stare at		
201	at	𓄤 Ḫ		Ḫat ➙ ɠut		
201	at	𓄥 𓄿 𓏛		land   W	land / summ-ter?	
201	at	𓄥 𓄿 𓏛 𓇾		unite , land , be interred , interment	länter / landen / sämter / summon	
201	at	𓅓 𓄚 𓈖𓏌𓅱𓉐		within, at, in the house of		
201	at	𓅓 𓍚 𓅱𓂻		at the approach of 	for chasen / vergessen  / vorkassener	
201	at	𓅓 𓏠 𓈖𓏛		at the fixed rate of	im main	
201	at	𓅓 𓐟 𓏤		at the back of, following after, having charge of, wearing 	im back / at bay / im Rückhalt - / wearing  lOl?? / ⇔‘follower’  and ‘followee’  ?	
201	at	𓅠 𓅓 𓎛 𓁹		catch sight of, espy, look 	Fänger / fangern / fangen	
201	at	𓏏𓈖𓇑𓇑𓈖𓏏𓉐		sanctuary at Memphis	~sanctuary	
201	at	𓅱𓏤 𓈇 𓊪𓈎 𓇋𓊖		district of Peker 	Meuter Phoqueur ... ? / Peker OK	
201	at	𓇋𓂋		to, at, concerning, more than, so that, until, according as		
201	at	𓇋𓈙 𓃭 𓊖		the precinct of Mut at Karnak , water meadow		
201	at	𓇋𓈙 𓃭 𓊖		the precinct of Mut at Karnak , water meadow	←?>	
201	at	𓇥 𓂋		 at an end	rear / ⇔corner / ⇔kern / ⇔kurn : keh @ P	
201	at	𓈖𓃹 𓈖		dishevel, be dishevelled, pull   C ?	an-ha'n / an-Haaren	
201	at	𓈖𓇬 𓈖		dishevel, be dishevelled, pull 		
201	at	𓈖𓊃𓊪𓊗		together, at once	in-zoit / an zufai ⇔ ll:i / an zufall	
201	at	𓈖𓌴 𓁹 𓅱𓏥 𓆑		at the sight of him		
201	at	𓉐 𓏌𓉐		National Shrine of Lower Egypt at Dep		
201	at	𓉐 𓏌𓉮		National shrine of Lower Egypt at Dep	Pure	
201	at	𓉐 𓏤 𓅨 𓂋 𓉐 𓏤		National Shrine of Upper Egypt at El-Kab	Big House	
201	at	𓉐 𓏤 𓈖𓊃𓂋 𓉮		National shrine of Lower Egypt at Pe		
201	at	𓉐 𓏤 𓈖𓊃𓂋 𓊮 𓉐		National Shrine of Lower Egypt at Pe		
201	at	𓉔 𓂋 𓀁		be quiet, at peace		
201	at	𓉔 𓂋 𓏛		 be pleased, satisfied, content, be quiet, at peace		
201	at	𓉗 𓋞		Mansion of Gold 		
201	at	𓉗 𓋞 𓈒 𓏥		Mansion of Gold , alabaster quarries , sculptor's workshop	Hut Nobis	
201	at	𓊪𓈎 𓂋 𓊖		precinct of Osiris at Abydos	phon.kur	
201	at	𓊪𓈎 𓂋 𓊖		precinct of Osiris at Abydos		
201	at	𓊪𓈖𓈎 𓂝		bail out , swab up , poke , expend 		
