427	BENEFIT	пайда	pəɪ̆də	pro…	ақьар	ɑkʰʲer		ხეირი	xɛiri	chère 𓐍𓏏𓏛𓏥 	օգուտ	ɔkʰut	agade akut gut <> akurat	
428	WEALTH	хьал	ʜəl	Heil ʜəlth	абеиара	ɑb ɛi ɑrɑ	a pora	სიმდიდრე	simdidrɛ	𓀼𓋴𓊃𓈓 sym.dider 𓂞 cym.didr 𓐍𓂧𓊋	հարստություն	hɑɾstutʰjun		
429	WORLD	дуьне	dyne	<<<	адунеи	ɑdunɛi	a dan << 弹	მსოფლიო	msɔpʰliɔ	ma.sophila?	աշխարհ	aʃxaɾh	𓎟 Ashar 𒊸 Eartha	
430	COUNTRY	мохк	moxk	Mark	атəыла	ɑtʼəɨlɑ	a tell < terra	მხარე	mxɑrɛ	ma.Kura  <> мохк Mark	երկիր	jɛɾkiɾ	𓇾𓊖	
431	STATE (POLITICS)	пачхьалкх	pəçʜəlq	patriarch	аҳəынҭқарра	ɑħəɨntʰkʰɑrrɑ	a … KUR	სახელმწიფო	sɑxɛlmčˀipʰɔ	Saxe.limits	պետություն	pɛtutʰjun	Patria?	
432	KING	паччахь	pəçːəʜ	pater > boss	акрал	ɑk ʼrɑl	a Kral™, ek Ray	მეფე	mɛpʰɛ	ma.Epi <<	արքա	ɑɾkʰɑ	Archie Arthur	
433	POWER	ӏедал	ʡēdəl	<	амчра	ɑmçrɑ	amts  𓂝𓂡𓄊	ძლიერება	d͡zliɛr ɛbɑ		իշխանություն	iʃχɑnutʰjun		
434	BORDER	доза	dōzə	𓏏 𓎡 𓈖 𓂻|   𓐛 𓏤	аҳəаа	ɑħəɑː		ზღვარი	zɣvɑri	gewahr	սահման	sɑhmɑn	𓊃 Zone Saum	
435	WAR	тӏом	tʼom	-	аибашьра	ɑibɑʃrɑ	a'battra > war	ომი	ɔmi	<> тӏом	պատերազմ	pɑtɛɾɑzm	battle (of fathers/brothers)	
436	ENEMY	мостагӏ	mostəɣ	monster <>	Аҕа	ɑʁɑ	arya = arch-enemy	მტერი	mtˀɛri	meuter <> muert	թշնամի	tʰəʃnɑmi	դուշման dušman fiend<>friend	
437	VIOLENCE	гӏело	ɣelo		ақəымчра	ɑkʰəɨmçrɑ		სისასტიკე	sisɑstˀikˀɛ	sys.astic?	բռնություն	bərnutʰjun		
438	FIGHT	къийсам	qʼɪɪ̆səm		ақəҧара	ɑkʰəpʰ ɑrɑ	a guerre	ბრძოლა	brd͡zɔlɑ	bratzel ;)	մարտ	mɑɾt	martial	
439	BOW				ахыц	ɑχɨčʰ	a schiess	მშვილდი	mʃvildi	<<	աղեղ	ɑʁɛʁ	archer & arrow ɑʁɛʁ	
440	ARROW	пха	pxə	pfeil	ахəымпал	ɑχəɨmpʼɑl	@impala,impair;)	ისარი	isɑri	𓊃 𓈙 𓂋 𓌕  šsari Schiesser	նետ	nɛt		
441	GUN	топ	top		ашəақь	ɑʂəɑkʰʲ		თოფი	tʰɔpʰi		հրացան	həɾɑčʰɑn		
442	MISTAKE	гӏалат	ɣələt	ƒehlet	агха	ɑɡχɑ	ɑχ ɑrɑ <> error	შეცდომა	ʃɛ čʰdɔmɑ		սխալ	səχɑl	sexual;)	
443	UNTRUTH	аьшпаш	æʃpəʃ		амц	ɑmčʰ	<> power!?!	სიცრუე	sičʰruɛ	as¬true !!	սուտ	sut		
444	DAMAGE (HARM)	зен	zēn		аҧырхага	ɑpʰ ɨrχɑɡɑ 		ვნება	vn ɛbɑ		վնաս	vənɑs		
445	BAD LUCK	бала	bə̄lə	bane	арыцҳара	ɑrɨčʰħ ɑrɑ		ხიფათი	xipʰɑtʰi		դժբախտություն	dəʒbɑχtutʰjun		
446	FAULT	бехк	bexk	bad	ахара	ɑχ ɑrɑ	an error	ბრალი	brɑli		պակասություն	pɑkɑsutʰjun		
447	AGE	хан	xən	suns	ақəра	ɑkʰ ərɑ	ager, a gero 	ასაკი	ɑsɑkˀi	a'Sack (alter;)  German<>Saxon !	հասակ	hɑsɑk		
448	END (OF TIME)	чакхе	çəqe	?	анҵəамҭа	ɑnčʼəɑmtʰɑ	ante timeth	ბოლო	bɔlɔ		վերջ	vɛɾçʰ		
449	TIME	хан	xən	sun	аамта	ɑːmtʼɑ	<> time meter	დრო	drɔ	drome (run) 	ժամանակ	ʒamanak		
450	DAY (NOT NIGHT)	де	de	day	амш	ɑmʂ		დღე	dɣɛ	daye, Tags	օր	ɔɾ	houra < 𓋴𓅱𓇳𓏥 Sahra	
451	MORNING	ӏуьйре	ʡyɪ̆re		ашара	ɑʂ ɑrɑ	a Sara	დილა	dilɑ	Diele? Teil?	առավոտ	aɾavot	𓇳 arrived ≠ abend	
452	MIDDAY	делкъе	delqʼe		шьыбжьон	ʃɨbʒɔn	sieben?	შუადღე	ʃuɑdɣɛ	Schwatt ƒ	կեսօր	kɛsɔɾ		
453	EVENING	суьйре	syɪ̆rē		ахəылҧаз	ɑχəɨlpʰɑz		საღამო	sɑɣɑmɔ 		երեկո	jɛɾɛko	Jericho;)	
454	NIGHT	буьйса	byːsə	?	аҵх	ɑč ʼχ	una ights	ღამე	ɣɑmɛ	𓎡𓌰𓅓𓇰   <    𓎡 𓈖 𓌰 𓅓 𓏏 𓇰	գիշեր	ɡiʃɛɾ	𓎡𓎡𓇰 = 𒈪 GIG	
455	WEEK	кӏира	kʼɪrə	3 circ	амчыбжь	ɑmçɨbʒ	<> time	კვირა	kˀvirɑ	Kyria √churn <> Sunday	շաբաթ	ʃɑpʰɑtʰ	sambet	
456	MONTH	бутт	bu͡ʊtː	ⲁⲃⲏⲧ !!!			ⲁⲃⲏⲧ!	თვე	tʰvɛ	bu.thve?	ամիս	amis	a month	
457	YEAR	шо	ʃo	sun				წელი	čˀɛli		տարի	tɑɾi	tjahri turn	
458	SPRINGTIME	бӏаьсте	bʡæstē		ааҕын	ɑːʁɨn		გაზაფხული	ɡɑ zɑpʰ xuli		գարուն	ɡaɾun	Grün	
459	SUMMER	аьхке	æxkē		аҧхын	ɑpʰ χɨn		ზაფხული	zɑpʰ xuli		ամառ	amaɾ	Summar	
460	AUTUMN	гуьйре	ɡyːre	x خَرِيف‎ ḵarīf শৰৎ (xorot) शरद् f (śarad) •Karibest Herbst	ҭагалан	tʰɑɡɑ lɑn		შემოდგომა	ʃɛ mɔdɡɔmɑ		աշուն	ɑʃun	auʃumn <> sun	
461	WINTER	ӏа	ʡə	hiver	аӡын	ɑd͡zɨn		ზამთარი	zɑmtʰɑri		ձմեռ	d͡zəmɛr	<<	
462	JANUARY	январь	jənvərʲ		ианвар	iɑnvɑr		იანვარი	iɑnvɑri	✓	հունվար	hunvɑɾ	✓ 	
463	FEBRUARY	февраль	fevrəlʲ		февраль	fɛvrɑlʲ		თებერვალი	tʰɛbɛrvɑli	Teber! 2	փետրվար	pʰɛtɾvɑɾ	✓ 	
464	MARCH	март	mərt		март	mɑrtʼ		მარტი	mɑrtˀi	✓	մարտ	mɑɾt	✓ 	
465	APRIL	апрель	əprelʲ		апрель	ɑpʼrɛlʲ		აპრილი	ɑpˀrili	✓	ապրիլ	ɑpɾil	✓ 	
466	MAY	май	məj		маи	mɑi		მაისი	mɑisi	✓	մայիս	mɑjis	✓ 	
467	JUNE	июнь	ɪjunʲ		иуун	iuun		ივნისი	ivnisi	✓	հունիս	hunis	✓ 	
468	JULY	июль	ɪjulʲ		иууль	iuulʲ		ივლისი	ivlisi	✓	հուլիս	hulis	✓ 	
469	AUGUST	август	əvɡu͡ʊst		август	ɑvɡustʼ		აგვისტო	ɑɡvistˀɔ	✓	օգոստոս	ɔkʰɔstɔs	✓ 	
470	SEPTEMBER	сентябрь	sentjəbrʲ		сентиабр	sɛntʼiɑb r		სექტემბერი	sɛkʰtˀɛmbɛri	✓	սեպտեմբեր	sɛptɛmpʰɛɾ	✓ 	
471	OCTOBER	октябрь	oktjəbrʲ		октиабр	ɔkʼtʼiɑb r		ოქტომბერი	ɔkʰtˀɔmbɛri	✓	հոկտեմբեր	hɔktɛmpʰɛɾ	✓ 	
472	NOVEMBER	ноябрь	nojəbrʲ		ноиабр	nɔiɑb r		ნოემბერი	nɔɛmbɛri	✓	նոյեմբեր	nɔjɛmpʰɛɾ	✓ 	
473	DECEMBER	декабрь	dekəbrʲ		декабр	dɛkʼɑb r		დეკემბერი	dɛkˀɛmbɛri	✓	դեկտեմբեր	dɛktɛmpʰɛɾ	✓ 	
474	MONDAY	оршот	orʃot	erst 1	ашəахьа	ɑʂəɑχʲe		ორშაბათი	ɔrʃɑb ɑtʰi	erst. sabati	երկուշաբթի	jɛɾkuʃabtʰi	erst.sambet	
475	TUESDAY	шинара	ʃɪnərə	zwiner 2	аҩаша	ɑɥɑʂɑ	ɑ ɥɑ ʂɑ	სამშაბათი	sɑmʃɑb ɑtʰi	sim. sabati	երեքշաբթի	jɛɾɛkʰʃabtʰi	!!!	
476	WEDNESDAY	кхаара	qəərə	qhir 3	ахаша	ɑχɑʂɑ	ɑ χɑ ʂɑ	ოთხშაბათი	ɔtʰxʃɑb ɑtʰi	3x. sabati	չորեքշաբթի	çʰɔɾɛkʰʃɑbtʰi	circ.sambet	
477	THURSDAY	еара	eərə	feərə 4	аҧшьаша	ɑpʰ ʃɑʂɑ	ɑ pʰʃɑ ʂɑ	ხუთშაბათი	xutʰʃɑb ɑtʰi		հինգշաբթի	hiŋkʰʃɑbtʰi	penj.sambet	
478	FRIDAY	пӏераска	pʼerəskə	pʼerə 5	ахəаша	ɑχəɑʂɑ	ɑ χəɑ ʂɑ	პარასკევი	pˀ ɑrɑskˀɛvi	para ~ frei	ուրբաթ	uɾpʰɑtʰ		
479	SATURDAY	шот	ʃot	шот 6 sabtur 7	асабша	ɑsɑb ʂɑ	a sambsa	შაბათი	ʃɑb ɑtʰi		շաբաթ	ʃɑpʰɑtʰ	sambet	
480	SUNDAY	кӏиранде	kʼɪrənde	кӏира-Ende	амҽыша	ɑmʈ͡ʂʰɨʂɑ	<> sun	კვირა	kˀvirɑ	Kyria	կիրակի	kiɾaki	𓐍𓇳𓐍	
481	BIG	доккха	doqːə	darg <> tall	аду	ɑdu		დიდი	didi		մեծ	mɛč	megaz	
482	SMALL	кегий	keɡɪɪ̆	kück	амаҷ	ɑmɑçʼ		მცირე	mčʰirɛ	micro mietze m.short	պստիկ	pəstik	> pico	
483	LONG	еха	exə	exa 𓆈 extra	ахəхəа	ɑχəχəɑ		გრძელი	ɡrd͡zɛli	grodß(elig)	երկար	jɛɾkɑɾ	𓀠𓅨	
484	SHORT	доца	dōčə	?	акьаҿ	ɑkʼʲeʈʈ͡ʂʼ		მოკლე	mɔkˀlɛ	mik(rig)	կարճ	kɑɾç	karg	
485	WIDE	шуьйра	ʃyɪ̆rə	<	аиужь	áiuʒ		ფართო	pʰɑrtʰɔ	part! 𓉐 breit!!	լայն	lajn	long	
486	NARROW	готта	ɡotːə		аҭшəа	ɑtʰʂəɑ		ვიწრო	vičˀrɔ		նեղ	nɛʁ	nɛʁo	
487	DENSE	луьста	lystə		аилач	ɑilɑç	a'latsh?	მჭიდრო	mçˀidrɔ		խիտ	χit		
488	THICK	стомма	stomːə	stämmig	ажəпа	ɑʐəpʼɑ		სქელი	skʰɛli		հաստ	hɑst		
489	THIN (OF SHAPE OF OBJECT)	дуткъа	du͡ʊtqʼə					წვრილი	čˀvrili		բարակ	baɾak		
490	FINE OR THIN	ховха	xɔ͡ʊxə		апа	ɑpʼɑ		თხელი	tʰxɛli		նուրբ	nuɾpʰ	𓋟	
491	SOLID	чӏогӏа	çʼōɣə		аҟаца	ɑqʼɑč ʰɑ		მყარი	mqˀɑri		ամուր	ɑmuɾ		
492	FLAT	чӏапа	çʼəpə	≠ deep	ақəаҟьа	ɑkʰəɑqʼʲe		ბრტყელი	brtˀqˀɛli	breit-quer	տափակ	tɑpʰɑk		
493	SMOOTH	шера	ʃērə		аимаҩзы	áimɑɥzɨ		გლუ	ɡlu		հարթ	hɑɾtʰ	hard?	
494	HARD	чӏогӏa	çʼoɣa		акьакьа	ɑkʼʲekʼʲe		მაგარი	mɑɡɑ ri		կարծր	kɑɾčəɾ		
495	SOFT	кӏеда	kʼedə		атата	ɑtʼɑtʼɑ		რბილი	rbili	reib?	մեղմ	mɛʁm		
496	ROUND	горга	ɡorɡə	circ! gyroge	акəмпыл	ɑkʼəmpʼɨl		მრგვალი	mrɡvɑli	<<<	կլոր	kəlɔɾ	✓️	
497	POINTED	ира	ɪrə		аҵар	ɑč ʼɑr		წვეტიანი	čˀvɛtˀiɑni		սրածայր	səɾɑčɑjɾ		
498	SHARP	ира	ɪrə		аҵар	ɑč ʼɑr		მჭრელი	mçˀrɛli		սուր	suɾ	suɾ.be	
499	BLUNT	аьртa	ærta		ацагə	ɑč ʰɑɡə		ბლაგვი	blɑɡvi	~~~	գուլ	ɡul	𓐍	
500	HEAVY	деза	dezə	δασύς dense	ахьанҭа	ɑχʲentʰɑ		მძიმე	md͡zimɛ	ma.dense δασύς dense	ծանր	čanɾ	𓂧𓈖𓋴𓍖𓊌 dense stoner	
501	BEAUTIFUL	хаза	xəzə	ⲥⲁⲓⲉ	аҧшӡа	ɑpʰ ʂd͡zɑ		ლამაზი	lɑmɑzi		սիրուն	siɾun	schuin <> sarahn?	
502	HOT	довха	dɔ͡ʊxə		ашы	ɑʂɨ		ცხელი	čʰxɛli	char	թեժ	tʰɛʒ	thyss	
503	WARM	довха	dɔ͡ʊxə	Dusche	аҧха	ɑpʰ χɑ		თბილი	tʰbili		տաք	tɑkʰ	<> textile?	
504	COLD	шийла	ʃɪɪ̆lə	chill	ахьшəашəа	ɑχʲʂəɑʂəɑ		ცივი	čʰivi		ցուրտ	čʰuɾt	🗻 curt > cold	
505	COOL	шийла	ʃɪɪ̆lə	chill	ахьшəашəа	ɑχʲʂəɑʂəɑ		გრილი	ɡrili	kural > cool, chill	զով	zɔv		
506	FRESH	керла	kerlə	√kur > chill	цқьа	čʰkʰʲe		სუფთა	supʰtʰɑ	super	թարմ	tʰɑɾm	therme?	
507	DAMP	тӏуьна	tʼynə	тӏуьна ~ Dampf	ацəаак	ɑč ʰəɑːkʼ		ნოტიო	nɔtˀiɔ	nass 	ղոնավ	ʁɔnɑv		
508	WET	тӏеда	tʼēdə	-- twet	абааӡа	ábɑːd͡zɑ		სველი	svɛli	<> sweat?	թաց	tʰɑčʰ	we.tʰɑżʰ	
509	DRY	eкъа	eqʼə		Аба	ɑb ɑ		მშრალი	mʃrɑli	maʃ ʃorali 🌤	ցամաք	čʰɑmɑkʰ	𒀭𒌓	
510	FULL	дуьзна	dyznə		азна	ɑznɑ		სავსე	s ɑvsɛ	Sause;) jetzt ist Sense	լի	li	bu.li > full	
511	EMPTY	яьсса	jæsːə		аҭацəы	ɑtʰɑč ʰəɨ		ცარიელი	čʰɑriɛli		դատարկ	dɑtɑɾk		
512	OPEN (OF DOOR)	диллина	dɪlːɪnə	diele	аарта	ɑːrtʼɑ		ღია	ɣiɑ	<> dɪlːɪnə	բաց	bɑčʰ		
513	CLOSED	дӏакъевлина	dʡəqʼevlɪnə	des¬…?	ихҩоу	iχɥɔu		დახურული	dɑ xuruli		գոց	ɡɔčʰ	cloz	
514	CLEAN	цӏена	čʼenə	цӏена ~ cleana	ацқьа	ɑč ʰkʰʲe		სუფთა	supʰtʰɑ	super	մաքուր	mɑkʰuɾ	makellos	
515	DIRTY	боьха	bø̄xə		аҟьашь	ɑqʼʲeʃ		ტალახიანი	tˀɑlɑxiɑni		կեղտոտ	kɛʁtɔt	𓐍	
516	RAW	буьйда	byɪ̆də	bad				უმი	umi		հում	hum		
517	RIPE	хилла	xɪlːə		Арҭ	ɑrtʰ		მწიფე	mčˀipʰɛ		հասած	hɑsɑč		
518	TASTY	чоме	çōmē	sense	ахаа	ɑχɑː		გემრიელი	ɡɛmriɛli	gum yum gusto	համեղ	hamɛɣ	yum.mek	
519	SWEET	мерза	merzə	<	азла	ɑzlɑ		ტკბილი	tˀkˀbili		անուշ	ɑnuʃ		
520	BITTER	къаьхьа	qʼæʜə		аша	ɑʂɑ		მწარე	mčˀɑrɛ		կծու	kəču		
521	SOUR	муьста	mystə		аҵəҵəы	ɑč ʼəčʼəɨ		მჟავე	mʒɑvɛ		թթու	tʰətʰu		
522	BRIGHT	сирла	sɪrlə	sara / sola	алаша	ɑlɑʂɑ	a leus <> lux	ნათელი	nɑtʰɛli	≠ night light <> nahr	պայծառ	pɑjčɑr	φιαρός φωτεινός בהיר‎ brighte 밝다 bakda	
523	DARK	бодане	bo dəne	<	алашьца	ɑlɑʃčʰɑ	al¬schwats	ბნელი	bnɛli	benebelt ;)	մութ	mutʰ	mute  𓅓𓏱𓏏  <> moor	
524	BLACK	ӏаьржа	ʡærʒə	ʡærʒə schwärze	аиқуаҵәа	ɑikʰuɑč ʼʷɑ	a'schwats / kurax	შავი	ʃɑvi	Swa.de	սեւ	sɛv	sɛv.az	
525	WHITE	кӏайн	kʼəjn	Kain vs Alba	ашкəакəа	ɑʂkʼəɑkʼəɑ		თეთრი	tʰɛtʰri	<<	սպիտակ	əspitɑk	hospitak spytk' سفید‎ safid, “white” clear : ճերմակ čermak	
526	RED	цӏен	čʼēn	--?	аҟаҧшь	ɑqʼɑpʰ ʃ		წითელი	čˀitʰɛli	dash.ly	կարմիր	kaɾmiɾ	kırmızı 𓍿𓅓𓋴𓏞 ⋍ crimson  Kamin-rot	
527	YELLOW	можа	mōʒə	--?	аҩеижь	ɑɥɛiʒ		ყვითელი	qˀvitʰɛli	quitte <> white	դեղին	dɛɣin	dejaune 🌞	
528	BLUE	сийна	sɪɪ̆nə	--?	аҽҵәа	ɑʈ͡ʂʰčʼʷɑ		ლურჯი	lurd͡ʒi	<<	կապույտ	kɑpujt	kaspit  𓐍𓋴𓃀𓂧𓈒𓏥	
529	GREEN	баьццара	bæčːərə	--?	ашьацҧшҭəала	ɑʃɑč ʰpʰʂtʰəɑlɑ		მწვანე	mčˀvɑnɛ	m.savanne ma.tgrüne	կանաչ	kanaçʰ	grün.ig	
530	GREY	cира	cɪrə	cɪrəy	ацəыш	ɑč ʰəɨʂ		რუხი	ruxi	rauch <> grauh	գորշ	ɡɔɾʃ	grayy 𓐍	
531	COLORFUL	къорза	qʼorzə	<	Аилыҕраа	ɑilɨʁrɑː		ჭრელი	çˀrɛli		գոյնզգոյն	ɡɔjnzɡɔjn	𓇋𓃹𓈖𓁸 ɡɔjn zigeuner  𓋴𓍋𓃀𓏏𓆙 bunt	
532	CHEAP	дораха	dōrəxə		амариа	ɑmɑriɑ		იაფი	iɑpʰ i	chiaph	էժան	ɛʒan		
533	EXPENSIVE	деза	dezə		амҩан	ɑmɥɑn		ძვირი	d͡zviri		թանկ	tʰank		
534	PRECIOUS	мехала	mexələ	much	кыр иаҕсоу	kʼɨr iɑʁsɔu		ღირსიანი	ɣirsiɑni		թանկարժեք	tʰɑŋkɑɾʒɛkʰ		
535	BLIND	бӏаьрзе	bʡærze		алашə	ɑlɑʂə		ბრმა	brmɑ		կույր	kujɾ		
536	DEAF	къора	qʼorə	¬ohr	адагəа	ɑdɑ ɡəɑ		ყრუ	qˀru		խուլ	χul		
537	POWERFUL	нуьцкъала	nyčqʼələ	𓈖𓈎 <> mighty	аӷəӷəа	ɑʁəʁəɑ		ძალავანი	d͡zɑlɑvɑni		հզոր	həzɔɾ	hazard?	
538	STRONG	зоьртала	zørtələ	>durat	абаҟа	ɑb ɑqʼɑ	able a'brachio <> arm	ძლიერი	d͡zliɛri		ուժեղ	uʒɛʁ	usher aśar	
539	WEAK	гӏорасиза	ɣorəsɪzə		акəада	ɑkʼəɑdɑ 		სუსტი	sustˀi		տկար	təkɑɾ		
540	FAT (OBESE)	дерстана	derstənə		аҧсыла	ɑpʰ sɨlɑ	obesil <> ob sila=fat	სქელი	skʰɛli	<	գեր	ɡɛɾ		
541	THIN (SLIM)	куц долу	ku͡ʊč dolu͡ʊ		акала	ɑkʼɑlɑ	a klein	გამხდარი	ɡɑ mxdɑ ri		նիհար	nihɑɾ	𓂜	
542	GOOD-LOOKING	хаза	xəzə		аҧшӡа	ɑpʰ ʂd͡zɑ		ეშხიანი	ɛʃxiɑni	a'schöne!	գրավիչ	ɡəɾɑviçʰ		
543	EVIL	вон	vōn	Ba.on	абааҧсы	ɑb ɑːpʰsɨ		ავი	ɑvi	evil!	չար	çʰaɾ		
544	STUPID	сонта	sontə	¬sense	агаӡа	ɑɡɑ d͡zɑ		ბოთე	bɔtʰɛ	blöd botaur 🐂	հիմար	himɑɾ	𓃘	
545	LAZY	мало ен	məlō en		аашьа	ɑːʃɑ	al ɑːʃɑ  lazy	ზანტი	zɑntˀi	<> wife ;)	ծույլ	čujl		
546	DILIGENT	тӏера	tʼerə		иҟубҷоу	iqʼubçʼɔu		ბეჯითი	bɛd͡ʒitʰi		ջանասեր	d͡ʒɑnɑsɛɾ		
547	STINGY	пис	pɪs		акы	ɑkʼɨ		ძუნწი	d͡zunčˀi		ագահ	ɑkʰɑh		
548	CLEVER	хьекъале	ʜeqʼəle	helle;)	аҟəыш	ɑqʼəɨʂ	a kweise	ჭკვიანი	çˀkˀviɑni	checkvani	խելոք	χɛlɔkʰ	χɛlɔgʰer cleƒer	
549	DEXTEROUS	тӏахъаьлла	tʼəxʔælːə		напҟазала	nɑpʼqʼɑzɑlɑ		მარჯვე	mɑrd͡ʒvɛ	<	ճարտար	çɑɾtɑɾ		
550	DEAR	хьоме	ʜōmē	homy	алашара	ɑlɑʂ ɑrɑ	<	სატრფიალო	sɑtˀrpʰiɑlɔ		սիրելի	siɾɛli		
551	MERRY	самукъане	səmu͡ʊqʼənē		алах-ҿых	ɑlɑχʈʈ͡ʂʼɨχ		მხიარული	mxiɑruli	mxerry.ly	զվարթ	zəvɑɾtʰ		
552	GENTLE	кlеда	kledə	~	атата	ɑtʼɑtʼɑ		ალერსიანი	ɑlɛrsiɑni	<	հեզ	hɛz		
553	BE HUNGRY	меца	mečə	@meat	амлашь	ɑmlɑʃ	<> famila famine	მშიერი	mʃiɛri		քաղցած	kʰɑʁčʰɑč		
554	SICK	цомгуш долу	čomɡu͡ʊʃ dolu͡ʊ	sense dull	ачымазаҩ	ɑçɨmɑzɑɥ		სნეული	snɛuli		հիվանդ	hivɑntʰ		
555	NAKED	дерзана	derzənə	darb	аҟьантаз	ɑqʼʲentʼɑz		ტიტველი	tˀitˀvɛli	tit;)	մերկ	mɛɾk		
556	SAD	самукъане воцу	səmu͡ʊqʼəne voču͡ʊ	??	алахьеиқəҵага	ɑlɑχʲɛikʰəčʼɑɡɑ 		მწუხარე	mčˀuxɑrɛ		տխուր	təχuɾ		
557	LIVING	дийна	dɪɪ̆nə	divankh	абза	ɑb zɑ		ცოცხალი	čʰɔčʰxɑli		կենդանի	kɛndani		
558	GOOD	дика	dɪkə	d-g / good	абзиа	ɑb ziɑ	<<<	კარგი	kˀɑrɡi	akura.gi	լավ	lɑv		
559	BAD	вон	von	vain, ba.on	-хəарҭам	χəɑrtʰɑm		უხეირო	uxɛirɔ	ux.error	վատ	vɑt		
560	CORRECT (RIGHT)	нийса	nɪɪ̆sə	--	иашоу	iɑʂɔu	IS just	ნამდვილი	nɑmdvili	nam.true	ձիշտ	d͡ziʃt		
561	SEVERE	вон	von		абааҧсы	ɑb ɑːpʰsɨ		ცუდი	čʰudi		լղրճուկ	ləʁəɾçuk		
562	TRUE	бакъдолу	bəqʼdolu͡ʊ		агəҭылса	ɑɡətʰɨlsɑ	agade	სწორი	sčˀɔri	ist-so	ճիշտ	çiʃt		
563	OLD (USED)	къена	qʼenə	<<	Ажə	ɑʐə	aged	ძველი	d͡zvɛli	> gvero , worn	հին	hin		
564	NEW	керла	kerlə	<	аҿыц	ɑʈʈ͡ʂʼɨčʰ		ახალი	ɑxɑli	<<	նոր	nɔɾ		
565	FORMER	хилла	xɪlːə		анкьатәи	ɑnkʼʲet͡pʼi		ყოფილი	qˀɔpʰili		նախկին	nɑχkin		
566	OLD (AGED)	къена	qʼenə	senior	абырг	ɑb ɨrɡ		ბებერი	bɛbɛri	berber	ծեր	čɛɾ		
567	YOUNG	къона	qʼōnə	gyne, göre	аҟата	ɑqʼɑtʼɑ	agade? <> accademy	ნორჩი	nɔrçi		մատաղ	mɑtɑʁ		
568	POOR	къен	qʼēn		ананамга	ɑnɑnɑmɡɑ 	𓂜 <> havenot	ღარიბი	ɣɑribi		աղքատ	ɑʁkʰɑt		
569	RICH	хьоле	ʜōle		абеиа	ɑb ɛiɑ	habe ¬poor	მდიდარი	mdidɑ ri	m.dida 𓂠𓂞 	հարուստ	hɑɾust		
570	FAMILIAR	девзаш долу	devzəʃ dolu͡ʊ		адыр	ɑdɨr	:	ცნობილი	čʰnɔbili		ծանոթ	čanotʰ		
571	FAME	цӏеяхана	čʼejəxənə		адыр	ɑdɨr	dire@Ode	გამოჩენილი	ɡɑ mɔçɛnili	<<	հայտնի	hɑjtni		
572	FOREIGN	нехан	nexən		атəым	ɑtʼəɨm		უცხო	učʰxɔ		օտար	ɔtɑɾ		
573	DIFFERENT	тайп-тайпанара	təɪ̆p-təɪ̆pənərə		Еиуа-еиҧшым	ɛiuɑɛipʰʂɨm		სხვაგვარი	sxvɑɡvɑri		տարբեր	tɑɾpʰɛɾ		
574	NEAR	гергара	ɡerɡərə	circa	ааигəа	áɑiɡəɑ	@gea	ახლო	ɑxlɔ		մոտ	mɔt		
575	FAR	гена	ɡenə	gone	ахара	ɑχ ɑrɑ		შორი	ʃɔri	dura <> aus-scheren?	հեռավոր	hɛrɑvɔɾ		
576	LEFT	аьрру	ærːu͡ʊ̄		арма	ɑrmɑ	arm	მარცხენა	mɑrčʰxɛnɑ	𓏱.hin	ձախ	d͡zɑχ		
577	RIGHT	аьтту	ætːu͡ʊ		арҕьа	ɑrʁʲe	arm	მარჯვენა	mɑrd͡ʒvɛnɑ	𓏱.von	աջ	ad͡ʒ		
578	OTHER	кхин	qɪn	ky	даҽа	dɑ ʈ͡ʂʰɑ	d'other < dos 2	სხვა	sxvɑ	asxva other	այլ	ɑjl		
579	FIRST	хьалхара	ʜəlxərə		актәи	ɑkʼt͡pʼi	ek, erst 1𓊃𓊪𓊗 	პირველი	pˀirvɛli	first.ly berishit bir:1	առաջին	ɑrɑçʰin		
580	SECOND	шолгIа	ʃolɡiə	folge	аҩбатəи	ɑɥbɑtʼəi	beid      2 𓊃𓊪𓊗 	მეორე	mɛɔrɛ	more	երկրորդ	jɛɾkɾoɾd		
581	THIRD	кхоалгӏа	qoəlɣə		ахҕатәи	ɑχʁɑt͡pʼi	xirt       3 𓊃𓊪𓊗 	მესამე	mɛsɑmɛ	some	երրորդ	jɛroɾd		
582	LAST (FINAL)	тӏаьххьара	tʼæʜːərə		аҵыхəтəантəи	ɑč ʼɨχətʼəɑntʼəi		ბოლო	bɔlɔ	vile bowl?	վերջին	vɛɾçʰin		
583	ALONE	цхьаъ	čʜəʔ	 	мацара	mɑč ʰ ɑrɑ	<	მარტო	mɑrtˀɔ	𓏱?	միայնակ	miɑjnɑk		
584	ALL AT ONCE	цу сохьтта	ču͡ʊ soʜtːə		зныкала	znɨkʼɑlɑ	syn.kala 𓊃𓎟!!	ერთდროულად	ɛrtʰdrɔulɑd	earth.droula 𓎟?	միասնաբար	miɑsnɑpʰɑɾ		
585	TOGETHER	цхьана	čʜənə	t'syn!	аиц...	ɑičʰ...		ერთად	ɛrtʰɑd	earth	միասին	miɑsin		
586	FOR A LONG TIME	дукха	du͡ʊqə	dur.que	акыраамҭа	ɑkʼɨrɑːmtʰɑ		დიდხანს	didxɑns		երկար ժամանակ	jɛɾkɑɾ ʒɑmɑnɑk		
