№	English	Egyptian many variants, often sign value implicit, better see Egyptian.all.tsv!				
156	stone	𓌨 𓊹 𓅂 𓀀		 stone masons	 ał masounyoun!! / Maurer	
156	stone	𓏠 𓈖 𓏌 𓊌		type of stone, quartz ?	Mamur : Mamor! +++ DE IN / ⇔ !	
156	stone	𓏠 𓏌		type of stone, quartz ?		
156	stone	𓀀	MAN	stone mason		
157	sand	𓈙 𓂝 𓏮 𓈒 𓏥		sand	s+hand	
157	sand	𓈙   𓊌   𓋴𓄿𓋷𓀁𓋷𓈙𓊌		sang stein vs sand vs savoir gnost~gneiss !!		
157	sand	𓈙 𓂝 𓈒 𓏥		sand		
157	sand	𓊪 𓂧 𓋴 𓏲 𓏏 𓂾 𓈇 𓏥		sand dunes?	pod𓂾 Sand 
157	sand	𓈖 𓆷 𓄿 𓈒 𓏥		grains 	
158	dust	𓐍 𓅓 𓅱 𓊡 𓏪		dust	Krume? crumble grains? •qbar 
159	earth	𓎛 𓄿 𓏏 𓈅 𓏥		 fields, arable lands, earth, mould	hearth	
159	earth	𓄿 𓎛 𓏏 𓈇		field, arable land, earth, mound	aHrth~acres  / fld: field	
159	earth	𓄿 𓎡 𓂋		earth - gods  		
159	earth	𓄿 𓎡 𓂋		 Aker, the earth, earth- gods	AGRO	
159	earth	𓄿 𓎡 𓂋 𓀭 𓏪		earth - gods	AGROs / Acre city / near / Mount Lebanon, temple of VENUS!	
159	earth	𓄿 𓎡 𓂋 𓆙		earth - gods	Aiker- / Gaia	
159	earth	𓅭 𓏏𓅱𓈅 𓏥		ground, earth, soil, floor		
159	earth	𓅭 𓏏𓈅 𓏥		ground, earth, soil, floor	sand! / ⇔ daughter vs Dach!	
159	earth	𓅭 𓏏𓏮 𓊌		ground, earth, soil, floor		
159	earth	𓅱𓂝 𓎛		earth - almond ?, carob ?	muher?	
159	earth	𓅱𓆼 𓄿 𓂡		throw off, empty out, shake out, beat, purge 	-leeren ++ / entleeren ++ / clear / enter ƒ / Matsch, Modder, mater a mat : weather?	
159	earth	𓇹 𓈒 𓏥		earth - almond ?, carob ?	Mond !?! / gaia - earth vs mon	
159	earth	𓇹 𓎛		earth - almond ?, carob ?		
159	earth	𓇾 𓇾 𓂋 𓐍 𓏏𓊖 𓏏		ends of the earth	Territory-Rächter	
159	earth	𓇾 𓇾 𓂋 𓐍 𓏏𓊖 𓏏		ends of the earth	Territory-Rächter earkhs	
159	earth	𓇾 𓈇 𓏤		earth, land, ground	terrta ➙ Terra	
159	earth	𓇾 𓍿𓇑𓇑𓀭		 Memphite earth - god		
159	earth	𓇾 𓍿𓈖𓈖𓀭		 Memphite earth - god		
159	earth	𓇾 𓏤 𓈇 𓇑𓇑𓈖𓈖𓀭		 Memphite earth - god		
159	earth	𓊃 𓅭 𓄿 𓏏𓅱𓈇 𓏥		ground, earth, soil, floor	Suertenƒ	
159	earth	𓊃 𓅭 𓏏 𓆱		ground, earth, soil, floor	Sand+	
159	earth	𓎤 𓃀 𓃀 𓈅 𓏥		earth	Geobb Geb
160	cloud	𓈎 𓂋 𓂋 𓊡		storm, storm - cloud	Korer-vent	
160	cloud	𓈎 𓂋 𓇋 𓃫 𓀜		storm, storm - cloud	Kuriseth / Kuriosität / ⇔curiosity +	
160	cloud	𓈎 𓂋 𓇋 𓇲		storm, storm - cloud		
160	cloud	𓈎 𓂋 𓊡		storm, storm - cloud	Kuri / churn / current / Kurrain	
160	cloud	𓍲 𓈖 𓂝 𓍁		storm - cloud	~?	
161	fog					
162	sky	𓇯		sky, heaven		
162	sky	𓊪 𓏏 𓇯		sky, heaven	ƥotair : / Pater Petrus Photon Votan Ether	
162	sky	𓁷 𓏏 𓇯		sky, heaven	jUPiter	
162	sky	𓁷 𓂋 𓏏 𓇯		sky, heaven
162	sky	𓄿 𓂋 𓏏 𓇯		heaven, sky	airs ! / air-to-air / airrytair / ryt ⇔ morning	
162	sky	𓄿 𓊃 𓂋 𓏏 𓇯		heaven, sky	Lazarus ?	
162	sky	𓆼 𓃀 𓋴 𓅱𓇼 𓏥		the starry sky	‘Tausend-Stern‘ / ??? ←‘	
162	sky	𓆼 𓅡 𓋴 𓇼 𓇼 𓇼		the starry sky	Tausend-Stern=sky! / calves-	
162	sky	𓇋 𓆛 𓈖 𓌰 𓅓 𓄛		skin, hues, development, complexion	?	
162	sky	𓈎 𓃀 𓎛 𓅂		sky	qvair,quair : quer=high air ⇔ cover +++ ← cooper	
162	sky	𓈎 𓃀 𓎛 𓅱𓏁 𓅭 𓏥 𓈉		sky	kübeln	
162	sky	𓈎 𓃀 𓎛 𓏂 𓈗		sky		
162	sky	𓈖𓉔 𓅓 𓀁		shout, thunder 	nahovr : / vs الصوت ~ shout ++ AR=EN / anhoair anhoer fast: nahoer	
162	sky	𓈙 𓋴𓐟 𓄿 𓄃 𓏏𓇰		nightfall, night sky	schun-shät / schalter __ ←  / spyer tit / Späher ⇔ spät?	
162	sky	𓉽 𓉽 𓉽 𓉽		 posts 		
162	sky	𓊃 𓈙 𓇋𓇋𓏏𓇰 𓇳		nightfall, night sky	syn-šyt / sun-set	
162	sky	𓋴 𓈙 𓄃 𓏏𓇼		nightfall, night sky	šet? ⇔ Seth !? / shut-star / shooting-star	
162	sky	𓋴 𓏠 𓈖 𓏌 𓍖 𓏥		supports of sky	asman @ Persia! / shamanurz ++	
162	sky	𓎡 𓈓		covers the sky	 cupers𓈓 ++	
162	sky	𓎼 𓊪𓇲		be overcast 	ghou ⇔ cloud? / Kuh-Wetter?	
162	sky	𓏌 𓏌 𓏏 𓏌 𓇯 𓁐		Nut, the sky	 Ninurta! 𓋹	
162	sky	𓏌 𓏏 𓇯 𓁐		 Nut, the sky	Urte	
162	sky	𓏏 𓐍 𓈖𓁺		injury, injure, pierce 		
163	wind	𓄤 𓏤		heart and wind-pipe		
163	wind	𓅱 𓏏 𓊡		wind	wnd = wind	
163	wind	𓆑 𓄿 𓀋 𓂡 𓊡 𓏲		1 sail, 2 the wind rose ?		
163	wind	𓆓 𓂝 𓊡		storm, storm - wind	‘tshou ➙ churn tornado Shu‘vent‘	
163	wind	𓊡		
163	wind	𓊡 𓅱		wind, air, breath	wn:wind ++ / vneu : pneu πνοή @ greece!! νοή ⇔ vənt ! 
163	wind	𓊿 𓊡		the west wind		
163	wind	𓊿 𓏏 𓊡		the west wind		
163	wind	𓋀 𓏏 𓏮 𓊡		the west wind		
163	wind	𓋁 𓃀 𓏏 𓊡		the east wind		
163	wind	𓇋 𓄿 𓃀 𓊡		the east wind		
163	wind	𓋁 𓊡		the east wind		
163	wind	𓋁 𓊡 𓏏		the east wind		
163	wind	𓇔 𓅱 𓊡		south-wind	Suren-wind / Sudan-wind	
163	wind	𓋴 𓅱 𓎛 𓊡		wind	 swhr weher sur?	
163	wind	𓈖 𓆑 𓏏 𓊡 𓏲		breath, wind	νφnt = nVent: wind ⇔ ƥnοė / νφ=v νβ=b νπ,μπλε=blue blow see greek !	
163	wind	𓈖 𓆑 𓏲 𓏏 𓊡 𓏪		breath, wind		
163	wind	𓈖 𓆑 𓏏 𓊡 𓏲		wind		
163	wind	𓋴 𓏲 𓎘 𓃀 𓄲 𓏛		wind 		
163	wind	𓎔 𓎛 𓇋𓇋 𓏏𓊡		‘north wind, storm from the north, ‘norther‘		
163	wind	𓎔 𓏏 𓊡		north wind	Schinder Scheider	
164	snow					
165	ice
166	smoke	𓎛 𓏏 𓏮 𓊮		smoke	ⲭⲣⲉⲙⲧⲥ khremts <> cremationsa
166	smoke	𓎛 𓏏 𓏮 𓊮		smoke	𒆪𒌓𒊒 qu₂-ut-ru /qutru/	
167	fire	𓏴 𓏏 𓊮		fire, flame	⇔ khat!?	
167	fire	𓐍 𓏏 𓊮		fire	‘khat heat qâdach kaw-dakh‘ קדח burn, kindle Kerze‘	
167	fire	𓈎 𓂋 𓂋 𓊮		fire, broil 	qur@Thai > koch, cook
167	fire	𓈎 𓂋 𓂋 𓍔		fire, broil 		
167	fire	𓉔 𓉔 𓏮 𓊮		blast 	hoch! huch! / heatzė / hhotty	
167	fire	𓋴𓄝 𓏏𓊮		set 	set	
167	fire	𓋴𓆓 𓏏𓊮		fire, flame	Gischt / shat ⇔ khat	
167	fire	𓍑 𓄿 𓏴 𓆱		fire - drill	ƒiren	
167	fire	𓍑 𓏤		fire - drill		
167	fire	𓂋 𓎡 𓎛 𓊮		light 	räuchern	
168	ash	𓇋 𓏏 𓈖 𓏌 𓍢 𓂊 		ash 	athn… asċan ashen سَكَن‎ a'sakan +++ 𐌰𐌶𐌲𐍉 аццышә ash.can <> canaisa
169	to	
170	road	𓅓 𓂝 𓍿 𓇱		road, way	मार्ग mārga>marsch|马路 (zh) (mǎlù)|መንገድ (mängäd)	
170	road	𓐝 𓂝 𓏏 𓈖 𓌙 𓈐 𓂻		road, way	‘^^ vha‘ten ⇔ way, fahrten / µroaden‘	
170	road	𓅓 𓍿 𓃒		road, way, course	path |camín RTL mways? -+-	
170	road	𓂸 𓏏 𓈖 𓈐 𓈇		road, way	pointen path	
170	road	𓈐 𓏏 𓏤		road, way		
170	road	𓍯 𓄿 𓏏 𓈐		road, way	road ++ / Weg --	
170	road	𓍯 𓏏 𓈐 𓈘		road  rod +++	path, post, part / طريق ptaryaɠ *ptharoadg ++ / дорога doroga	
171	mountain	𓈋 𓏤		mountain		
171	mountain	𓈉 𓏤		mountain	Schanze	
171	mountain	𓈋 𓅱 𓊌		mountain	moun+sTain 𓅱 𓊌	
171	mountain	𓈋 𓊌		mountain	tell <> Tal	
171	mountain	𓂧 𓉔 𓈖 𓏏 𓁶 𓊌		mountain - top	DOME-top domount 	
171	mountain	𓉃		  Viper mountain/vale	Kar?	
171	mountain	𓌳 𓏌𓏌𓏌 𓈉		 the Western mountain	MAuretan ⇔ mountain ++ / masturia /	
172	red	𓂧 𓇋 𓏇 𓋳		red linen 	kirmes/kirsch	
172	red	𓂧 𓈙 𓂋 𓅟		 red, reddening	kirmes/kirsch	
172	red	𓂧 𓈙 𓂋 𓏯		 red, reddening	dashred ⇔ desert	
172	red	𓅟 𓏏 𓎼		red pot	dashred Kübel	
172	red	𓇋 𓂧 𓏇 𓇋𓋳		red linen	censing, incense burning, sweet	
172	red	𓍘 𓅓 𓋴 𓏞		red, ruddy, violet	tzins ⇔ Zinn Zinsen taint tan	
172	red	𓍿 𓅓 𓋴 𓏞		red, ruddy, violet	δms thymese ⇔ tomathe/thymian  ジ 菫 zing +++	
172	red	𓏏 𓄟 𓋴 𓏞 𓏜		red, ruddy, violet	thymes ⇔ thymian  / tmes thmes ⇔ tomate 🍅, smash, dash	
172	red	𓏏 𓅓 𓋴 𓏞 𓏜		red, ruddy, violet		
172	red	𓊪 𓂋 𓈙 𓈒 𓏥		minium 	purpur (Bleirot)
172	red	𓇋 𓆛 𓈖 𓊃 𓏮 𓋳		bright red linen	linenz	
172	red	𓏠 𓈖 𓈙 𓏏𓈒 𓏥		ochre 	
173	green	𓄿 𓐍		grow green  G		
173	green	𓇅		green eye - paint	green	
173	green	𓇅 𓅱𓈓		a green stone, malachite	green-ore / greenite /	
173	green	𓇅 𓆓 𓏛		fortunate, happy, make green, make to flourish		
173	green	𓇆		 green	shreen ! +-+ / ⇔	
173	green	𓇆 𓊌		a green stone 	green stone ®	
173	green	𓇆 𓏏𓋳		green linen	® t?	
173	green	𓈐 𓈋 𓏲 𓈒 𓏥		green eye - paint	pastell ++ / faience ƒ	
173	green	𓋴 𓇅 𓆓		make green, make to flourish 		
173	green	𓋴 𓇅 𓏜		make green, make to flourish 		
173	green	𓋴 𓇆 𓏜		make green, make to flourish 		
173	green	𓍯 𓆓 𓇅 𓅱𓁼 𓈓		green eye - paint	
173	green	𓍯 𓆓 𓈋 𓁼 𓈓		green eye - paint		
173	green	𓈖 𓈙 𓅓 𓏏 𓏥 𓈒		green felspar		
173	green	𓍱 𓇆 𓏥		green linen	green	
174	yellow	𓈎 𓈖 𓇋 𓇋 𓐏		be yellow	<> gold, green?	
174	yellow	𓈎 𓈖 𓇋 𓇋 𓏏 𓏊		a yellow pigment, orpiment		
174	yellow	𓈎 𓈖 𓇋 𓏏 𓈒 𓏥		a yellow pigment, orpiment	quince yellow, das Quittegelb 
174	yellow	𓏠 𓈖𓈙 𓏏𓈒 𓏥		ochre 	menst-ore / menscht-ore : häm !?! / menstru-blood-red? / ←	
175	white	𓊏 𓊪 𓇳		 white, bright	
175	white	𓊏 𓊪 𓇶		 white, bright		
175	white	𓋴 𓈙 𓊪 𓇳		be white, be bright		
175	white	𓋴 𓈙 𓊪 𓇶		be white, be bright		
175	white	𓌈		white, bright		
175	white	𓌈 𓂂		white 		
175	white	𓌈 𓆓 𓇳		white, bright		
175	white	𓌈 𓆓 𓇳 𓋳		white clothes		
175	white	𓌈 𓆓 𓇶		white, bright		
175	white	𓌈 𓇳		white, bright		
175	white	𓌈 𓏏 𓋒		the white crown		
175	white	𓌈 𓏏 𓋳		white linen		
175	white	𓌈 𓏏 𓏮 𓋸 𓋸		white sandals		
175	white	𓌈 𓏏 𓏯 𓍱 𓏨		white linen		
175	white	𓌉 𓏏 𓋳		white linen	white Tuch	
175	white	𓌌 𓏏 𓇶		white 	weiß	
175	white	𓎛 𓌈 𓆓 𓇶		white, bright		
175	white	𓏏𓏐 𓌈 𓇮		white - loaf 		
175	white	𓃀 𓅡 𓄿 𓈎 𓆭		oily, bright, white, be dazzled, clear of character, innocent, fortunate	
176	black	𓀔 𓈋 𓅐 𓏏𓏥 𓈒		black eye paint	‘shieam‘ = khem / ~Schminke, Schmutz, Maskara 𓅐𓏏𓏥‘	
176	black	𓆎 𓅓 𓁸		black	Kummer / Kmerher / Black Khmerer vs / Red Khmerer	
176	black	𓁼		black eye paint	maska-ra ®	
176	black	𓆎 𓅓 𓁸		black	Kummer / Black Khmer vs Red Khmer	
176	black	𓆎 𓏛		black	Chemnitz	
176	black	𓆓 𓂝 𓌠 𓃀		coal - black	shieamb = khem / काला श्याम kala shieam = color khem PIE +++ / scot = dark!	
176	black	𓎼 𓅓 𓏏		black ibis	gmt~chem:black	
176	black	𓐍 𓋴 𓃀 𓆓 𓂂		blue, blue-black 	Kar-Schwarz	𓋴 𓃀 𓂧 𓈒 𓏥 swarthy سَوْدَاء
176	black	𓐍 𓋴 𓃀 𓂧 𓈒 𓏥		blue, blue-black 𓐍 𓋴 karg=black	𓃀 𓂧	
176	black	𓐍  𓐍		 blue-black	ballacK	
176	black	𓄟 𓆓 𓅐 𓏏𓏥 𓈒		black eye paint		
176	black	𓄟 𓋴 𓂧 𓅐 𓏏𓈓		black eye - paint	Masmuter / Museldemuter	
176	black	𓅓 𓋒		black eye paint		
176	black	𓈖 𓂋 𓐍 𓅓		black-fear	~noir √necro √[[negro]] 	
177	night	𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
177	night	𓅱 𓐍 𓇰		night	µnight 
177	night	𓆼 𓄿 𓅱 𓏮 𓇰		night	tar* dark@Pers ! ++	
177	night	𓆼 𓄿 𓅱 𓏮 𓇰		night	LAILAUN / LEYLUN ARAB!/SEMITIC lAIrLAUN !! ++--+++	
177	night	𓆼 𓄿 𓅱 𓏮 𓇰		night	Grau	
177	night	𓇰		night	
177	night	𓉸		night		
177	night	𓎼 𓂋 𓎛 𓇰		night	gray / ⇔ dark khim bahim ⇔ / kash⇔hush,kuscheln,kaspian:dark-blue / ←!!!!>	
177	night	𓏲 𓄿 𓆼 𓇰		night	hnaiχλ ⇔ Nyx, Nächtle / KHM KMER = DARK = χμηρ = χmer = Schummer Schimmer ⇔ Kummer	
177	night	𓈙 𓋴 𓐟 𓄿 𓄃 𓏏𓇰		nightfall, night sky	schun-shät / schalter __ ←  / spyer tit / Späher ⇔ spät?	
177	night	𓈙 𓅓  𒄷   𒈪    🎜		SuMa MuSa 𒄷 Musik +++ 𒈪 mūšu=night Musen = 🎜 birds	zimmern Kammer-Musik / Jammer ⇔ Jam++ / Zumdarassabum -- / ⇔ mezmur, klezmer, mesmerize ! / shmosi-zieren / smooth ⇔ schmusen / zamar+gamar:Zigeuner? --	
177	night	𓐍 𓆼 𓄿 𓅱𓇰		night	kilailun χίλιοιn~Schläfe	
177	night	𓊃𓈙 𓇋𓇋𓏏𓇰 𓇳		nightfall, night sky	syn-šyt / sun-set	
177	night	𓊃𓎡 𓏏𓏏𓊛		night-barque 	escort vs / Scotty? ! ←	
177	night	𓋴𓆼 𓄿 𓇰		spend the night	schlaf, sleep / ⇔ Schlafmohn?? xlailune !?	
177	night	𓋴𓇥 𓂋		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night		
177	night	𓋴𓇥 𓂋 𓁀		spend the night, sleep, lie down, go to rest, be inert, inactive, do in the night	snore ⇔ stauer!? / churt چورت nap /  short snoret +++ --EN	
177	night	𓋴𓈙 𓄃 𓏏𓇼		nightfall, night sky	šet? ⇔ Seth !? / shut-star / shooting-star	
177	night	𓋴 𓎝 𓎡 𓏏𓏏𓊛		night - barque 		
177	night	𓋴 𓏲 𓐍 𓇰		spend the night	‘sunk / s‘unk ⇔ staur  /  unktaur ← / ⇔ unktauer night :‘	
177	night	𓍑 𓄿 𓅱𓇰		night	Zaire ← sire Zeit  fire-hour? Feierstunde? serenade serenus
178	day	𓇳 𓏤		day, daytime	sun / ray / day?	
178	day	𓋴 𓋴 𓋴 𓅱 𓇳 𓏥		day, dates 	giorno
178	day	𓉔 𓂋 𓅱 𓇳 𓏤		day, daytime	houra	
178	day	𓉔 𓂋 𓅱 𓇳 𓏤 𓄤 𓂋 𓆑		holiday, happy day	houry.days	
178	day	𓉔 𓂋 𓅱 𓇳 𓏤 𓄤 𓆑 𓂋		holiday, happy day		
178	day	𓊃 𓊪 𓊗		 times, twice	zoi ⇔ zwei tzoimes	
178	day	𓊄 𓅱 𓇳 𓏥		day, dates 		
178	day	𓋴 𓅱 𓇳 𓏥		day, dates 	 shoura sura sutra zeitraum swoche swendra	
178	day	𓎙 𓏏𓊞		day - barque 	fregatt	
178	day	𓏇 𓈖 𓏇 𓌴 𓏏		anew this day?		
178	day	𓁶 𓏤 𓇳 𓎆		‘ten - day ‘week‘		
178	day	𓄋 𓊪 𓏏 𓆳 𓏏 𓏤		‘New Year‘s day ‘	Haupt-Jährt / Koppt-Jährt	
179	year	𓆳 𓏏 𓏤		year		
179	year	𓈖 𓂋 𓇋 𓆵 𓇳		time, return of the year	neuere Jahre ++ / new year / neur itYeaRaSun  ++++++++++++++++++++++++	
179	year	𓆳 𓆳 𓆑 𓇳		last year		
179	year	𓆳 𓏏 𓊗		regnal year	JahrTime	
180	warm	𓊮		be warm, hot, have fever, become feverish		
180	warm	𓊮		warm, warmth, temperature, inflammation, fever, mood	phyur~phyvr +++ / fever	
180	warm	𓋴 𓂋 𓆑 𓊮	charm	warm, warmth, temperature, inflammation, fever, mood	← / ?	
180	warm	𓋴 𓂋 𓆑 𓊮 𓏜		warm, warmth, temperature, inflammation, fever, mood		
180	warm	𓋴 𓈙 𓅓 𓅓 𓊮		warm, heat 		
180	warm	𓋴 𓐍 𓅓 𓅓		make warm	← charm hhmm@ARAB	
180	warm	𓋴 𓐍 𓅓 𓅓		make warm		
180	warm	𓐍 𓅓 𓊮		warm	greinen	
180	warm	𓈙 𓅓 𓅓 𓊮		be warm, hot, have fever, become feverish		
181	cold	𓈎 𓁺		cold water	aqua ++	
181	cold	𓈎 𓃀 𓃀		cool, cold, cooling, calm, quiet, be purified, take one‘s ease‘		
181	cold	𓈎 𓃀 𓃀 𓈗		 cool, cold		
181	cold	𓈎 𓃀 𓃀 𓏂 𓏏 𓈗		cold water		
181	cold	𓈎 𓃀 𓎛 𓅱 𓏁 𓈗		cold water		
181	cold	𓈎 𓃀 𓎛 𓅱 𓏂		cold water		
181	cold	𓈎 𓃀 𓎛 𓎯		cold water	
181	cold	𓈎 𓃀 𓏂		cold	quvl +++ ENDE ⇔ kühl, Kübel / 	
181	cold	𓎛 𓋴		be cold	¬heiß : eis ← --	
181	cold	𓎛 𓎿 𓋴 𓊡		be cold 	hr*s <> hoarse	
181	cold	𓏜		cool, cold 	anci~ice 	
181	cold	𓏂 𓈗		cold water	⇔ qubu ~ cool	
182	full	𓎔 𓏛 𓅓		full measure	full m. 	
182	full	𓏏 𓏏 𓏝		full, entire	tout / total +	
182	full	𓏏 𓅱 𓏏 𓀾 𓏜		be pleased, assembled, united, be in accord, full, entire, complete	tout! +++ FR complet! ← +++	
182	full	𓏲 𓆼 𓄿 𓊡		full blast  ?	un_a	
183	new	𓈖 𓌳 𓄿 𓅱 𓏏 𓏛		 new		
183	new	𓌳 𓄿 𓅱 𓏮 𓏛		 new, be renewed	nauy = new, neu	
183	new	𓌳 𓏏 𓏛		a new thing 	:news	
184	old	𓂜 𓇋𓇋		old negative particle	ney+ nay+ nil nulli	
184	old	𓇋𓄿		old 	vhIER / HIER ! Heros Hirten:Fährten +++ ViehHerden ++	
184	old	𓇋𓄿 𓅱𓏏𓀗		old age	hierwos yeared	
184	old	𓇋𓇩 𓋴𓆰 𓏛		old, ancient	ANCIent	
184	old	𓈖𓐍 𓐍		be old, old age	_______ / niage™ ⇔ nacht nioxe 年迈 niánmài / niggard / neighe~vielle-- / nix / n-ku-ku-qu-arier  / nan hard male ⇔ bull / ⇔	
184	old	𓌃 𓀘 𓀀		staff of old age 	ward ⇔ words EN++ / mast ⇔ mots / staff ⇔ stuff	
184	old	𓍿𓈖𓇋𓀘		old man		
184	old	𓍿𓈖𓇋𓀘		old man, elder	δyni / ⇔ cyniker, gonie	
184	old	𓎡		schinden++ OK old cup = Tasse / pun	senken / sengen / ←shanken schinken schinbein? / https://en.wiktionary.org/wiki/Appendix:English_autological_terms#Depending_on_context	
184	old	𓎡 𓎛 𓎡 𓎛 𓀘		become old	ger-ger hier-hier / cheiro=need a hand?	
184	old	𓏏𓈖𓇋𓀘		old age	‘senior / seni‘l‘	
185	good	𓃀 𓄤		good	bien / bon / budha / vs bheart = bad : / blieb?	
185	good	𓃀 𓅱𓄤 𓆑 𓂋		good, goodness		
185	good	𓃀 𓇋𓈞 𓄑 𓀁		good deed 	bien deent	
185	good	𓄤		good, beautiful etc 	 ɠut / gute ➙ good / cute	
185	good	𓄤 𓂋 𓏏		good things	heart-	
185	good	𓄤 𓆑 𓂋		good		
185	good	𓊹 𓄤		the good god		
186	bad	𓂝 𓍯 𓄿 𓐎	rot	go bad, rot	‘rot / orouer ⇔ erodiern?	
186	bad	𓃀 𓇋𓈖𓅪		 bad, evil   bane = ruin		
186	bad	𓃛		sic: evil vs bin=bad		
186	bad	𓈋 𓅪		 bad, evil, sad   *vål	[e]vale : valley	
186	bad	𓈋 𓅱 𓅪		 bad, evil, sad 		
186	bad	𓈋 𓏴 𓅪		 bad, evil, sad 		
186	bad	𓈖		NO: -- beD wegen bad/bath/waTer ? --		
186	bad	𓈖𓃀 𓂧 𓅱𓁸 𓈓 𓐪 𓂧 𓂂 𓏜 𓌙 𓏥 𓀀		those of bad character	_an_ BAD posture	
186	bad	𓋴𓂝 𓍯 𓄿 𓐎		cause to go bad	thrower? / Europa	
186	bad	𓎛 𓄿 𓂝 𓏤 𓃀 𓀜		a bad quality	hiero bad / herab- herb	
187	rotten					
188	dirty					
189	straight	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜		precise, accurate, go straight forward, progress,		
189	straight	𓂝 𓈎 𓄿 𓂭 𓂭 𓏜		stright-dealing, straight- forwardness		
189	straight	𓂝 𓈎 𓄿 𓇋 𓇋 𓂭 𓂭 𓏜		a straight-dealer	accurate / ←?>	
189	straight	𓂸 𓏏𓌙 𓌙 𓏜		straight, precise	straight stratum / ⇔    accurate / maqtywac meduiac מדויק +++ ⇔ מד matter! vs tyw ! / exactly ⇔ echt ⇔ recht ⇔ straight! / ←!>	
189	straight	𓂸 𓏏𓌙 𓌙 𓏜		straight, precise		
189	straight	𓅓 𓂧 𓃹 𓈖 𓂻		straight on		
189	straight	𓋴 𓌗 𓂋 𓎗 𓅱𓆓 𓏛		make secure, provide, set right, fulfil 		
190	round	𓂧 𓃀 𓈖𓂂 𓂻		go round, travel round 	drobænor / δοιπορon @ GR ++ -- !! ? / trabail ⇔ travaill ⇔ ὁδεύ Oden ! / ⇔ ἐμπορεύο emporon ⇔ empire?	
190	round	𓄲 𓂻		go round, travel round 	törn	
190	round	𓄲 𓇉 𓊗 𓏤 𓏤 𓏤 𓏤		go round about four times	turn-ir-ei-vier / Tournier-Eifer / turn-hier--vier	
190	round	𓄲 𓈖 𓂻		go round, travel round, encircle 	Törn	
190	round	𓄷 𓈖 𓂻		go round, travel round 		
190	round	𓐪 𓂧 𓏌 𓂻		go round		
190	round	𓐪 𓂧 𓏌 𓏛		go round		
191	sharp	𓅓 𓂠 𓂧 𓊃𓏛		sharp, acute, forceful 	 ^^?	
191	sharp	𓂧		be sharp, sharpen, pierce 	cheiro ➙ sharp	
191	sharp	𓂧 𓅓 𓌪		be sharp, sharpen, pierce 	deMesser / chierper ⇔ sharp, schärfer++ sharpen‘	
191	sharp	𓂧 𓐝 𓌪 𓂡		be sharp	shpart : sharp / chaff+pr=sharp	
191	sharp	𓅓 𓂠 𓂧 𓊃𓏛		sharp, acute, forceful 		
191	sharp	𓅓 𓂧 𓋴𓌪		sharp, acute, forceful 		
191	sharp	𓆓 𓏏 𓌪		shabt : sharp		
191	sharp	𓇮 𓏜		 sharp, effective, skilled	spitz ~ sharp / capt capable	
191	sharp	𓋴 𓊪 𓂧 𓇮		 sharp, effective, skilled	spitz	
191	sharp	𓋴 𓇮 𓂧 𓌪		 sharp, effective, skilled	sharpth	
191	sharp	𓈖 𓊪 𓆓 𓏏 𓌪		sharp knife	nph⇔knife	
192	dull	𓅪		dim, dull, poor	voll! / full!	
192	dull	𓈖 𓆓 𓋴 𓅪		little / small, dim, dull, poor, 		
193	smooth	𓇋 𓂧 𓄿		smooth	feder(weich)	
193	smooth	𓈖 𓂝 𓂝 𓏞 𓏛		smooth, undecorated, smoothness, mix smoothly	moother ++-+	
193	smooth	𓋴𓈖𓂝 𓂝 𓏞 𓏛		make smooth, polish	smoother +++	
193	smooth	𓋴𓌢 𓂝 𓂝		make smooth, polish		
193	smooth	𓋴𓏏𓅱𓏏𓀾 𓏜		resemble, smooth over, make over, praise 		
193	smooth	𓏞 𓏛		make smooth, polish	schmirgeln! / oother	
194	wet	𓂋 𓈖𓈖𓏏		-nurse  D	rennt /	
194	wet	𓈖𓊪𓅯 𓈗		be wet	 nass <> nwather wet	
194	wet	𓈖𓊪𓅯 𓈗		be wet		
195	dry	𓅱𓈙 𓂋 𓇳		dry up, be barron, be despoiled	⇔ Mosel? F***n mösle	
195	dry	𓆄 𓅱𓇳		dry, dried		
195	dry	𓇶		dry, dried	dray	
195	dry	𓈖𓇉 𓄿 𓐎 𓈖𓇋𓂋 𓈖𓊌		dry rock ?	Nirpain-Nierenstein	
195	dry	𓋴𓆄 𓅱𓇳		dry 	shun : sonnen	
195	dry	𓋴𓈙 𓂋 𓇳		dry, dry up		
195	dry	𓋴𓈙 𓂋 𓇶		dry, dry up		
195	dry	𓋴𓏲 𓈙 𓂋 𓇳		dry	sunδry / alles sutscher ++-	
195	dry	𓎸 𓁐		 - nurse	Kinderella / Kinda-guard?	
195	dry	𓐍 𓅓 𓊡		be dry	greinen? 	
196	right	𓁦	‘Ma‘at‘	right - doing, righteousness	mwahrheit maath, madar: order @P	
196	right	𓅆 𓏏𓏮		right 	West / Westen-Tasche / imnu yamina yamino right hand ⇔ West!!	
196	right	𓆄		right - doing, righteousness	Shui ⇔ Justice	
196	right	𓆄 𓏏 𓏤		right - doing, righteousness	‘ju‘ti‘	
